city,city_zh,city_en,year,pm25_mean_ug_m3,valid_grid_cells,grid_cell_count,source_product,source_version,spatial_method
Altay,阿勒泰,Altay,2015,10.6432,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Altay,阿勒泰,Altay,2016,9.992,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Altay,阿勒泰,Altay,2017,10.5691,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Altay,阿勒泰,Altay,2018,8.8279,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Altay,阿勒泰,Altay,2019,9.2747,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Altay,阿勒泰,Altay,2020,11.1318,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Altay,阿勒泰,Altay,2021,10.1419,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Altay,阿勒泰,Altay,2022,11.2996,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Altay,阿勒泰,Altay,2023,10.3881,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Altay,阿勒泰,Altay,2024,9.9743,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Amsterdam,阿姆斯特丹,Amsterdam,2015,12.8776,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Amsterdam,阿姆斯特丹,Amsterdam,2016,12.5961,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Amsterdam,阿姆斯特丹,Amsterdam,2017,12.5604,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Amsterdam,阿姆斯特丹,Amsterdam,2018,13.1246,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Amsterdam,阿姆斯特丹,Amsterdam,2019,11.3891,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Amsterdam,阿姆斯特丹,Amsterdam,2020,9.672,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Amsterdam,阿姆斯特丹,Amsterdam,2021,10.4393,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Amsterdam,阿姆斯特丹,Amsterdam,2022,9.9364,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Amsterdam,阿姆斯特丹,Amsterdam,2023,8.971,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Amsterdam,阿姆斯特丹,Amsterdam,2024,9.8392,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Auckland,奥克兰,Auckland,2015,6.0567,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Auckland,奥克兰,Auckland,2016,6.2548,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Auckland,奥克兰,Auckland,2017,6.3806,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Auckland,奥克兰,Auckland,2018,6.6601,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Auckland,奥克兰,Auckland,2019,7.3098,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Auckland,奥克兰,Auckland,2020,6.4038,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Auckland,奥克兰,Auckland,2021,5.9477,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Auckland,奥克兰,Auckland,2022,6.4205,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Auckland,奥克兰,Auckland,2023,6.0831,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Auckland,奥克兰,Auckland,2024,5.8133,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Bangkok,曼谷,Bangkok,2015,22.8581,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Bangkok,曼谷,Bangkok,2016,25.0036,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Bangkok,曼谷,Bangkok,2017,21.3211,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Bangkok,曼谷,Bangkok,2018,25.4009,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Bangkok,曼谷,Bangkok,2019,23.7645,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Bangkok,曼谷,Bangkok,2020,25.6942,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Bangkok,曼谷,Bangkok,2021,25.306,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Bangkok,曼谷,Bangkok,2022,24.353,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Bangkok,曼谷,Bangkok,2023,26.9455,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Bangkok,曼谷,Bangkok,2024,24.3474,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Barcelona,巴塞罗那,Barcelona,2015,14.0552,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Barcelona,巴塞罗那,Barcelona,2016,12.169,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Barcelona,巴塞罗那,Barcelona,2017,12.0948,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Barcelona,巴塞罗那,Barcelona,2018,11.5092,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Barcelona,巴塞罗那,Barcelona,2019,11.7606,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Barcelona,巴塞罗那,Barcelona,2020,10.9618,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Barcelona,巴塞罗那,Barcelona,2021,10.7531,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Barcelona,巴塞罗那,Barcelona,2022,12.7446,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Barcelona,巴塞罗那,Barcelona,2023,12.0605,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Barcelona,巴塞罗那,Barcelona,2024,11.5322,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Beijing,北京,Beijing,2015,79.3906,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Beijing,北京,Beijing,2016,70.1279,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Beijing,北京,Beijing,2017,56.2214,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Beijing,北京,Beijing,2018,50.9873,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Beijing,北京,Beijing,2019,45.6818,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Beijing,北京,Beijing,2020,43.2066,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Beijing,北京,Beijing,2021,41.1062,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Beijing,北京,Beijing,2022,44.6502,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Beijing,北京,Beijing,2023,49.1252,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Beijing,北京,Beijing,2024,45.3669,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Berlin,柏林,Berlin,2015,14.3369,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Berlin,柏林,Berlin,2016,13.9848,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Berlin,柏林,Berlin,2017,13.6277,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Berlin,柏林,Berlin,2018,14.7941,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Berlin,柏林,Berlin,2019,11.6446,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Berlin,柏林,Berlin,2020,10.4779,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Berlin,柏林,Berlin,2021,11.8689,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Berlin,柏林,Berlin,2022,10.9359,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Berlin,柏林,Berlin,2023,10.3712,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Berlin,柏林,Berlin,2024,10.6595,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Boston,波士顿,Boston,2015,7.723,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Boston,波士顿,Boston,2016,6.5786,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Boston,波士顿,Boston,2017,6.5936,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Boston,波士顿,Boston,2018,6.7294,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Boston,波士顿,Boston,2019,5.8421,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Boston,波士顿,Boston,2020,6.8533,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Boston,波士顿,Boston,2021,6.9775,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Boston,波士顿,Boston,2022,6.3124,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
