time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,7.7,15.0,2.6,5.7,14.0,88,0.0,0.0,0.0,0.0,2.72,4.4
2000-01-02,7.2,9.9,4.6,4.5,6.9,84,0.0,0.0,0.0,0.0,3.49,7.9
2000-01-03,6.8,12.1,2.7,4.2,9.6,81,0.0,0.0,0.0,0.0,2.61,6.7
2000-01-04,10.0,18.4,3.5,8.1,16.7,81,0.0,0.0,0.0,0.0,2.62,6.0
2000-01-05,12.5,17.6,9.8,11.5,16.8,86,1.8,1.8,0.0,8.0,3.76,8.5
2000-01-06,7.5,11.3,5.0,4.6,10.2,91,9.6,9.6,0.0,17.0,5.06,10.2
2000-01-07,5.4,7.3,3.7,1.8,3.6,79,4.5,4.3,0.14,7.0,4.8,9.6
2000-01-08,6.7,7.9,5.0,5.0,6.8,97,16.6,16.6,0.0,21.0,2.7,6.9
2000-01-09,8.7,11.4,6.9,6.6,8.7,88,1.3,1.3,0.0,4.0,3.82,8.1
2000-01-10,8.1,10.0,6.0,5.8,7.1,89,1.3,1.3,0.0,6.0,4.7,9.7
2000-01-11,11.6,14.3,9.6,10.0,14.6,90,6.6,6.6,0.0,17.0,4.8,10.6
2000-01-12,7.3,10.9,5.3,4.2,9.4,90,1.8,1.8,0.0,8.0,4.68,8.8
2000-01-13,4.3,5.4,3.6,0.7,1.6,83,2.7,2.7,0.0,6.0,4.52,8.1
2000-01-14,4.5,6.0,2.6,1.0,3.0,75,0.2,0.2,0.0,1.0,3.92,8.0
2000-01-15,5.9,7.5,4.0,3.5,5.7,93,15.7,15.6,0.07,24.0,3.2,7.3
2000-01-16,5.6,6.9,4.3,2.3,4.6,92,7.7,7.7,0.0,17.0,4.49,8.5
2000-01-17,3.8,5.2,2.5,-0.0,1.0,77,1.6,1.6,0.0,6.0,4.37,8.7
2000-01-18,3.4,5.6,1.2,-0.0,1.5,76,0.0,0.0,0.0,0.0,3.67,7.9
2000-01-19,2.7,5.8,-1.0,-1.3,0.4,69,0.0,0.0,0.0,0.0,5.06,10.9
2000-01-20,0.8,4.6,-2.8,-3.1,0.9,65,0.0,0.0,0.0,0.0,3.22,7.0
2000-01-21,3.9,7.9,-1.0,0.1,3.5,74,0.0,0.0,0.0,0.0,4.78,9.5
2000-01-22,6.5,7.3,5.4,4.5,6.1,88,5.1,5.1,0.0,16.0,2.51,6.7
2000-01-23,5.3,6.6,4.6,2.7,4.6,93,5.7,5.7,0.0,18.0,3.04,6.7
2000-01-24,3.2,4.9,0.8,-0.9,1.4,94,10.3,8.6,1.19,24.0,5.92,11.5
2000-01-25,-0.7,0.8,-1.9,-6.1,-4.1,72,0.6,0.0,0.49,3.0,5.73,10.9
2000-01-26,-1.6,1.1,-4.0,-6.8,-4.3,57,0.0,0.0,0.0,0.0,5.19,10.8
2000-01-27,-1.5,2.1,-4.5,-6.0,-2.3,60,0.0,0.0,0.0,0.0,4.2,8.9
2000-01-28,0.1,3.8,-4.3,-3.4,0.2,72,0.0,0.0,0.0,0.0,2.3,6.3
2000-01-29,3.7,5.6,1.8,1.0,2.8,82,0.0,0.0,0.0,0.0,2.21,4.8
2000-01-30,2.6,4.8,-0.9,-2.1,0.8,61,0.0,0.0,0.0,0.0,5.74,11.7
2000-01-31,-0.3,2.0,-2.6,-5.1,-3.0,60,0.0,0.0,0.0,0.0,5.15,10.4
2000-02-01,-0.7,1.1,-2.4,-4.7,-2.9,68,1.6,0.0,1.26,7.0,3.57,7.4
2000-02-02,1.2,4.5,-2.4,-2.0,1.6,73,0.0,0.0,0.0,0.0,2.2,6.5
2000-02-03,2.6,4.4,0.6,-0.7,1.5,78,0.0,0.0,0.0,0.0,2.84,6.2
2000-02-04,4.0,5.9,1.5,0.8,2.4,79,5.1,4.7,0.35,14.0,3.23,6.8
2000-02-05,4.6,5.9,3.1,2.1,3.3,90,6.3,6.3,0.0,9.0,2.83,5.8
2000-02-06,3.6,5.9,2.3,0.2,2.3,80,0.0,0.0,0.0,0.0,3.29,7.0
2000-02-07,5.0,10.2,1.1,1.3,5.4,69,0.0,0.0,0.0,0.0,6.62,12.9
