time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,8.0,8.7,7.6,5.1,6.3,89,2.7,2.7,0.0,8.0,5.28,9.0
2000-01-02,3.7,7.7,-1.0,-1.9,4.9,69,0.0,0.0,0.0,0.0,8.78,13.9
2000-01-03,2.6,5.4,-0.9,-2.5,0.7,71,0.0,0.0,0.0,0.0,6.48,11.3
2000-01-04,6.4,7.4,5.4,1.4,2.9,82,6.6,6.6,0.0,10.0,8.42,12.9
2000-01-05,4.7,5.4,3.5,-0.4,0.7,92,11.0,11.0,0.0,13.0,8.47,13.1
2000-01-06,-0.1,3.2,-4.9,-6.7,-1.6,70,0.0,0.0,0.0,0.0,8.63,14.3
2000-01-07,-4.9,-3.6,-6.4,-11.1,-8.6,47,0.0,0.0,0.0,0.0,7.43,11.4
2000-01-08,-0.1,2.3,-4.3,-3.6,-1.1,67,0.0,0.0,0.0,0.0,3.53,5.4
2000-01-09,3.3,4.5,1.6,-0.8,2.3,87,4.5,4.5,0.0,11.0,6.02,9.6
2000-01-10,0.5,2.8,-1.5,-4.8,-2.6,73,0.0,0.0,0.0,0.0,6.12,9.6
2000-01-11,0.4,2.0,-1.3,-5.4,-3.4,72,1.1,0.1,0.77,8.0,6.74,10.5
2000-01-12,0.7,2.3,-0.9,-4.7,-3.0,79,2.8,0.0,2.1,10.0,6.89,10.9
2000-01-13,-1.4,0.0,-3.1,-7.8,-6.5,65,0.0,0.0,0.0,0.0,7.21,11.6
2000-01-14,-2.0,0.7,-3.9,-7.3,-4.6,63,0.0,0.0,0.0,0.0,5.94,8.3
2000-01-15,-0.6,1.4,-2.5,-5.2,-3.1,68,0.6,0.0,0.7,3.0,4.52,7.5
2000-01-16,-1.0,1.6,-3.4,-6.9,-4.4,69,0.1,0.0,0.07,1.0,6.54,10.5
2000-01-17,-1.9,1.3,-3.6,-7.7,-4.5,67,0.0,0.0,0.0,0.0,6.48,10.1
2000-01-18,-1.0,3.1,-3.4,-6.1,-2.3,68,0.0,0.0,0.0,0.0,7.75,11.8
2000-01-19,-3.3,-1.5,-4.5,-10.1,-8.9,59,0.2,0.0,0.42,2.0,8.73,14.5
2000-01-20,-2.8,0.5,-5.1,-7.9,-5.1,48,0.0,0.0,0.0,0.0,5.31,8.6
2000-01-21,-2.6,0.5,-5.5,-7.5,-4.4,63,0.0,0.0,0.07,0.0,4.53,7.2
2000-01-22,2.3,4.2,0.1,-2.3,0.3,89,6.8,5.3,1.05,16.0,6.21,9.5
2000-01-23,-0.6,1.5,-3.4,-6.7,-4.2,78,0.0,0.0,0.0,0.0,7.71,12.0
2000-01-24,-4.8,-3.6,-6.6,-12.5,-10.9,61,0.0,0.0,0.0,0.0,9.53,14.6
2000-01-25,-5.4,-2.8,-6.8,-12.7,-9.8,53,0.0,0.0,0.0,0.0,8.05,12.7
2000-01-26,-4.4,-1.5,-6.7,-11.4,-8.9,59,0.0,0.0,0.0,0.0,7.78,12.6
2000-01-27,-2.7,0.8,-4.6,-8.6,-4.9,59,0.0,0.0,0.0,0.0,6.71,11.0
2000-01-28,-1.3,2.3,-4.8,-6.0,-3.0,58,0.0,0.0,0.0,0.0,4.61,7.4
2000-01-29,0.2,3.8,-4.2,-5.4,-1.7,57,0.0,0.0,0.0,0.0,8.26,12.6
2000-01-30,-4.0,-1.6,-6.0,-11.1,-9.1,54,0.0,0.0,0.0,0.0,8.29,13.6
2000-01-31,-5.1,-2.5,-7.1,-11.4,-8.7,52,0.0,0.0,0.0,0.0,6.52,11.3
2000-02-01,-5.4,-2.0,-8.1,-10.5,-7.1,53,0.0,0.0,0.0,0.0,4.36,7.0
2000-02-02,-2.5,0.7,-5.8,-7.0,-3.4,47,0.0,0.0,0.0,0.0,3.36,5.3
2000-02-03,-1.5,2.1,-5.0,-7.1,-4.3,51,0.0,0.0,0.0,0.0,5.95,9.9
2000-02-04,-2.0,1.6,-5.5,-6.3,-2.2,58,0.0,0.0,0.0,0.0,2.86,5.3
2000-02-05,0.5,1.7,-1.2,-2.6,-1.5,82,3.0,0.0,2.24,9.0,2.34,3.8
2000-02-06,0.7,4.5,-2.4,-3.1,0.7,80,0.0,0.0,0.0,0.0,3.31,6.6
2000-02-07,-1.6,0.0,-3.8,-7.4,-5.1,72,5.1,0.0,3.71,8.0,8.16,12.9
2000-02-08,-4.5,-2.7,-7.3,-11.3,-9.3,55,0.0,0.0,0.0,0.0,8.76,15.1
2000-02-09,-4.1,-0.2,-7.9,-8.7,-5.0,57,0.0,0.0,0.0,0.0,4.0,6.2
2000-02-10,0.5,3.4,-2.4,-4.0,-1.6,74,0.0,0.0,0.0,0.0,4.75,8.2
2000-02-11,1.6,6.2,-2.0,-2.2,2.4,71,0.0,0.0,0.0,0.0,3.28,6.0
2000-02-12,3.0,6.7,0.2,-0.6,3.0,81,0.0,0.0,0.0,0.0,3.72,6.1
2000-02-13,3.2,5.8,0.5,-0.4,2.2,87,0.2,0.0,0.14,2.0,6.62,9.6
