time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,4.3,5.3,1.8,1.5,2.9,94,12.8,10.4,1.68,18.0,3.88,9.8
2000-01-02,1.8,4.6,-0.2,-1.3,0.7,89,5.6,0.5,3.57,11.0,3.51,8.6
2000-01-03,2.7,4.9,-0.6,-0.8,1.4,93,16.8,8.9,5.6,18.0,4.59,11.1
2000-01-04,6.0,7.0,3.9,2.8,4.2,88,16.5,16.5,0.0,11.0,5.95,13.3
2000-01-05,3.6,4.6,2.2,0.8,2.1,93,0.0,0.0,0.0,0.0,2.67,6.8
2000-01-06,3.5,4.2,2.9,0.7,1.5,93,10.9,4.4,4.55,17.0,2.6,5.5
2000-01-07,4.7,5.6,3.5,1.9,2.7,96,19.9,18.5,0.98,24.0,3.64,9.9
2000-01-08,5.2,7.2,3.3,1.5,2.9,85,15.3,13.2,1.47,10.0,5.28,13.9
2000-01-09,3.6,5.4,1.2,-1.0,0.1,79,16.7,2.9,9.66,10.0,6.45,17.8
2000-01-10,1.5,2.6,0.6,-1.8,-0.6,87,7.1,1.5,4.06,18.0,2.73,5.8
2000-01-11,1.2,2.0,-0.0,-1.9,-0.7,94,8.8,1.0,5.6,20.0,3.11,6.2
2000-01-12,1.6,3.1,-0.1,-2.0,-0.9,88,15.5,0.7,10.57,20.0,4.34,9.4
2000-01-13,2.5,3.6,1.4,-1.1,0.4,84,7.7,0.9,4.76,15.0,3.5,12.6
2000-01-14,3.0,3.9,2.1,-0.4,0.9,91,19.7,8.0,8.19,24.0,3.65,13.1
2000-01-15,3.1,4.6,1.5,-0.6,1.2,86,9.9,1.1,6.16,15.0,4.04,9.1
2000-01-16,3.2,5.1,1.9,-1.3,-0.1,83,20.7,11.7,6.3,18.0,6.84,22.6
2000-01-17,3.2,4.5,1.1,-0.1,2.2,90,10.3,7.0,2.31,12.0,6.65,16.0
2000-01-18,2.4,6.8,-0.1,-0.4,4.9,87,0.0,0.0,0.0,0.0,2.79,5.4
2000-01-19,1.2,4.0,-0.6,-2.5,0.6,74,0.0,0.0,0.0,0.0,3.24,7.0
2000-01-20,1.6,2.9,0.1,-2.0,-0.6,87,7.1,2.1,3.5,16.0,3.34,8.2
2000-01-21,4.0,5.4,2.8,1.4,3.2,91,5.9,5.9,0.0,16.0,3.33,6.6
2000-01-22,4.0,6.3,2.2,1.6,4.4,91,0.0,0.0,0.0,0.0,2.0,4.3
2000-01-23,3.9,8.2,1.0,1.1,5.9,85,0.0,0.0,0.0,0.0,2.4,5.8
2000-01-24,3.1,5.4,0.7,-0.3,2.5,79,0.0,0.0,0.0,0.0,3.0,7.8
2000-01-25,4.1,4.8,3.1,1.4,2.3,88,10.0,9.7,0.21,21.0,3.14,7.9
2000-01-26,3.2,4.3,0.9,1.0,2.2,96,3.5,2.2,0.91,16.0,1.39,3.8
2000-01-27,3.5,6.0,1.7,1.4,4.4,96,1.2,1.2,0.0,6.0,1.4,2.9
2000-01-28,2.9,6.8,0.7,0.2,4.3,87,0.0,0.0,0.0,0.0,2.19,3.9
2000-01-29,3.3,8.3,0.7,0.5,6.0,80,0.0,0.0,0.0,0.0,2.19,4.9
2000-01-30,2.9,7.0,-0.1,-0.5,4.2,81,5.9,4.4,1.05,6.0,3.66,7.5
2000-01-31,5.1,6.3,3.7,1.9,2.9,87,15.2,12.0,2.24,19.0,4.46,10.9
2000-02-01,6.8,9.3,4.5,3.3,5.1,91,26.2,23.4,1.96,24.0,7.02,20.3
2000-02-02,5.0,7.9,2.0,2.6,5.9,87,0.0,0.0,0.0,0.0,2.63,6.7
2000-02-03,5.5,8.5,2.8,1.9,5.8,74,0.0,0.0,0.0,0.0,3.8,9.8
2000-02-04,4.3,8.3,1.4,1.3,6.1,79,0.0,0.0,0.0,0.0,3.4,8.1
2000-02-05,4.1,7.1,1.3,0.9,4.5,78,0.0,0.0,0.0,0.0,2.92,6.0
2000-02-06,6.0,7.3,4.3,3.1,4.8,86,5.1,5.1,0.0,16.0,3.36,8.9
2000-02-07,7.1,9.5,5.4,4.5,8.0,84,5.8,5.8,0.0,9.0,4.46,9.4
2000-02-08,6.1,6.8,5.5,3.5,4.3,90,19.9,19.9,0.0,15.0,4.2,9.6
2000-02-09,4.7,7.0,2.3,2.2,4.9,87,8.2,7.9,0.21,16.0,2.28,9.1
2000-02-10,3.3,7.9,0.1,0.5,5.2,87,0.0,0.0,0.0,0.0,2.0,4.4
2000-02-11,2.1,5.7,-0.7,-0.9,2.9,87,0.0,0.0,0.0,0.0,2.25,4.3
2000-02-12,4.0,7.6,1.1,1.1,4.9,78,0.0,0.0,0.0,0.0,2.53,5.5
2000-02-13,3.0,7.0,0.2,-0.3,4.3,75,0.2,0.2,0.0,2.0,3.04,6.6
2000-02-14,2.6,5.9,0.6,-1.1,2.9,70,0.0,0.0,0.0,0.0,3.19,7.9
2000-02-15,3.1,6.6,0.3,0.5,4.1,84,1.7,0.6,0.84,12.0,1.9,5.4
2000-02-16,2.4,7.6,-1.5,-0.9,4.7,81,0.0,0.0,0.0,0.0,2.72,5.1
2000-02-17,1.6,8.0,-2.5,-1.6,5.3,78,0.0,0.0,0.0,0.0,2.64,5.4
2000-02-18,1.1,7.5,-3.8,-1.9,4.9,81,0.0,0.0,0.0,0.0,1.97,3.4
2000-02-19,3.5,10.9,-1.2,0.3,8.3,73,0.0,0.0,0.0,0.0,2.48,5.8
2000-02-20,6.0,11.8,0.6,3.2,9.6,69,0.0,0.0,0.0,0.0,2.48,5.9
2000-02-21,6.4,7.1,5.4,4.0,4.6,87,8.9,8.9,0.0,15.0,3.01,7.1
2000-02-22,7.8,9.2,5.7,4.6,6.1,84,21.5,21.5,0.0,24.0,5.92,18.9
2000-02-23,4.8,6.1,3.0,2.3,3.7,88,11.7,9.1,1.82,19.0,2.28,6.1
2000-02-24,4.1,7.8,1.5,1.2,5.7,84,3.7,2.8,0.63,15.0,2.64,5.2
2000-02-25,4.7,8.0,1.9,1.2,4.2,79,14.2,4.6,6.72,8.0,3.8,8.8
2000-02-26,5.9,8.3,3.8,3.2,5.3,82,6.4,2.5,2.73,7.0,2.56,6.7
