time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,5.5,8.7,3.0,2.6,6.2,96,0.5,0.5,0.0,3.0,4.24,7.2
2000-01-02,6.5,8.4,3.4,3.4,5.9,97,0.0,0.0,0.0,0.0,5.51,10.0
2000-01-03,8.5,9.4,7.6,4.2,4.9,92,1.1,1.1,0.0,7.0,7.85,13.9
2000-01-04,6.5,8.2,4.9,3.1,4.5,95,9.0,9.0,0.0,15.0,7.95,15.1
2000-01-05,4.6,6.9,1.9,0.2,2.7,87,0.0,0.0,0.0,0.0,7.35,13.9
2000-01-06,6.7,8.6,4.8,2.2,4.4,90,2.7,2.7,0.0,7.0,7.0,12.9
2000-01-07,6.2,7.7,4.4,2.2,4.6,91,0.0,0.0,0.0,0.0,7.26,12.8
2000-01-08,6.1,8.1,2.8,1.8,5.1,89,0.3,0.3,0.0,3.0,7.96,14.1
2000-01-09,2.6,5.8,-0.6,-0.6,2.7,92,0.0,0.0,0.0,0.0,3.54,6.1
2000-01-10,0.4,2.5,-2.0,-3.1,-0.6,94,0.0,0.0,0.0,0.0,4.14,6.7
2000-01-11,1.9,4.5,-0.1,-2.8,-0.0,92,0.0,0.0,0.0,0.0,5.7,9.9
2000-01-12,0.8,2.7,-0.4,-4.6,-2.3,84,0.0,0.0,0.0,0.0,6.36,11.5
2000-01-13,1.4,2.5,0.1,-3.6,-2.3,84,0.1,0.1,0.0,1.0,6.4,11.0
2000-01-14,2.5,4.9,1.4,-0.5,2.5,96,0.0,0.0,0.0,0.0,3.76,7.1
2000-01-15,3.3,4.9,2.2,0.1,1.0,89,0.0,0.0,0.0,0.0,3.72,7.6
2000-01-16,5.3,6.6,2.8,2.1,3.5,92,0.0,0.0,0.0,0.0,4.85,8.2
2000-01-17,6.6,7.6,5.6,2.2,3.8,91,0.0,0.0,0.0,0.0,7.13,13.7
2000-01-18,6.8,7.8,5.4,1.4,2.8,85,0.0,0.0,0.0,0.0,9.44,18.3
2000-01-19,4.5,5.5,3.5,0.3,1.3,82,0.0,0.0,0.0,0.0,5.51,11.1
2000-01-20,4.9,5.9,3.3,0.9,1.7,89,0.0,0.0,0.0,0.0,6.71,11.7
2000-01-21,5.6,6.6,3.7,1.1,1.8,85,0.0,0.0,0.0,0.0,7.35,13.0
2000-01-22,5.1,6.0,3.9,0.4,1.6,86,3.9,3.9,0.0,9.0,7.59,13.7
2000-01-23,2.0,4.7,-3.1,-2.1,0.4,86,0.0,0.0,0.0,0.0,5.1,9.6
2000-01-24,-3.5,0.1,-6.4,-7.2,-3.4,84,0.0,0.0,0.0,0.0,2.27,4.6
2000-01-25,1.0,3.5,-1.6,-2.7,0.1,87,0.4,0.0,0.35,1.0,3.41,6.6
2000-01-26,3.4,5.1,0.8,-0.2,1.6,90,0.0,0.0,0.0,0.0,4.08,7.7
2000-01-27,3.4,4.9,2.2,-1.2,-0.2,84,0.0,0.0,0.0,0.0,6.15,13.0
2000-01-28,3.7,5.8,2.1,-2.1,-0.9,84,1.7,1.7,0.0,5.0,9.67,17.1
2000-01-29,8.5,10.4,6.2,2.0,3.7,89,15.1,15.1,0.0,18.0,11.83,23.4
2000-01-30,8.6,10.1,7.3,3.7,6.6,82,1.8,1.8,0.0,6.0,10.27,21.6
2000-01-31,9.7,10.3,9.3,4.5,6.5,84,2.7,2.7,0.0,8.0,11.27,19.8
2000-02-01,8.8,9.4,8.2,3.8,4.5,82,0.4,0.4,0.0,2.0,9.38,16.7
2000-02-02,7.5,8.2,6.5,3.2,5.1,87,7.6,7.6,0.0,10.0,7.55,13.2
2000-02-03,6.6,7.8,5.9,2.3,4.0,85,0.4,0.4,0.0,3.0,8.32,13.9
2000-02-04,7.4,9.0,5.6,2.8,4.2,91,0.3,0.3,0.0,2.0,8.77,16.3
2000-02-05,8.5,10.6,7.2,4.4,6.7,81,0.0,0.0,0.0,0.0,7.12,13.1
2000-02-06,7.6,8.7,5.9,3.6,4.9,85,0.2,0.2,0.0,1.0,7.71,13.4
2000-02-07,7.8,9.1,6.3,2.6,4.5,86,6.4,6.4,0.0,9.0,9.9,18.7
