time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2015-01-01,-3.5,2.1,-7.9,-8.4,-3.1,28,0.0,0.0,0.0,0.0,3.26,6.8
2015-01-02,-2.2,4.7,-6.6,-6.9,0.9,35,0.0,0.0,0.0,0.0,2.51,5.8
2015-01-03,-3.2,2.7,-6.7,-7.4,-1.7,49,0.0,0.0,0.0,0.0,2.6,4.9
2015-01-04,-0.8,6.8,-7.2,-5.0,2.8,45,0.0,0.0,0.0,0.0,2.47,4.1
2015-01-05,2.7,9.9,-2.6,-2.2,3.6,36,0.0,0.0,0.0,0.0,6.46,12.8
2015-01-06,-0.9,5.0,-4.7,-5.9,0.3,26,0.0,0.0,0.0,0.0,3.74,7.2
2015-01-07,-2.6,3.3,-6.6,-7.1,-1.3,41,0.0,0.0,0.0,0.0,2.27,5.2
2015-01-08,-3.2,4.1,-7.8,-7.1,-0.1,63,0.0,0.0,0.0,0.0,2.94,4.5
2015-01-09,-1.0,6.8,-5.7,-5.7,2.0,39,0.0,0.0,0.0,0.0,3.06,7.5
2015-01-10,1.2,10.5,-4.7,-3.1,6.2,42,0.0,0.0,0.0,0.0,3.4,6.4
2015-01-11,0.3,5.5,-4.8,-4.3,0.8,40,0.0,0.0,0.0,0.0,3.32,7.0
2015-01-12,-3.4,3.0,-8.7,-7.6,-1.5,61,0.0,0.0,0.0,0.0,2.62,6.1
2015-01-13,-3.1,3.2,-6.7,-7.0,-0.9,63,0.0,0.0,0.0,0.0,1.75,5.1
2015-01-14,-3.2,0.9,-6.9,-6.9,-2.5,71,0.0,0.0,0.0,0.0,1.65,4.4
2015-01-15,-2.8,0.2,-5.4,-6.2,-3.8,82,0.0,0.0,0.0,0.0,2.61,6.0
2015-01-16,-2.1,2.9,-6.2,-7.5,-3.5,46,0.0,0.0,0.0,0.0,6.67,13.4
2015-01-17,-4.7,0.3,-9.7,-9.2,-3.9,45,0.0,0.0,0.0,0.0,2.8,6.2
2015-01-18,-0.2,6.6,-3.6,-5.0,-0.2,44,0.0,0.0,0.14,0.0,7.16,14.4
2015-01-19,-0.8,5.3,-6.4,-5.1,0.7,43,0.0,0.0,0.0,0.0,2.98,7.2
2015-01-20,-1.8,4.0,-6.5,-5.9,0.3,63,0.0,0.0,0.0,0.0,3.5,6.1
2015-01-21,0.2,6.1,-5.4,-4.7,2.2,41,0.0,0.0,0.0,0.0,4.25,9.7
2015-01-22,-2.4,4.4,-7.3,-6.5,-0.2,54,0.0,0.0,0.0,0.0,3.06,6.7
2015-01-23,-1.4,5.8,-6.0,-5.2,1.9,58,0.0,0.0,0.0,0.0,2.98,4.3
2015-01-24,-0.3,3.5,-3.6,-4.1,-0.5,52,0.4,0.0,0.42,3.0,2.61,4.7
2015-01-25,-1.3,2.1,-4.0,-4.7,-1.0,83,0.0,0.0,0.0,0.0,2.31,5.1
2015-01-26,-1.4,2.5,-5.8,-6.3,-3.5,54,0.0,0.0,0.0,0.0,6.28,12.9
2015-01-27,-4.7,0.9,-9.9,-9.7,-3.7,29,0.0,0.0,0.0,0.0,2.82,7.1
2015-01-28,-3.7,0.4,-7.4,-8.4,-4.3,35,0.0,0.0,0.0,0.0,2.09,5.9
2015-01-29,-1.5,3.7,-5.0,-6.3,-2.3,37,0.0,0.0,0.0,0.0,4.86,10.4
2015-01-30,-2.6,2.4,-7.1,-7.8,-2.5,25,0.0,0.0,0.0,0.0,3.94,8.7
2015-01-31,-3.7,2.5,-8.8,-8.3,-1.7,30,0.0,0.0,0.0,0.0,2.72,5.0
2015-02-01,-3.2,2.3,-9.5,-7.3,-2.1,40,0.0,0.0,0.0,0.0,1.8,4.9
2015-02-02,-2.3,3.3,-9.3,-6.5,-1.1,41,0.0,0.0,0.0,0.0,1.81,5.2
2015-02-03,0.9,8.0,-3.9,-3.5,3.2,44,0.0,0.0,0.0,0.0,4.12,8.0
2015-02-04,0.8,6.5,-3.3,-4.8,0.4,30,0.0,0.0,0.0,0.0,5.01,10.4
2015-02-05,1.3,7.6,-4.2,-3.3,3.2,38,0.0,0.0,0.0,0.0,3.23,6.3
2015-02-06,1.5,9.8,-4.9,-2.6,5.8,46,0.0,0.0,0.0,0.0,2.97,5.2
2015-02-07,0.4,3.6,-5.5,-5.4,-3.2,27,0.0,0.0,0.0,0.0,6.3,13.0
2015-02-08,-4.0,1.4,-8.4,-9.1,-2.6,24,0.0,0.0,0.0,0.0,3.4,7.1
2015-02-09,-2.2,5.8,-8.6,-6.6,0.9,37,0.0,0.0,0.0,0.0,3.51,7.3
2015-02-10,1.7,11.9,-5.7,-2.3,8.3,40,0.0,0.0,0.0,0.0,3.16,4.3
2015-02-11,2.5,9.2,-3.3,-1.9,5.3,35,0.0,0.0,0.0,0.0,3.1,6.4
2015-02-12,0.3,6.2,-4.1,-4.0,2.2,43,0.0,0.0,0.0,0.0,3.04,6.0
2015-02-13,-0.2,7.8,-7.0,-4.1,3.8,58,0.0,0.0,0.0,0.0,3.1,7.1
2015-02-14,2.0,11.6,-4.6,-1.6,8.1,58,0.0,0.0,0.0,0.0,2.6,4.9
2015-02-15,3.4,9.0,-1.7,-0.2,5.1,54,0.0,0.0,0.0,0.0,2.41,4.7
2015-02-16,3.1,11.4,-3.0,-1.2,5.5,58,0.0,0.0,0.0,0.0,6.59,13.4
2015-02-17,2.9,9.8,-2.6,-1.3,5.9,49,0.0,0.0,0.0,0.0,3.4,8.1
2015-02-18,2.3,9.3,-3.3,-1.7,6.1,48,0.0,0.0,0.0,0.0,2.44,5.8
2015-02-19,0.1,6.1,-5.3,-3.9,1.3,64,0.3,0.3,0.0,3.0,3.81,8.0
2015-02-20,0.5,2.4,-0.7,-2.6,-0.5,92,5.0,0.8,2.94,16.0,2.62,6.0
2015-02-21,0.5,5.1,-2.9,-3.7,1.5,74,0.3,0.1,0.21,2.0,8.03,15.7
2015-02-22,-1.0,4.1,-4.7,-6.9,-0.8,30,0.0,0.0,0.0,0.0,6.44,12.9
2015-02-23,-0.9,5.9,-6.6,-5.3,2.1,46,0.0,0.0,0.0,0.0,3.2,7.2
2015-02-24,0.2,6.4,-5.6,-3.4,3.4,63,0.0,0.0,0.0,0.0,2.42,5.8
2015-02-25,2.0,6.5,-2.0,-3.0,0.8,43,0.0,0.0,0.0,0.0,5.77,12.6
2015-02-26,0.1,5.5,-4.8,-4.9,0.6,32,0.0,0.0,0.0,0.0,4.66,11.3
2015-02-27,-1.2,1.6,-4.2,-5.9,-2.9,42,0.0,0.0,0.0,0.0,3.0,7.2
2015-02-28,-1.0,3.4,-3.2,-5.0,-1.1,79,0.4,0.0,0.63,3.0,4.43,9.0
2015-03-01,3.7,12.0,-4.5,-1.0,6.9,40,0.0,0.0,0.0,0.0,4.64,9.8
2015-03-02,5.2,14.1,-3.0,0.9,9.5,41,0.0,0.0,0.0,0.0,5.15,9.9
2015-03-03,1.5,5.1,-3.2,-4.7,-0.0,19,0.0,0.0,0.0,0.0,7.81,15.5
2015-03-04,-0.3,6.1,-6.2,-5.0,2.1,26,0.0,0.0,0.0,0.0,3.04,6.5
2015-03-05,0.9,8.2,-5.7,-3.7,2.8,36,0.0,0.0,0.0,0.0,4.75,10.4
2015-03-06,2.4,11.2,-4.3,-1.5,7.2,49,0.0,0.0,0.0,0.0,3.93,8.7
2015-03-07,5.4,13.0,-2.6,2.1,10.4,56,0.0,0.0,0.0,0.0,2.22,6.2
2015-03-08,5.1,11.7,-1.1,0.7,7.1,48,0.0,0.0,0.0,0.0,4.71,10.4
2015-03-09,-0.5,4.1,-4.6,-6.1,-1.7,20,0.0,0.0,0.0,0.0,5.41,11.4
2015-03-10,1.9,9.7,-5.3,-2.8,4.5,27,0.0,0.0,0.0,0.0,3.85,7.7
2015-03-11,4.4,12.0,-1.9,-0.1,7.7,28,0.0,0.0,0.0,0.0,3.3,8.1
2015-03-12,4.5,11.8,-3.8,0.5,8.5,38,0.0,0.0,0.0,0.0,2.69,7.3
2015-03-13,4.9,12.7,-1.8,0.8,8.9,40,0.0,0.0,0.0,0.0,3.49,9.2
2015-03-14,4.1,12.8,-1.5,0.3,9.2,50,0.0,0.0,0.0,0.0,2.83,7.8
2015-03-15,8.0,16.9,-1.3,3.9,12.8,39,0.0,0.0,0.0,0.0,5.19,10.7
2015-03-16,9.7,16.1,3.7,6.9,14.0,50,0.0,0.0,0.0,0.0,2.38,6.2
2015-03-17,10.1,16.1,3.4,6.7,13.7,46,0.0,0.0,0.0,0.0,4.04,7.9
2015-03-18,9.1,14.6,4.6,5.4,10.2,34,0.0,0.0,0.0,0.0,3.14,7.5
2015-03-19,10.8,19.4,0.6,7.0,14.7,41,0.0,0.0,0.0,0.0,3.73,8.2
2015-03-20,12.0,20.1,4.1,7.9,17.7,28,0.0,0.0,0.0,0.0,3.71,8.7
2015-03-21,12.6,19.5,7.0,7.7,14.3,17,0.0,0.0,0.0,0.0,4.7,10.7
2015-03-22,9.4,13.6,4.2,4.4,9.5,19,0.0,0.0,0.0,0.0,4.53,8.7
2015-03-23,9.3,18.9,-1.9,5.2,15.1,25,0.0,0.0,0.0,0.0,3.55,6.9
2015-03-24,8.8,17.1,0.7,5.0,13.1,30,0.0,0.0,0.0,0.0,2.73,6.4
