time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,0.4,1.9,-0.8,-2.9,-0.9,97,2.5,1.9,0.42,9.0,3.48,6.9
2000-01-02,3.6,4.3,2.1,-0.0,0.5,93,0.0,0.0,0.0,0.0,4.49,9.1
2000-01-03,5.5,6.7,4.4,1.5,2.5,86,0.0,0.0,0.0,0.0,5.55,10.5
2000-01-04,5.6,6.4,4.5,1.9,3.2,89,3.3,3.3,0.0,8.0,5.85,10.5
2000-01-05,4.3,6.6,0.3,-0.3,1.9,84,1.6,1.6,0.0,5.0,7.62,14.9
2000-01-06,1.0,4.5,-1.3,-2.9,0.5,90,0.0,0.0,0.0,0.0,4.33,8.0
2000-01-07,4.4,6.6,2.3,1.1,3.9,93,0.6,0.6,0.0,2.0,4.12,8.1
2000-01-08,3.5,5.4,1.8,-0.5,1.4,88,0.0,0.0,0.0,0.0,4.88,10.3
2000-01-09,4.3,5.0,2.9,1.6,2.4,93,2.0,2.0,0.0,8.0,3.05,5.8
2000-01-10,1.8,2.3,1.1,-1.4,-0.7,95,0.0,0.0,0.0,0.0,2.94,6.2
2000-01-11,0.3,1.7,-2.1,-3.4,-1.5,90,0.0,0.0,0.0,0.0,4.04,7.6
2000-01-12,-1.6,1.2,-3.5,-5.8,-2.8,93,0.0,0.0,0.0,0.0,4.02,8.9
2000-01-13,-3.0,-0.6,-4.7,-7.4,-5.3,83,0.0,0.0,0.0,0.0,3.7,7.5
2000-01-14,-2.4,-0.8,-4.7,-6.3,-4.2,81,0.0,0.0,0.0,0.0,2.9,5.0
2000-01-15,-0.8,0.1,-1.9,-4.5,-3.9,88,0.1,0.0,0.07,1.0,3.4,7.3
2000-01-16,0.1,3.8,-3.3,-4.0,-1.0,97,0.1,0.1,0.21,1.0,6.1,11.4
2000-01-17,6.3,7.5,4.0,1.1,1.9,91,0.0,0.0,0.0,0.0,8.66,16.5
2000-01-18,4.7,6.6,2.1,-1.2,1.2,73,3.1,3.1,0.0,6.0,8.26,18.0
2000-01-19,1.0,2.8,-0.7,-4.4,-2.7,75,0.0,0.0,0.0,0.0,6.54,12.3
2000-01-20,1.8,4.6,-1.9,-3.6,-1.4,90,2.7,2.7,0.0,12.0,8.51,16.2
2000-01-21,0.5,4.6,-3.5,-5.1,-1.0,78,4.2,3.0,0.98,12.0,8.94,19.1
2000-01-22,-3.0,-2.0,-3.8,-7.5,-6.2,82,3.5,0.0,2.59,9.0,4.4,8.7
2000-01-23,-6.4,-3.1,-10.4,-11.4,-7.8,77,0.0,0.0,0.0,0.0,4.03,7.9
2000-01-24,-5.0,-2.5,-7.0,-9.5,-6.7,82,0.0,0.0,0.14,0.0,3.75,6.6
2000-01-25,-7.0,-3.0,-11.8,-12.0,-8.2,82,0.0,0.0,0.0,0.0,4.59,8.5
2000-01-26,-0.1,2.9,-4.5,-5.2,-2.3,92,0.5,0.4,0.28,5.0,6.54,12.2
2000-01-27,2.5,3.4,1.9,-2.7,-1.8,93,0.2,0.2,0.0,2.0,6.73,12.7
2000-01-28,2.0,2.8,1.6,-3.5,-3.2,79,0.1,0.1,0.14,1.0,6.6,12.6
2000-01-29,4.1,7.7,1.3,-1.6,2.0,86,11.0,11.0,0.07,16.0,9.01,21.8
2000-01-30,5.1,6.3,3.3,-1.1,0.7,72,0.4,0.4,0.0,3.0,9.98,24.4
2000-01-31,7.5,10.2,3.2,1.9,3.4,77,4.9,4.9,0.0,12.0,10.71,21.0
2000-02-01,8.0,9.4,5.5,4.1,5.4,83,1.5,1.5,0.0,6.0,6.3,12.0
