time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2010-01-01,7.8,9.3,5.6,5.5,6.7,75,0.0,0.0,0.0,0.0,2.3,5.0
2010-01-02,8.2,13.8,4.7,6.1,12.2,82,0.0,0.0,0.0,0.0,2.66,5.7
2010-01-03,8.6,14.8,4.7,6.6,12.9,85,0.0,0.0,0.0,0.0,3.31,7.7
2010-01-04,9.0,13.2,5.2,6.4,10.5,81,0.0,0.0,0.0,0.0,5.13,10.2
2010-01-05,2.8,9.4,-0.5,-1.8,5.2,83,9.9,9.7,0.14,18.0,5.36,10.4
2010-01-06,0.7,2.2,-0.6,-3.2,-1.1,82,0.2,0.2,0.0,1.0,4.24,8.4
2010-01-07,2.4,3.1,1.7,-1.1,-0.4,83,0.3,0.3,0.0,2.0,3.36,6.9
2010-01-08,3.5,5.4,1.5,0.7,2.4,84,0.0,0.0,0.0,0.0,2.78,5.8
2010-01-09,6.3,8.7,4.0,3.7,6.9,80,0.0,0.0,0.0,0.0,3.32,6.7
2010-01-10,3.8,6.1,2.4,-0.4,2.6,90,6.7,6.7,0.0,11.0,5.12,10.3
2010-01-11,2.8,4.3,1.8,-1.8,-0.4,76,0.1,0.0,0.14,1.0,5.51,11.0
2010-01-12,3.3,8.7,-0.2,-0.1,5.7,68,0.0,0.0,0.0,0.0,3.41,6.3
2010-01-13,4.0,9.5,-1.0,0.8,7.2,71,0.0,0.0,0.0,0.0,2.62,5.6
2010-01-14,6.5,14.1,0.1,3.4,11.3,69,0.0,0.0,0.0,0.0,3.34,8.0
2010-01-15,8.4,9.7,6.7,5.5,7.2,73,0.8,0.8,0.0,6.0,4.05,7.5
2010-01-16,6.1,9.1,3.4,3.3,7.0,81,0.0,0.0,0.0,0.0,3.71,7.0
2010-01-17,7.8,12.5,4.5,5.9,10.5,81,0.0,0.0,0.0,0.0,2.2,5.1
2010-01-18,9.2,15.4,4.5,7.2,13.9,83,0.0,0.0,0.0,0.0,3.11,7.3
2010-01-19,14.5,19.8,10.0,12.6,18.3,73,0.0,0.0,0.0,0.0,5.14,10.3
2010-01-20,14.6,19.3,7.8,13.1,19.2,75,1.9,1.9,0.0,4.0,6.26,12.4
2010-01-21,6.3,9.7,5.1,1.7,5.1,80,6.2,6.2,0.0,14.0,7.41,13.9
2010-01-22,3.9,5.7,3.0,-0.1,1.6,80,8.5,8.5,0.0,18.0,4.82,9.0
2010-01-23,3.7,4.7,3.0,0.9,2.5,83,6.2,6.2,0.0,12.0,2.34,5.0
2010-01-24,4.7,5.4,3.7,2.4,3.5,83,0.1,0.1,0.0,1.0,2.11,3.7
2010-01-25,6.5,10.4,3.5,3.0,6.4,74,0.0,0.0,0.0,0.0,5.11,10.5
2010-01-26,7.0,12.1,2.5,4.4,9.0,77,0.0,0.0,0.0,0.0,3.1,7.0
2010-01-27,10.1,10.6,9.5,8.6,9.6,83,3.5,3.5,0.0,9.0,2.43,6.6
2010-01-28,10.6,13.4,8.8,8.8,11.7,86,0.1,0.1,0.0,1.0,3.37,7.0
2010-01-29,10.3,10.8,9.6,8.6,9.5,86,5.6,5.6,0.0,12.0,3.26,6.9
2010-01-30,9.9,11.6,9.1,8.2,10.2,87,2.4,2.4,0.0,6.0,3.64,8.3
2010-01-31,8.0,9.2,6.6,5.1,6.6,92,9.6,9.6,0.0,14.0,4.85,9.1
