time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,5.1,7.5,3.1,2.8,5.1,91,0.0,0.0,0.0,0.0,4.14,7.5
2000-01-02,6.2,9.3,3.2,3.8,7.0,86,0.0,0.0,0.0,0.0,2.9,4.8
2000-01-03,6.7,8.6,5.0,4.7,6.8,85,0.0,0.0,0.0,0.0,1.99,4.1
2000-01-04,7.7,10.1,5.7,5.7,8.4,81,0.0,0.0,0.0,0.0,1.81,4.4
2000-01-05,7.6,9.8,4.7,5.5,8.0,86,0.0,0.0,0.0,0.0,3.41,5.9
2000-01-06,8.7,10.8,7.2,6.4,8.2,75,0.0,0.0,0.0,0.0,2.91,5.4
2000-01-07,8.1,10.4,5.4,6.0,8.0,79,0.0,0.0,0.0,0.0,2.72,5.5
2000-01-08,9.1,11.5,7.3,7.5,10.5,82,0.0,0.0,0.0,0.0,2.18,4.8
2000-01-09,8.8,10.5,7.4,7.3,9.1,88,0.7,0.7,0.0,5.0,2.86,5.0
2000-01-10,8.8,11.0,6.6,7.3,9.6,87,0.0,0.0,0.0,0.0,2.61,4.4
2000-01-11,9.8,12.2,8.2,7.8,10.1,80,0.0,0.0,0.0,0.0,2.64,4.7
2000-01-12,8.5,10.4,6.5,5.6,7.3,66,0.1,0.1,0.0,1.0,2.88,5.2
2000-01-13,8.4,11.9,5.1,5.7,9.9,70,0.0,0.0,0.0,0.0,4.16,7.4
2000-01-14,8.5,9.9,7.4,6.2,7.6,84,0.3,0.3,0.0,3.0,3.24,6.9
2000-01-15,7.3,8.1,5.9,4.4,5.1,85,0.7,0.7,0.0,5.0,4.3,8.0
2000-01-16,6.0,7.2,4.9,2.7,3.2,79,0.0,0.0,0.0,0.0,4.38,8.3
2000-01-17,6.3,9.9,4.1,3.3,6.3,73,0.0,0.0,0.0,0.0,2.73,6.3
2000-01-18,6.4,10.9,2.6,3.6,8.4,68,0.0,0.0,0.0,0.0,2.77,5.6
2000-01-19,6.0,10.1,2.3,3.1,7.7,70,0.0,0.0,0.0,0.0,2.83,5.5
2000-01-20,6.0,7.8,5.0,3.3,4.9,86,6.5,6.5,0.0,22.0,3.38,7.1
2000-01-21,5.8,7.1,4.6,3.4,4.5,87,0.0,0.0,0.0,0.0,3.09,5.5
2000-01-22,5.8,7.8,3.5,3.4,5.5,84,0.0,0.0,0.0,0.0,2.88,4.8
2000-01-23,6.3,8.5,4.7,3.5,5.6,79,0.0,0.0,0.0,0.0,2.79,5.7
2000-01-24,6.9,10.1,4.4,4.2,6.8,74,0.0,0.0,0.0,0.0,2.83,6.4
2000-01-25,5.9,7.6,3.5,3.2,4.6,83,0.2,0.2,0.0,2.0,3.72,7.6
2000-01-26,5.4,7.3,4.1,2.7,4.7,83,0.2,0.2,0.0,2.0,2.59,5.8
2000-01-27,4.6,5.4,3.4,1.7,2.7,88,4.3,4.3,0.0,24.0,2.79,5.9
2000-01-28,4.1,6.2,2.6,1.5,3.3,86,0.6,0.6,0.0,5.0,2.5,5.5
2000-01-29,5.7,9.4,2.4,2.6,5.6,74,0.7,0.7,0.0,4.0,3.72,8.8
2000-01-30,4.6,5.9,2.8,1.2,2.1,74,1.4,1.4,0.0,7.0,3.72,7.7
2000-01-31,3.1,4.5,1.9,0.2,1.7,91,4.9,2.5,1.68,20.0,2.87,6.2
2000-02-01,3.1,4.2,1.8,0.1,1.2,84,0.5,0.3,0.56,4.0,2.81,5.7
2000-02-02,3.5,5.9,1.7,0.4,2.9,83,0.0,0.0,0.63,0.0,2.5,5.3
2000-02-03,4.1,6.6,1.9,1.3,3.9,83,0.0,0.0,0.35,0.0,2.53,4.5
2000-02-04,4.3,6.2,2.3,1.5,3.2,83,0.0,0.0,0.0,0.0,3.2,5.4
2000-02-05,5.4,10.6,0.8,2.8,8.0,78,0.0,0.0,0.0,0.0,2.0,4.8
2000-02-06,6.4,9.8,3.3,4.0,7.6,79,0.0,0.0,0.0,0.0,2.92,5.3
2000-02-07,7.1,11.4,3.0,4.3,8.1,70,0.0,0.0,0.0,0.0,2.63,5.0
2000-02-08,7.4,10.5,3.6,4.5,8.0,66,0.0,0.0,0.0,0.0,3.48,6.0
2000-02-09,7.7,9.8,5.5,5.1,7.8,70,0.0,0.0,0.0,0.0,2.79,5.2
2000-02-10,8.5,11.1,6.2,6.7,9.4,80,0.0,0.0,0.0,0.0,2.2,4.2
2000-02-11,8.7,12.7,4.7,6.9,10.9,81,0.0,0.0,0.0,0.0,2.7,4.6
2000-02-12,9.0,10.9,6.7,7.0,9.3,82,0.0,0.0,0.0,0.0,3.2,4.6
2000-02-13,10.1,12.2,8.1,8.0,9.7,74,1.0,1.0,0.0,7.0,2.41,4.9
2000-02-14,9.8,13.3,7.7,6.7,9.8,56,0.0,0.0,0.0,0.0,3.22,5.5
2000-02-15,9.4,12.8,6.4,6.9,10.0,64,0.0,0.0,0.0,0.0,2.51,5.7
2000-02-16,9.0,12.2,5.4,7.1,10.5,81,0.4,0.4,0.0,1.0,2.68,4.7
2000-02-17,8.9,10.6,7.6,6.8,8.3,82,0.3,0.3,0.0,3.0,3.01,5.8
2000-02-18,9.2,12.5,6.5,7.0,9.7,77,0.0,0.0,0.0,0.0,3.22,6.6
