time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2005-01-01,3.2,6.0,-0.4,0.2,3.1,72,0.0,0.0,0.0,0.0,1.84,4.7
2005-01-02,3.6,9.6,-1.3,0.6,6.7,77,0.0,0.0,0.0,0.0,2.7,4.9
2005-01-03,5.5,7.9,2.3,2.6,5.3,71,0.0,0.0,0.0,0.0,2.69,6.9
2005-01-04,7.1,11.3,3.0,4.3,8.3,66,0.0,0.0,0.0,0.0,2.71,5.6
2005-01-05,7.9,12.0,2.2,4.9,9.7,60,0.0,0.0,0.0,0.0,2.77,5.1
2005-01-06,5.7,11.3,-0.4,3.3,9.5,79,0.0,0.0,0.0,0.0,1.92,5.1
2005-01-07,8.8,9.5,7.8,7.0,8.2,80,0.7,0.7,0.0,4.0,2.1,4.7
2005-01-08,8.1,9.0,6.8,6.1,6.8,77,1.0,1.0,0.0,9.0,1.62,4.5
2005-01-09,7.3,9.5,5.7,5.0,7.4,75,0.3,0.3,0.0,3.0,2.24,4.8
2005-01-10,5.6,6.6,4.3,3.2,4.1,79,1.1,1.1,0.0,5.0,2.47,4.2
2005-01-11,6.1,8.3,4.4,4.0,6.3,81,0.2,0.2,0.0,2.0,1.89,3.9
2005-01-12,5.9,9.2,3.6,3.5,6.8,75,0.0,0.0,0.0,0.0,1.61,4.7
2005-01-13,5.9,9.5,2.4,3.3,7.2,72,0.0,0.0,0.0,0.0,1.71,4.7
2005-01-14,5.2,9.3,2.6,2.5,6.9,78,0.0,0.0,0.0,0.0,2.24,5.4
2005-01-15,5.1,10.5,-0.4,2.4,7.8,78,0.0,0.0,0.0,0.0,2.34,5.6
2005-01-16,8.1,12.2,2.6,5.6,9.6,69,0.0,0.0,0.0,0.0,1.73,5.2
2005-01-17,8.1,9.2,7.3,6.2,7.6,78,1.6,1.6,0.0,9.0,1.84,3.2
2005-01-18,7.4,8.3,6.2,5.8,6.7,86,2.5,2.5,0.0,12.0,1.14,3.6
2005-01-19,7.3,8.9,5.7,5.1,6.1,78,0.4,0.4,0.0,4.0,2.16,4.8
2005-01-20,6.7,7.6,5.7,4.4,4.9,76,1.0,1.0,0.0,7.0,2.15,4.7
2005-01-21,5.7,6.8,4.4,3.4,4.4,81,1.6,1.6,0.0,9.0,1.7,4.7
2005-01-22,7.0,12.0,3.9,4.6,9.3,78,0.0,0.0,0.0,0.0,2.55,6.1
2005-01-23,6.0,8.0,3.5,3.8,6.1,84,0.9,0.9,0.0,5.0,2.55,6.4
2005-01-24,6.5,8.2,4.9,4.2,5.9,86,0.1,0.1,0.0,1.0,2.78,6.0
2005-01-25,7.7,9.1,6.5,6.0,7.3,82,0.1,0.1,0.0,1.0,1.58,4.2
2005-01-26,7.4,8.3,6.4,5.3,6.3,76,0.0,0.0,0.0,0.0,1.53,4.5
2005-01-27,7.7,10.8,5.0,5.6,8.8,78,0.5,0.5,0.0,2.0,1.78,3.8
2005-01-28,8.1,12.5,4.0,6.0,10.9,76,0.0,0.0,0.0,0.0,2.84,5.7
2005-01-29,8.1,9.9,4.9,6.0,8.1,78,0.4,0.4,0.0,3.0,2.68,5.3
2005-01-30,8.2,9.9,6.5,5.9,7.2,71,0.0,0.0,0.0,0.0,2.41,5.0
2005-01-31,7.9,10.6,5.3,5.6,8.3,72,0.0,0.0,0.0,0.0,1.84,4.2
2005-02-01,8.2,10.5,6.6,5.3,7.0,62,0.0,0.0,0.0,0.0,2.72,5.2
2005-02-02,7.2,10.5,4.4,4.0,7.6,57,0.0,0.0,0.0,0.0,2.86,6.1
2005-02-03,7.0,11.9,4.0,4.2,9.3,66,0.0,0.0,0.0,0.0,3.0,4.9
2005-02-04,7.8,13.5,2.6,5.5,11.3,75,0.0,0.0,0.0,0.0,2.42,5.6
2005-02-05,10.6,15.0,6.9,8.9,13.0,73,0.3,0.3,0.0,2.0,2.01,5.0
2005-02-06,10.6,12.8,8.6,8.8,11.1,72,1.4,1.4,0.0,8.0,1.91,4.4
2005-02-07,11.0,13.8,8.9,9.1,12.0,70,0.3,0.3,0.0,2.0,2.34,5.0
2005-02-08,10.3,13.5,8.6,7.9,10.9,67,0.2,0.2,0.0,2.0,3.4,8.2
2005-02-09,9.8,11.0,8.6,8.5,9.8,80,3.1,3.1,0.0,13.0,1.53,4.3
2005-02-10,9.0,12.8,6.1,6.6,10.0,72,4.7,4.7,0.0,8.0,2.5,5.8
