time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,2.5,4.4,1.2,-1.4,1.2,95,3.8,3.8,0.0,9.0,5.33,9.6
2000-01-02,3.8,6.3,1.5,-0.5,1.5,94,0.0,0.0,0.0,0.0,7.05,12.7
2000-01-03,5.6,7.4,3.9,1.4,3.1,95,1.0,1.0,0.0,4.0,7.48,13.4
2000-01-04,4.5,5.7,2.6,-0.1,1.4,91,0.1,0.1,0.0,1.0,7.11,12.2
2000-01-05,3.7,5.1,2.3,-0.4,1.3,93,3.5,3.5,0.0,5.0,6.21,12.1
2000-01-06,4.1,6.4,2.1,-1.1,1.6,91,3.2,3.2,0.0,8.0,7.84,14.2
2000-01-07,3.8,6.0,1.3,-0.6,1.5,93,0.2,0.2,0.0,2.0,7.32,12.8
2000-01-08,5.2,6.5,3.9,0.0,2.1,90,0.0,0.0,0.0,0.0,8.64,15.0
2000-01-09,3.2,4.6,1.9,-0.9,0.4,94,0.0,0.0,0.0,0.0,5.65,9.5
2000-01-10,2.1,3.5,1.1,-2.1,-0.3,93,0.0,0.0,0.0,0.0,5.73,9.8
2000-01-11,2.9,3.7,2.1,-2.3,-1.0,94,1.3,1.3,0.0,6.0,7.07,12.5
2000-01-12,3.2,3.9,2.8,-2.5,-1.5,89,2.1,2.1,0.0,9.0,8.12,14.3
2000-01-13,1.7,2.8,0.6,-3.0,-2.6,87,0.0,0.0,0.0,0.0,6.55,12.3
2000-01-14,-0.2,0.4,-0.9,-3.3,-2.9,85,0.0,0.0,0.07,0.0,2.06,3.6
2000-01-15,0.4,2.2,-1.3,-3.4,-2.0,88,0.0,0.0,0.0,0.0,4.83,8.0
2000-01-16,3.1,6.5,-0.7,-0.9,1.5,96,0.0,0.0,0.0,0.0,7.91,13.9
2000-01-17,7.0,8.4,5.8,0.7,1.4,84,0.0,0.0,0.0,0.0,11.51,19.7
2000-01-18,4.5,5.3,2.8,-2.7,-0.5,64,0.3,0.3,0.0,2.0,10.68,18.8
2000-01-19,1.5,3.0,0.3,-4.2,-2.8,68,0.0,0.0,0.0,0.0,7.84,14.1
2000-01-20,3.5,5.5,0.4,-1.6,0.3,90,0.0,0.0,0.0,0.0,8.02,15.1
2000-01-21,-2.3,1.9,-9.3,-8.0,-2.1,71,0.9,0.3,0.49,5.0,8.6,14.2
2000-01-22,-5.0,-2.4,-7.8,-10.0,-7.7,76,0.0,0.0,0.0,0.0,4.77,8.1
2000-01-23,-6.9,-2.7,-10.9,-11.3,-6.7,82,0.6,0.0,0.63,1.0,4.13,7.3
2000-01-24,-7.6,-2.0,-14.4,-12.0,-6.1,82,0.0,0.0,0.0,0.0,4.1,7.1
2000-01-25,-0.2,1.3,-2.2,-4.5,-2.8,93,0.0,0.0,0.14,0.0,4.52,7.8
2000-01-26,2.4,4.7,-0.0,-2.2,-1.0,95,0.0,0.0,0.0,0.0,7.97,14.2
2000-01-27,4.6,5.0,4.0,-1.0,0.0,91,0.0,0.0,0.0,0.0,8.55,15.0
2000-01-28,4.1,5.0,3.2,-1.4,-0.1,91,4.5,4.5,0.0,12.0,9.08,15.3
2000-01-29,4.7,7.8,2.9,-1.9,1.4,89,6.0,5.8,0.14,10.0,11.96,20.6
2000-01-30,4.1,5.6,0.6,-4.8,-3.5,62,0.0,0.0,0.0,0.0,16.52,29.1
2000-01-31,3.4,6.9,0.4,-3.1,-1.2,85,9.4,4.3,3.57,8.0,13.48,26.9
2000-02-01,5.2,7.4,3.6,0.8,2.5,94,4.2,4.2,0.0,14.0,8.77,15.3
2000-02-02,5.2,6.7,3.5,-0.5,1.9,84,0.5,0.5,0.0,2.0,11.26,20.3
2000-02-03,2.7,4.7,-0.4,-3.1,-1.4,78,0.0,0.0,0.0,0.0,11.24,19.6
2000-02-04,4.5,8.1,-0.4,-1.2,2.2,93,3.0,2.9,0.07,5.0,10.03,17.9
2000-02-05,8.1,8.8,6.2,3.3,4.1,92,0.0,0.0,0.0,0.0,10.16,17.6
2000-02-06,6.6,7.6,5.9,2.4,4.1,90,0.0,0.0,0.0,0.0,6.55,12.7
2000-02-07,6.5,7.4,5.2,1.4,3.3,86,1.9,1.9,0.0,9.0,8.73,16.7
2000-02-08,5.9,6.7,4.8,0.5,1.3,88,5.2,5.2,0.0,14.0,9.2,16.5
2000-02-09,4.3,5.7,3.2,-1.2,0.9,88,3.6,3.6,0.0,8.0,9.21,16.4
2000-02-10,4.1,6.1,1.4,-1.1,0.3,90,3.8,3.8,0.0,6.0,9.88,17.2
2000-02-11,4.9,6.6,3.0,-0.4,1.2,86,0.0,0.0,0.0,0.0,8.96,17.2
2000-02-12,4.6,5.4,3.6,-1.1,0.5,86,3.7,3.7,0.0,5.0,10.28,18.9
2000-02-13,2.9,4.5,1.6,-2.6,-1.0,86,0.2,0.2,0.0,2.0,8.05,14.2
2000-02-14,1.8,3.8,-0.8,-3.8,-1.9,74,0.0,0.0,0.0,0.0,8.27,15.1
2000-02-15,3.4,6.3,1.1,-1.2,1.6,91,2.1,1.9,0.14,9.0,6.94,12.4
2000-02-16,2.0,3.2,1.0,-1.6,-0.5,96,4.1,3.4,0.49,17.0,4.56,7.8
2000-02-17,0.5,2.3,-2.2,-3.6,-2.2,90,2.2,0.6,1.19,7.0,4.75,8.0
2000-02-18,-0.4,1.5,-3.0,-4.8,-3.3,92,0.2,0.1,0.07,2.0,6.04,10.6
2000-02-19,1.5,2.1,-0.0,-3.5,-2.1,88,4.8,1.6,2.45,19.0,6.74,13.0
2000-02-20,-0.7,2.3,-3.6,-4.3,-0.7,89,0.6,0.4,0.14,3.0,3.11,7.3
2000-02-21,-1.4,3.7,-6.5,-5.3,-0.2,82,0.0,0.0,0.0,0.0,3.28,6.2
2000-02-22,-1.3,1.5,-3.8,-5.5,-3.3,87,0.0,0.0,0.0,0.0,4.54,8.0
2000-02-23,-0.8,2.6,-4.0,-5.0,-1.4,84,0.0,0.0,0.0,0.0,3.94,7.9
2000-02-24,2.4,5.9,0.2,-2.7,0.5,94,6.1,5.1,0.7,8.0,8.32,14.9
2000-02-25,3.5,6.1,1.1,-1.4,0.3,86,1.0,1.0,0.0,4.0,7.26,15.0
2000-02-26,4.4,6.4,2.5,-0.1,2.8,87,0.0,0.0,0.0,0.0,6.94,12.9
2000-02-27,4.2,6.2,1.1,-1.2,0.3,82,0.0,0.0,0.0,0.0,9.31,16.2
2000-02-28,7.3,10.1,4.8,1.6,3.9,79,2.3,2.3,0.0,5.0,9.95,17.5
2000-02-29,4.9,6.2,3.7,-0.9,0.8,82,0.0,0.0,0.0,0.0,9.52,16.7
2000-03-01,5.1,6.4,4.1,-0.6,0.8,85,6.3,6.3,0.0,12.0,8.83,17.7
2000-03-02,3.4,5.0,2.2,-2.9,-0.7,73,0.0,0.0,0.0,0.0,9.63,16.5
2000-03-03,4.5,6.4,1.9,-2.8,0.2,83,11.7,10.8,0.63,14.0,12.62,22.3
2000-03-04,1.6,3.7,-0.4,-5.0,-2.4,70,1.0,0.1,0.7,3.0,11.3,21.5
2000-03-05,0.6,2.6,-1.3,-5.2,-3.1,67,0.1,0.0,0.07,1.0,7.5,14.0
2000-03-06,4.7,7.5,0.8,-1.3,1.1,89,1.0,1.0,0.0,5.0,11.35,19.8
2000-03-07,5.8,8.2,3.1,1.4,2.5,94,13.8,13.8,0.0,16.0,11.14,20.3
2000-03-08,5.0,8.8,1.8,0.1,3.8,90,3.7,3.7,0.0,7.0,10.04,17.8
2000-03-09,3.9,7.4,0.5,-2.2,0.6,77,0.4,0.4,0.0,2.0,11.54,20.6
2000-03-10,1.3,4.2,-0.5,-3.5,-1.3,69,0.0,0.0,0.0,0.0,5.37,10.8
2000-03-11,0.6,1.7,-3.4,-4.4,-3.1,95,12.3,2.0,7.21,15.0,7.96,13.5
2000-03-12,0.5,3.5,-5.0,-3.2,-0.0,90,0.0,0.0,0.0,0.0,4.5,8.5
2000-03-13,4.6,5.8,2.4,0.7,1.8,93,0.4,0.4,0.0,2.0,6.32,11.0
2000-03-14,5.1,7.1,2.0,0.4,2.6,88,3.2,3.2,0.0,10.0,8.82,16.0
2000-03-15,2.9,4.7,0.8,-3.3,-2.0,68,0.0,0.0,0.0,0.0,9.28,18.4
2000-03-16,1.8,4.6,-0.4,-2.6,-0.4,76,1.3,0.0,0.91,3.0,6.19,12.1
2000-03-17,1.9,5.4,-1.8,-2.3,1.0,79,0.4,0.2,0.14,2.0,5.88,11.0
2000-03-18,1.8,4.9,-1.2,-1.9,1.5,74,0.0,0.0,0.0,0.0,3.77,6.3
2000-03-19,3.6,8.5,-1.6,-0.0,4.9,82,0.0,0.0,0.0,0.0,3.93,7.0
2000-03-20,6.8,10.1,4.0,2.4,5.7,87,0.0,0.0,0.0,0.0,7.57,14.4
2000-03-21,7.4,11.5,3.4,3.5,8.5,83,0.0,0.0,0.0,0.0,6.61,10.8
2000-03-22,6.1,7.8,5.0,2.5,3.8,87,0.0,0.0,0.0,0.0,5.35,9.9
2000-03-23,3.8,7.0,0.3,-0.5,1.8,76,0.0,0.0,0.0,0.0,6.25,11.6
2000-03-24,1.8,6.7,-3.6,-2.5,1.9,66,0.0,0.0,0.0,0.0,4.66,8.1
2000-03-25,2.4,3.9,0.3,-2.3,1.1,79,1.4,1.4,0.0,6.0,6.67,12.8
2000-03-26,4.4,5.2,3.6,0.8,1.7,95,11.7,11.7,0.0,11.0,6.58,12.0
2000-03-27,2.6,3.7,0.6,-1.6,0.6,93,0.6,0.0,0.42,4.0,8.07,15.7
2000-03-28,1.6,3.8,0.2,-4.1,-1.3,87,11.2,0.5,7.49,12.0,8.17,14.6
2000-03-29,2.5,7.7,-2.1,-2.1,3.3,77,0.0,0.0,0.0,0.0,4.84,10.5
2000-03-30,4.6,9.5,0.6,0.5,5.4,80,0.0,0.0,0.0,0.0,5.92,11.4
2000-03-31,3.4,9.0,-2.4,0.5,6.6,83,0.0,0.0,0.0,0.0,2.41,6.6
2000-04-01,5.5,6.6,4.6,2.0,2.9,83,0.4,0.4,0.0,3.0,5.36,9.6
2000-04-02,5.3,7.8,3.4,2.3,4.5,81,0.0,0.0,0.0,0.0,3.44,7.1
