time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2020-01-01,-0.5,0.9,-1.4,-6.0,-4.3,61,0.0,0.0,0.0,0.0,8.41,13.5
2020-01-02,-0.1,2.1,-1.8,-4.6,-3.0,71,0.0,0.0,0.0,0.0,4.65,7.6
2020-01-03,1.0,4.2,-1.6,-3.3,-0.6,66,0.0,0.0,0.0,0.0,4.59,6.9
2020-01-04,1.5,3.8,-0.3,-3.2,-1.3,71,0.0,0.0,0.0,0.0,5.04,7.6
2020-01-05,1.4,3.6,-0.9,-3.1,-0.3,67,0.0,0.0,0.0,0.0,4.27,6.4
2020-01-06,4.2,5.0,2.9,0.3,1.6,88,1.8,1.8,0.0,7.0,6.36,8.9
2020-01-07,0.3,2.5,-1.7,-7.6,-2.4,77,0.4,0.0,0.49,2.0,14.67,21.6
2020-01-08,-1.5,-0.4,-2.5,-10.3,-6.9,67,0.0,0.0,0.0,0.0,14.32,21.9
2020-01-09,-0.9,1.0,-2.3,-5.8,-4.3,61,0.0,0.0,0.0,0.0,5.36,8.3
2020-01-10,1.1,3.5,-1.1,-3.0,-1.0,72,0.0,0.0,0.0,0.0,5.46,8.8
2020-01-11,-2.2,-0.5,-3.8,-9.0,-5.1,60,0.0,0.0,0.0,0.0,8.4,12.4
2020-01-12,-3.5,-2.5,-4.3,-10.4,-9.3,62,0.0,0.0,0.0,0.0,8.12,12.5
2020-01-13,-2.3,-0.2,-4.3,-7.3,-3.9,60,0.0,0.0,0.0,0.0,6.48,9.8
2020-01-14,-4.9,-3.2,-6.9,-11.6,-9.9,58,0.0,0.0,0.0,0.0,7.51,11.5
2020-01-15,-2.5,1.1,-5.5,-7.2,-3.4,65,0.0,0.0,0.0,0.0,4.53,7.2
2020-01-16,-2.1,-0.2,-3.6,-7.7,-6.1,63,0.0,0.0,0.0,0.0,5.51,8.7
