time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,15.9,23.0,11.5,15.4,22.9,69,0.0,0.0,0.0,0.0,1.75,5.5
2000-01-02,15.5,24.7,9.3,15.0,24.9,76,0.0,0.0,0.0,0.0,2.01,6.5
2000-01-03,14.2,19.0,11.2,13.4,18.6,77,0.0,0.0,0.0,0.0,2.48,7.6
2000-01-04,14.5,20.9,9.6,14.4,21.4,85,0.0,0.0,0.0,0.0,2.4,7.8
2000-01-05,17.7,25.5,12.2,18.4,26.0,79,0.0,0.0,0.0,0.0,1.64,5.8
2000-01-06,17.2,21.4,14.6,17.6,21.6,81,0.8,0.8,0.0,3.0,3.06,8.9
2000-01-07,12.5,14.4,11.7,11.2,13.7,85,0.9,0.9,0.0,5.0,3.11,9.2
2000-01-08,15.3,18.9,12.7,15.4,19.4,82,0.0,0.0,0.0,0.0,1.66,5.4
2000-01-09,18.8,26.5,13.4,19.6,28.0,77,0.0,0.0,0.0,0.0,1.91,6.7
2000-01-10,16.0,17.3,14.6,16.3,18.6,87,0.0,0.0,0.0,0.0,2.68,7.3
2000-01-11,17.1,20.7,14.7,18.1,22.2,83,0.0,0.0,0.0,0.0,1.56,4.8
2000-01-12,18.7,26.8,13.4,20.0,28.5,84,2.5,2.5,0.0,6.0,1.8,8.7
2000-01-13,13.2,16.9,11.0,12.8,18.1,93,3.5,3.5,0.0,15.0,2.73,7.6
2000-01-14,10.9,11.5,10.3,10.1,10.8,94,7.6,7.6,0.0,15.0,1.84,6.5
2000-01-15,13.4,15.9,11.4,13.4,16.4,91,0.0,0.0,0.0,0.0,1.53,6.3
2000-01-16,14.4,16.9,12.0,14.5,17.2,90,1.5,1.5,0.0,7.0,2.97,8.2
2000-01-17,11.0,11.9,9.6,9.6,10.7,85,0.4,0.4,0.0,3.0,2.68,7.4
2000-01-18,9.4,10.9,7.9,7.4,8.8,79,0.8,0.8,0.0,3.0,2.59,7.3
2000-01-19,9.3,13.6,6.9,7.0,11.0,76,0.0,0.0,0.0,0.0,3.67,10.2
2000-01-20,7.7,11.1,5.1,4.1,7.5,66,0.0,0.0,0.0,0.0,4.89,13.8
2000-01-21,10.2,13.5,6.9,7.4,11.3,73,0.0,0.0,0.0,0.0,5.1,13.9
2000-01-22,16.1,21.0,11.7,15.7,21.1,75,0.0,0.0,0.0,0.0,2.48,8.1
2000-01-23,17.4,21.4,14.3,18.4,22.6,85,5.6,5.6,0.0,11.0,1.5,7.6
2000-01-24,14.1,15.8,12.2,14.4,17.1,95,16.7,16.7,0.0,23.0,2.34,7.1
2000-01-25,8.8,12.2,6.5,6.6,11.4,85,10.1,10.1,0.0,11.0,3.24,9.3
2000-01-26,6.5,8.6,4.3,3.0,5.5,61,0.0,0.0,0.0,0.0,3.68,10.4
2000-01-27,5.1,9.3,2.2,1.5,6.1,63,0.0,0.0,0.0,0.0,3.81,10.3
2000-01-28,5.9,9.3,2.2,2.5,6.2,70,0.0,0.0,0.0,0.0,3.7,11.2
2000-01-29,10.8,15.5,7.1,9.0,13.6,74,0.0,0.0,0.0,0.0,2.26,6.3
2000-01-30,10.8,13.1,8.2,8.1,10.3,71,0.0,0.0,0.0,0.0,4.3,11.3
2000-01-31,7.1,8.9,5.4,2.8,4.4,60,0.0,0.0,0.0,0.0,4.8,13.2
2000-02-01,5.8,7.2,4.8,3.3,5.4,86,4.3,4.3,0.0,12.0,3.11,9.8
2000-02-02,8.1,9.5,6.5,6.5,8.5,92,2.2,2.2,0.0,12.0,1.82,6.3
2000-02-03,11.5,14.8,9.6,10.6,14.3,87,0.0,0.0,0.0,0.0,2.24,6.4
2000-02-04,11.4,14.0,9.6,10.0,12.5,81,0.0,0.0,0.0,0.0,2.62,7.2
2000-02-05,15.1,21.8,11.6,14.8,22.3,79,0.0,0.0,0.0,0.0,2.3,8.4
2000-02-06,12.4,14.0,10.2,11.8,13.6,89,0.7,0.7,0.0,4.0,2.45,7.1
2000-02-07,12.0,17.3,8.6,10.7,16.0,78,0.0,0.0,0.0,0.0,2.55,8.7
2000-02-08,9.8,13.6,7.2,7.4,11.3,72,0.0,0.0,0.0,0.0,3.67,10.3
2000-02-09,9.3,11.2,7.5,6.5,8.0,68,0.0,0.0,0.0,0.0,3.83,9.6
2000-02-10,10.7,12.5,8.7,9.8,12.3,85,2.6,2.6,0.0,12.0,1.5,4.1
2000-02-11,12.5,14.9,9.2,12.3,15.1,93,3.2,3.2,0.0,11.0,1.66,5.1
2000-02-12,13.8,17.7,10.8,13.5,17.2,86,0.0,0.0,0.0,0.0,2.15,6.7
2000-02-13,15.9,21.0,13.2,16.3,21.3,82,0.0,0.0,0.0,0.0,2.21,6.5
2000-02-14,14.3,18.3,11.6,14.1,18.8,89,0.9,0.9,0.0,5.0,3.1,8.4
2000-02-15,10.8,12.1,8.0,8.8,10.8,78,0.2,0.2,0.0,1.0,3.44,9.2
2000-02-16,9.6,11.2,8.3,7.5,8.6,81,2.6,2.6,0.0,6.0,3.67,10.8
2000-02-17,9.7,11.5,8.0,8.3,10.7,89,0.1,0.1,0.0,1.0,1.84,6.3
2000-02-18,15.3,20.3,11.6,15.6,21.5,85,0.0,0.0,0.0,0.0,2.46,7.4
2000-02-19,19.9,24.1,15.7,21.5,26.7,87,1.9,1.9,0.0,5.0,5.06,14.4
2000-02-20,11.5,18.0,9.0,10.8,19.5,96,14.1,14.1,0.0,22.0,2.63,7.7
2000-02-21,8.5,9.4,7.8,6.4,7.3,90,19.6,19.6,0.0,17.0,3.12,8.8
2000-02-22,8.9,9.9,7.9,7.7,9.0,97,25.3,25.3,0.0,24.0,1.89,6.1
2000-02-23,10.0,11.3,8.9,9.0,10.8,96,8.9,8.9,0.0,18.0,1.92,6.4
2000-02-24,9.3,10.1,8.3,7.2,8.3,87,3.4,3.4,0.0,9.0,4.31,12.1
2000-02-25,8.3,9.4,7.3,6.2,7.7,86,2.8,2.8,0.0,9.0,2.88,10.0
2000-02-26,9.6,12.7,7.5,7.6,10.9,77,0.0,0.0,0.0,0.0,2.94,8.2
2000-02-27,8.5,10.6,6.7,6.4,7.9,84,8.3,8.3,0.0,9.0,3.36,8.6
2000-02-28,7.6,8.6,6.9,5.9,7.2,95,15.3,15.3,0.0,24.0,2.77,8.1
2000-02-29,8.3,9.5,7.2,5.8,7.1,81,0.4,0.4,0.0,3.0,3.47,10.0
2000-03-01,8.4,9.4,7.6,6.9,8.4,92,19.5,19.5,0.0,22.0,2.14,7.7
2000-03-02,11.6,13.6,8.7,11.1,13.7,91,6.1,6.1,0.0,12.0,2.06,6.5
2000-03-03,16.8,21.9,13.0,18.0,24.0,87,0.0,0.0,0.0,0.0,2.19,6.1
2000-03-04,19.9,28.8,14.2,21.8,31.3,84,0.1,0.1,0.0,1.0,1.84,7.0
2000-03-05,16.3,19.4,13.6,17.0,20.2,90,1.0,1.0,0.0,5.0,2.43,6.6
2000-03-06,14.8,17.7,13.5,14.9,17.7,87,0.4,0.4,0.0,2.0,2.56,6.8
2000-03-07,13.9,17.1,11.1,12.3,15.4,73,0.8,0.8,0.0,3.0,4.48,12.5
2000-03-08,11.6,13.5,10.0,9.6,10.7,78,1.0,1.0,0.0,4.0,4.27,11.5
2000-03-09,11.0,11.5,10.2,8.9,9.9,80,0.0,0.0,0.0,0.0,4.0,12.1
2000-03-10,12.3,14.7,10.5,11.5,14.3,84,0.0,0.0,0.0,0.0,2.06,7.3
2000-03-11,15.1,21.3,11.0,15.6,22.8,89,1.8,1.8,0.0,7.0,1.63,5.0
2000-03-12,12.9,14.3,11.4,12.4,14.8,91,7.4,7.4,0.0,11.0,3.01,7.3
2000-03-13,12.6,14.2,11.2,12.5,14.2,93,12.1,12.1,0.0,12.0,1.84,5.1
2000-03-14,15.4,19.2,12.9,15.9,19.9,90,0.0,0.0,0.0,0.0,2.35,6.6
2000-03-15,19.3,26.3,14.5,20.7,28.1,83,0.0,0.0,0.0,0.0,3.14,9.1
2000-03-16,16.6,20.2,12.5,17.1,21.7,85,4.0,4.0,0.0,13.0,2.44,8.1
2000-03-17,13.0,15.0,11.3,11.0,12.5,68,0.0,0.0,0.0,0.0,3.94,11.7
2000-03-18,14.8,18.5,11.8,14.9,19.4,83,1.8,1.8,0.0,7.0,1.5,5.4
2000-03-19,16.8,22.4,14.0,17.0,23.9,82,0.1,0.1,0.0,1.0,3.24,8.8
2000-03-20,14.1,18.3,11.4,13.0,17.7,72,0.0,0.0,0.0,0.0,3.54,10.5
2000-03-21,17.8,26.8,11.5,18.4,29.2,75,0.0,0.0,0.0,0.0,1.92,5.3
2000-03-22,17.8,22.1,14.9,18.6,22.8,81,0.6,0.6,0.0,3.0,2.81,7.8
2000-03-23,18.5,24.7,14.4,19.8,27.1,83,5.9,5.9,0.0,11.0,2.18,7.3
2000-03-24,14.7,17.1,11.2,13.2,16.3,70,1.2,1.2,0.0,7.0,3.99,11.3
2000-03-25,14.0,17.6,9.8,12.7,17.6,66,0.0,0.0,0.0,0.0,3.62,10.7
2000-03-26,16.4,21.9,12.8,15.9,22.2,67,0.0,0.0,0.0,0.0,2.1,6.4
2000-03-27,17.1,25.4,11.0,17.1,26.9,70,0.0,0.0,0.0,0.0,2.26,5.5
2000-03-28,20.8,31.4,11.7,20.9,32.2,65,0.0,0.0,0.0,0.0,3.04,9.7
2000-03-29,16.6,20.9,11.9,15.8,20.6,66,0.0,0.0,0.0,0.0,2.67,8.7
2000-03-30,17.5,23.9,12.5,17.3,24.6,65,0.0,0.0,0.0,0.0,2.19,6.1
2000-03-31,20.2,26.6,15.5,21.2,28.2,73,0.0,0.0,0.0,0.0,1.68,4.4
2000-04-01,17.6,19.1,16.4,18.8,20.9,90,33.4,33.4,0.0,21.0,2.78,8.7
2000-04-02,19.8,25.6,15.2,21.8,28.6,86,2.1,2.1,0.0,4.0,2.18,6.4
2000-04-03,16.9,18.0,16.0,18.4,19.9,96,41.7,41.7,0.0,24.0,2.26,6.8
2000-04-04,19.3,23.5,15.6,21.4,26.7,89,3.7,3.7,0.0,8.0,1.32,6.7
2000-04-05,16.7,18.1,14.8,17.6,20.1,93,4.5,4.5,0.0,12.0,2.92,9.7
2000-04-06,15.2,18.7,12.3,14.2,18.6,72,0.0,0.0,0.0,0.0,3.72,11.1
2000-04-07,16.8,21.6,12.9,17.6,24.1,82,3.5,3.5,0.0,6.0,1.57,7.5
2000-04-08,17.1,18.5,15.9,17.7,18.5,85,0.0,0.0,0.0,0.0,2.75,8.2
2000-04-09,19.5,23.5,16.3,21.8,27.4,90,10.1,10.1,0.0,15.0,1.56,10.0
2000-04-10,18.8,21.9,14.6,20.6,25.2,91,8.0,8.0,0.0,13.0,3.61,10.6
2000-04-11,15.1,18.6,12.9,14.2,18.4,71,0.0,0.0,0.0,0.0,3.18,10.0
2000-04-12,19.0,23.8,14.0,20.4,26.3,79,0.0,0.0,0.0,0.0,1.41,5.4
2000-04-13,19.6,22.2,18.5,22.2,25.3,94,14.8,14.8,0.0,20.0,1.6,6.4
2000-04-14,20.5,22.1,18.5,23.8,25.9,96,32.7,32.7,0.0,22.0,2.26,15.4
2000-04-15,19.5,21.5,16.3,20.7,24.3,81,0.2,0.2,0.0,2.0,2.82,8.7
2000-04-16,16.9,20.8,13.2,16.7,21.3,74,0.1,0.1,0.0,1.0,3.21,8.7
2000-04-17,17.4,24.1,11.2,17.6,26.3,73,0.0,0.0,0.0,0.0,3.0,8.6
2000-04-18,20.5,27.9,13.4,21.7,30.5,72,0.0,0.0,0.0,0.0,2.62,7.4
2000-04-19,24.5,32.1,18.4,27.7,37.4,75,2.9,2.9,0.0,8.0,2.2,7.0
2000-04-20,22.8,25.8,21.0,25.9,29.4,82,1.9,1.9,0.0,5.0,2.33,8.9
2000-04-21,23.9,27.8,20.9,27.4,32.4,83,0.7,0.7,0.0,3.0,2.7,8.3
2000-04-22,21.2,24.9,17.3,23.0,27.3,75,7.5,7.5,0.0,8.0,2.65,11.5
2000-04-23,18.1,19.3,16.5,19.2,20.9,86,10.5,10.5,0.0,22.0,2.59,8.3
2000-04-24,18.0,19.6,16.6,19.5,21.2,88,9.8,9.8,0.0,15.0,1.7,7.3
2000-04-25,23.6,30.7,18.0,27.0,34.0,87,0.2,0.2,0.0,1.0,4.74,15.5
2000-04-26,23.6,26.8,19.5,28.2,33.0,96,26.2,26.2,0.0,18.0,2.82,9.0
2000-04-27,19.6,22.1,17.3,21.1,23.6,83,2.0,2.0,0.0,6.0,2.93,8.2
2000-04-28,17.5,18.3,16.4,18.5,19.4,87,20.1,20.1,0.0,19.0,2.69,7.8
2000-04-29,19.5,22.5,17.1,22.1,26.2,94,23.7,23.7,0.0,15.0,1.84,11.1
2000-04-30,22.0,25.9,19.4,25.8,31.3,94,9.1,9.1,0.0,10.0,2.11,7.8
2000-05-01,20.7,22.9,18.4,23.2,24.9,89,7.4,7.4,0.0,9.0,2.2,7.6
2000-05-02,19.4,21.5,17.8,21.2,23.1,84,5.5,5.5,0.0,8.0,1.36,5.2
2000-05-03,20.0,24.9,15.4,20.8,25.6,73,0.0,0.0,0.0,0.0,2.51,8.0
2000-05-04,20.8,27.8,14.7,21.9,30.1,70,0.0,0.0,0.0,0.0,2.83,8.0
2000-05-05,21.8,27.9,16.6,23.9,31.7,76,0.0,0.0,0.0,0.0,2.67,7.5
2000-05-06,24.4,31.4,19.4,27.8,35.7,78,0.0,0.0,0.0,0.0,2.6,7.9
2000-05-07,23.3,26.9,20.3,26.0,29.5,81,0.0,0.0,0.0,0.0,3.72,10.1
2000-05-08,22.7,26.9,19.7,25.2,29.8,80,0.0,0.0,0.0,0.0,3.76,10.3
2000-05-09,23.8,28.5,21.1,26.8,32.0,77,0.0,0.0,0.0,0.0,3.45,9.9
2000-05-10,23.0,26.2,19.8,26.1,28.9,83,0.2,0.2,0.0,1.0,3.24,8.9
2000-05-11,23.7,30.0,18.2,25.6,32.1,66,0.0,0.0,0.0,0.0,2.35,7.0
2000-05-12,24.7,31.3,19.1,27.2,35.2,67,0.0,0.0,0.0,0.0,2.53,7.0
2000-05-13,26.4,33.8,19.6,29.9,37.6,71,0.0,0.0,0.0,0.0,2.11,6.0
2000-05-14,26.1,31.9,22.4,30.5,36.9,77,0.0,0.0,0.0,0.0,2.04,6.5
2000-05-15,26.2,34.3,20.0,30.1,38.9,74,0.0,0.0,0.0,0.0,2.11,6.5
2000-05-16,26.5,33.5,21.3,30.5,37.5,76,0.2,0.2,0.0,2.0,4.57,12.0
2000-05-17,24.3,26.8,21.6,26.8,30.0,77,1.0,1.0,0.0,5.0,4.04,11.2
2000-05-18,22.7,25.6,20.3,24.5,28.0,73,0.4,0.4,0.0,2.0,3.45,9.3
2000-05-19,22.5,25.0,19.7,25.2,28.2,79,0.3,0.3,0.0,2.0,1.8,5.4
2000-05-20,24.7,30.4,20.2,26.8,32.3,68,0.0,0.0,0.0,0.0,2.7,7.9
2000-05-21,24.0,27.8,21.1,25.9,29.9,71,0.1,0.1,0.0,1.0,3.94,12.8
2000-05-22,24.4,28.8,20.6,27.2,31.4,79,0.0,0.0,0.0,0.0,4.59,12.3
2000-05-23,24.5,28.9,20.9,27.3,32.3,76,0.0,0.0,0.0,0.0,4.11,10.4
2000-05-24,25.7,30.7,21.5,29.3,34.8,75,0.0,0.0,0.0,0.0,3.21,8.6
2000-05-25,27.1,30.4,23.8,31.5,34.2,77,0.2,0.2,0.0,1.0,3.57,10.0
2000-05-26,29.2,33.8,25.5,34.5,38.2,78,0.2,0.2,0.0,1.0,4.52,13.5
2000-05-27,28.2,30.0,26.6,35.0,37.8,89,18.8,18.8,0.0,17.0,2.15,7.9
2000-05-28,25.1,26.7,22.8,30.1,33.1,91,10.4,10.4,0.0,19.0,2.47,6.5
2000-05-29,24.0,26.1,22.3,28.3,30.7,88,1.3,1.3,0.0,2.0,1.84,5.7
2000-05-30,28.0,34.3,23.1,33.0,39.8,78,1.0,1.0,0.0,3.0,3.5,10.8
2000-05-31,30.2,37.3,24.8,36.4,44.6,77,1.3,1.3,0.0,2.0,3.22,10.3
2000-06-01,29.5,34.6,26.4,36.8,44.1,84,6.5,6.5,0.0,7.0,2.62,8.0
