time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2015-01-01,-28.0,-19.7,-35.1,-33.4,-24.9,77,0.0,0.0,0.0,0.0,3.39,6.0
2015-01-02,-27.3,-18.9,-36.1,-32.9,-24.4,78,0.0,0.0,0.0,0.0,3.54,8.4
2015-01-03,-22.8,-14.5,-28.2,-27.3,-18.7,79,0.0,0.0,0.0,0.0,2.47,4.8
2015-01-04,-21.5,-14.2,-29.0,-26.2,-18.4,79,0.3,0.0,0.28,3.0,2.82,4.9
2015-01-05,-17.2,-14.2,-21.5,-23.4,-18.1,72,0.4,0.0,0.35,3.0,7.07,15.4
2015-01-06,-22.0,-17.2,-28.2,-28.3,-23.7,53,0.0,0.0,0.0,0.0,5.39,12.3
2015-01-07,-26.8,-16.7,-32.8,-32.0,-21.6,63,0.0,0.0,0.0,0.0,3.36,6.1
2015-01-08,-24.9,-16.3,-30.8,-29.8,-21.0,80,0.0,0.0,0.0,0.0,2.82,4.5
2015-01-09,-25.6,-18.4,-31.7,-30.5,-23.1,80,0.0,0.0,0.0,0.0,2.3,4.3
2015-01-10,-24.9,-15.0,-31.0,-29.9,-20.0,78,0.0,0.0,0.0,0.0,3.16,6.1
2015-01-11,-26.5,-16.4,-32.8,-31.5,-21.2,78,0.0,0.0,0.0,0.0,2.78,5.2
2015-01-12,-22.8,-13.5,-28.5,-27.8,-18.4,77,0.0,0.0,0.0,0.0,2.7,6.4
2015-01-13,-23.2,-13.8,-29.4,-27.9,-17.9,80,0.0,0.0,0.0,0.0,2.33,4.9
2015-01-14,-23.9,-17.9,-28.2,-28.6,-22.3,76,0.0,0.0,0.0,0.0,2.24,3.8
2015-01-15,-27.1,-16.7,-34.3,-32.3,-21.5,76,0.0,0.0,0.0,0.0,3.06,5.1
2015-01-16,-24.4,-13.7,-33.5,-30.1,-19.6,66,0.0,0.0,0.0,0.0,3.97,9.2
2015-01-17,-25.7,-14.5,-33.7,-31.2,-19.7,66,0.0,0.0,0.0,0.0,3.4,6.6
2015-01-18,-25.8,-14.7,-32.8,-30.7,-19.4,76,0.0,0.0,0.0,0.0,2.46,4.3
2015-01-19,-24.6,-17.7,-33.4,-29.2,-22.6,80,0.0,0.0,0.42,0.0,2.14,5.4
2015-01-20,-21.8,-16.0,-28.6,-26.8,-20.8,82,0.0,0.0,0.0,0.0,2.7,5.5
2015-01-21,-22.3,-16.5,-28.8,-27.6,-21.9,80,0.0,0.0,0.0,0.0,3.22,7.8
2015-01-22,-20.1,-12.5,-25.7,-24.8,-17.2,78,0.0,0.0,0.0,0.0,2.62,5.3
2015-01-23,-20.7,-12.9,-25.1,-25.6,-17.9,80,0.0,0.0,0.07,0.0,3.24,5.6
2015-01-24,-24.8,-14.8,-34.0,-29.6,-19.3,80,0.0,0.0,0.0,0.0,2.69,4.8
2015-01-25,-17.3,-10.8,-25.4,-22.8,-16.9,72,0.0,0.0,0.14,0.0,5.12,12.0
2015-01-26,-24.3,-18.8,-31.7,-30.0,-24.9,62,0.0,0.0,0.0,0.0,4.17,9.6
2015-01-27,-27.5,-16.1,-36.0,-32.9,-21.8,67,0.0,0.0,0.0,0.0,3.35,7.9
2015-01-28,-24.2,-15.5,-31.4,-29.6,-21.0,75,0.0,0.0,0.0,0.0,3.22,8.1
2015-01-29,-23.7,-15.9,-30.6,-28.8,-21.1,78,0.0,0.0,0.0,0.0,3.16,7.0
2015-01-30,-26.7,-17.0,-36.1,-32.1,-22.8,75,0.0,0.0,0.0,0.0,3.62,8.3
2015-01-31,-21.8,-13.1,-29.3,-26.9,-18.3,76,0.0,0.0,0.0,0.0,2.95,7.0
2015-02-01,-18.8,-9.5,-24.8,-24.1,-14.9,76,0.0,0.0,0.0,0.0,3.55,8.7
2015-02-02,-19.0,-8.7,-29.4,-23.7,-13.6,77,0.0,0.0,0.0,0.0,2.56,6.1
2015-02-03,-17.6,-11.1,-22.7,-22.4,-16.2,78,0.0,0.0,0.0,0.0,2.89,7.1
2015-02-04,-18.0,-10.5,-22.5,-23.2,-15.5,78,0.0,0.0,0.0,0.0,3.55,7.9
2015-02-05,-15.0,-7.5,-20.6,-20.2,-12.7,75,0.1,0.0,0.07,1.0,4.02,9.3
2015-02-06,-18.5,-14.5,-26.4,-24.7,-20.6,68,0.0,0.0,0.0,0.0,5.11,11.5
2015-02-07,-27.2,-24.8,-29.6,-33.9,-31.6,57,0.0,0.0,0.0,0.0,5.91,13.3
2015-02-08,-27.0,-17.0,-36.4,-32.5,-22.6,61,0.0,0.0,0.0,0.0,3.31,7.7
2015-02-09,-22.7,-12.8,-31.5,-27.4,-17.5,65,0.0,0.0,0.0,0.0,2.28,4.3
2015-02-10,-20.5,-12.1,-29.3,-26.0,-18.0,68,0.0,0.0,0.0,0.0,4.15,9.8
2015-02-11,-15.6,-8.2,-21.3,-21.0,-13.8,70,0.0,0.0,0.0,0.0,4.02,9.6
2015-02-12,-19.1,-6.7,-30.0,-24.1,-11.7,76,0.0,0.0,0.0,0.0,3.08,7.1
2015-02-13,-18.1,-8.5,-27.7,-22.4,-12.9,78,0.0,0.0,0.0,0.0,1.63,3.9
2015-02-14,-18.6,-7.2,-29.0,-23.3,-11.6,78,0.0,0.0,0.0,0.0,3.14,5.2
2015-02-15,-15.2,-5.4,-25.1,-19.5,-9.6,77,0.0,0.0,0.0,0.0,2.09,3.3
2015-02-16,-12.8,-3.8,-20.0,-17.2,-8.0,75,0.0,0.0,0.0,0.0,1.97,4.0
2015-02-17,-13.9,-5.3,-21.5,-18.8,-11.2,77,0.0,0.0,0.0,0.0,4.97,11.4
2015-02-18,-18.0,-7.3,-28.2,-23.2,-12.6,70,0.0,0.0,0.0,0.0,3.26,7.6
2015-02-19,-12.8,-2.1,-25.0,-17.7,-6.6,73,0.0,0.0,0.0,0.0,3.61,8.3
2015-02-20,-9.6,-0.6,-17.3,-13.8,-3.9,73,0.0,0.0,0.0,0.0,2.11,4.9
2015-02-21,-9.5,-5.6,-14.5,-15.0,-11.4,76,2.5,0.0,1.82,11.0,5.17,11.5
2015-02-22,-9.9,-7.6,-15.8,-15.7,-14.1,77,1.0,0.0,0.91,8.0,5.9,13.3
2015-02-23,-17.3,-11.2,-23.7,-22.5,-16.9,75,0.0,0.0,0.0,0.0,3.89,9.2
2015-02-24,-19.5,-11.0,-26.9,-24.5,-15.9,78,0.0,0.0,0.0,0.0,2.69,6.0
2015-02-25,-16.6,-9.4,-23.2,-21.3,-14.0,79,0.0,0.0,0.49,0.0,2.6,5.9
2015-02-26,-16.4,-6.3,-26.2,-21.4,-11.1,72,0.0,0.0,0.0,0.0,3.63,5.8
