time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2015-01-01,15.2,20.4,11.8,11.4,16.3,39,0.0,0.0,0.0,0.0,4.97,10.3
2015-01-02,13.7,19.4,8.8,11.0,17.4,44,0.0,0.0,0.0,0.0,2.69,6.1
2015-01-03,13.6,21.2,7.8,12.2,20.4,70,0.0,0.0,0.0,0.0,2.55,5.8
2015-01-04,15.0,21.2,9.2,14.6,21.3,78,0.0,0.0,0.0,0.0,2.79,6.2
2015-01-05,19.1,22.5,16.2,20.2,24.0,83,0.0,0.0,0.0,0.0,3.18,7.7
2015-01-06,20.3,23.6,18.3,22.5,26.2,86,0.9,0.9,0.0,4.0,4.52,10.9
2015-01-07,15.1,18.0,12.9,12.3,16.4,69,0.0,0.0,0.0,0.0,6.02,11.9
2015-01-08,13.9,18.1,10.9,10.5,14.7,51,0.0,0.0,0.0,0.0,5.11,10.8
2015-01-09,14.3,18.6,10.8,11.6,16.6,51,0.2,0.2,0.0,1.0,3.38,8.1
2015-01-10,15.1,19.1,12.4,11.9,16.1,49,0.0,0.0,0.0,0.0,4.3,9.1
2015-01-11,14.0,16.7,11.8,11.6,14.3,63,0.0,0.0,0.0,0.0,3.86,7.6
2015-01-12,11.6,13.6,10.9,9.7,10.9,89,38.3,38.3,0.0,22.0,4.27,8.7
2015-01-13,12.2,15.3,10.1,10.2,12.9,84,15.6,15.6,0.0,12.0,4.52,9.6
2015-01-14,13.3,17.4,10.3,10.8,15.3,67,0.0,0.0,0.0,0.0,5.52,11.8
2015-01-15,12.2,18.4,7.7,10.0,16.9,67,0.0,0.0,0.0,0.0,3.2,7.3
2015-01-16,14.2,20.8,8.8,12.3,19.0,66,0.0,0.0,0.0,0.0,3.93,8.5
2015-01-17,15.3,20.4,12.3,12.9,18.3,56,0.0,0.0,0.0,0.0,4.6,9.5
2015-01-18,14.6,20.5,9.8,12.4,18.0,61,0.0,0.0,0.0,0.0,4.9,10.0
2015-01-19,14.5,20.6,10.0,11.7,18.1,51,0.0,0.0,0.0,0.0,4.2,8.9
2015-01-20,14.0,20.8,7.5,12.9,20.2,70,0.0,0.0,0.0,0.0,2.0,3.9
2015-01-21,16.9,23.4,12.2,15.8,22.2,65,0.3,0.3,0.0,1.0,3.55,8.0
2015-01-22,15.9,22.8,11.2,13.9,21.0,54,0.0,0.0,0.0,0.0,3.41,8.0
2015-01-23,14.7,23.2,7.8,12.8,21.3,65,0.0,0.0,0.0,0.0,3.96,8.1
2015-01-24,16.2,21.1,11.8,15.6,20.3,76,1.6,1.6,0.0,6.0,3.98,10.0
2015-01-25,18.5,22.0,16.2,19.6,23.8,83,1.7,1.7,0.0,7.0,2.52,4.8
2015-01-26,18.5,23.1,15.3,19.8,24.7,83,0.0,0.0,0.0,0.0,1.79,4.6
2015-01-27,18.8,23.1,15.9,20.0,24.6,81,0.8,0.8,0.0,3.0,2.33,4.9
2015-01-28,18.0,20.5,16.2,17.6,20.0,77,0.0,0.0,0.0,0.0,4.36,8.3
2015-01-29,17.5,22.1,13.8,17.0,22.8,73,0.0,0.0,0.0,0.0,4.79,10.2
2015-01-30,13.4,16.5,11.5,10.2,13.9,66,0.0,0.0,0.0,0.0,5.39,10.3
2015-01-31,12.6,15.7,10.7,9.8,13.4,65,0.0,0.0,0.0,0.0,4.03,8.9
2015-02-01,13.0,16.4,10.7,10.5,14.4,66,0.0,0.0,0.0,0.0,3.98,8.1
2015-02-02,14.9,19.5,11.0,13.7,19.2,68,0.0,0.0,0.0,0.0,3.14,6.7
2015-02-03,17.3,21.1,15.0,16.8,20.6,71,0.0,0.0,0.0,0.0,4.03,8.0
2015-02-04,13.3,16.2,11.6,10.5,14.0,71,0.7,0.7,0.0,4.0,5.42,11.0
2015-02-05,11.5,13.7,9.9,7.9,9.4,60,0.4,0.4,0.0,2.0,5.32,10.7
2015-02-06,12.7,15.8,9.7,10.2,14.7,51,0.0,0.0,0.0,0.0,3.38,7.6
2015-02-07,12.5,15.0,9.2,10.6,13.2,69,0.0,0.0,0.0,0.0,3.21,6.3
2015-02-08,14.7,18.5,11.6,11.3,14.8,44,0.0,0.0,0.0,0.0,5.81,11.8
2015-02-09,13.7,18.5,9.6,11.0,16.9,48,0.0,0.0,0.0,0.0,3.05,7.7
2015-02-10,14.4,19.3,9.0,13.0,18.9,59,0.0,0.0,0.0,0.0,1.93,5.9
2015-02-11,14.8,16.5,13.2,13.7,15.1,64,0.0,0.0,0.0,0.0,2.08,4.6
2015-02-12,15.4,22.4,10.1,14.2,21.4,65,0.0,0.0,0.0,0.0,2.11,6.1
2015-02-13,15.4,22.4,9.1,13.9,21.7,61,0.0,0.0,0.0,0.0,2.42,6.6
2015-02-14,17.9,23.8,13.0,17.1,22.8,64,0.7,0.7,0.0,3.0,4.34,9.9
2015-02-15,18.8,23.0,16.4,20.1,24.6,83,2.3,2.3,0.0,8.0,1.58,5.5
2015-02-16,19.2,24.5,15.6,20.8,26.3,84,0.0,0.0,0.0,0.0,1.87,5.8
2015-02-17,20.0,26.6,15.1,21.3,28.3,78,0.0,0.0,0.0,0.0,3.04,5.6
2015-02-18,20.2,24.2,17.2,20.7,24.7,75,0.8,0.8,0.0,4.0,3.28,7.0
2015-02-19,19.5,23.5,17.7,19.6,22.8,74,2.7,2.7,0.0,9.0,4.25,8.7
2015-02-20,20.4,23.6,17.8,20.3,22.8,76,0.1,0.1,0.0,1.0,6.08,12.1
2015-02-21,20.7,23.6,19.2,22.8,26.3,85,6.0,6.0,0.0,16.0,2.94,8.3
2015-02-22,21.3,24.4,19.6,23.8,27.0,87,8.7,8.7,0.0,11.0,2.34,8.0
2015-02-23,21.0,23.0,19.9,23.3,25.1,92,9.8,9.8,0.0,19.0,3.33,8.6
2015-02-24,21.9,25.6,19.7,24.0,27.3,87,5.9,5.9,0.0,13.0,4.63,9.5
2015-02-25,23.4,27.2,20.5,24.6,27.7,78,0.4,0.4,0.0,3.0,5.68,11.6
2015-02-26,23.9,27.5,21.3,25.7,28.5,78,0.8,0.8,0.0,5.0,4.44,9.6
2015-02-27,22.2,23.2,21.1,23.2,25.2,83,0.9,0.9,0.0,8.0,7.0,13.8
2015-02-28,21.6,23.3,17.6,22.2,25.4,79,2.9,2.9,0.0,6.0,6.75,12.0
2015-03-01,15.0,17.6,13.4,11.9,14.8,65,0.1,0.1,0.0,1.0,7.4,15.3
2015-03-02,16.0,19.7,13.7,14.9,19.7,67,0.4,0.4,0.0,3.0,3.45,7.9
2015-03-03,16.7,19.3,14.5,16.6,20.9,88,7.2,7.2,0.0,15.0,5.55,11.4
2015-03-04,13.2,14.1,12.0,11.9,13.3,87,3.4,3.4,0.0,12.0,4.22,9.3
2015-03-05,14.5,17.3,13.0,14.2,17.6,93,5.0,5.0,0.0,22.0,3.44,7.3
2015-03-06,12.1,13.6,11.4,10.2,12.4,90,2.4,2.4,0.0,11.0,4.46,8.6
2015-03-07,14.0,18.7,11.2,13.4,19.6,84,0.9,0.9,0.0,3.0,3.01,6.0
2015-03-08,18.7,22.0,15.0,19.7,23.4,85,0.1,0.1,0.0,1.0,3.89,8.9
2015-03-09,19.7,21.4,17.8,20.6,22.0,81,1.4,1.4,0.0,6.0,3.38,7.6
2015-03-10,16.1,17.8,14.7,15.2,17.0,79,3.5,3.5,0.0,7.0,3.77,8.1
2015-03-11,13.9,14.9,12.9,13.0,14.0,87,4.3,4.3,0.0,12.0,3.68,7.6
2015-03-12,13.9,15.8,12.3,13.6,15.9,89,10.9,10.9,0.0,18.0,3.01,6.7
2015-03-13,16.8,19.5,14.6,17.3,20.2,85,1.4,1.4,0.0,4.0,2.91,6.9
2015-03-14,18.8,21.1,16.8,20.1,23.0,89,3.7,3.7,0.0,10.0,3.55,7.9
2015-03-15,21.3,23.5,19.2,23.3,25.4,90,1.9,1.9,0.0,9.0,4.96,11.1
2015-03-16,23.4,26.3,21.5,26.0,28.6,89,2.8,2.8,0.0,11.0,4.63,9.6
2015-03-17,24.3,26.3,22.6,26.2,27.2,83,0.6,0.6,0.0,5.0,7.33,14.7
2015-03-18,25.1,28.0,23.1,27.6,29.5,82,2.4,2.4,0.0,11.0,6.51,13.5
2015-03-19,25.3,28.6,23.3,28.4,31.4,81,0.6,0.6,0.0,3.0,4.22,8.4
2015-03-20,25.4,29.0,22.8,28.8,31.6,78,0.0,0.0,0.0,0.0,2.82,6.5
2015-03-21,23.0,24.1,22.0,25.1,26.8,78,1.2,1.2,0.0,7.0,3.92,8.3
2015-03-22,22.5,25.3,20.6,24.1,27.6,72,2.6,2.6,0.0,11.0,3.07,6.0
2015-03-23,21.5,23.6,20.0,22.9,26.3,75,1.2,1.2,0.0,6.0,3.42,7.3
2015-03-24,20.5,23.3,18.7,20.6,23.4,73,2.9,2.9,0.0,6.0,4.21,8.6
2015-03-25,18.8,20.3,17.3,19.3,20.2,80,6.0,6.0,0.0,8.0,3.58,7.7
2015-03-26,18.7,20.2,16.9,19.7,21.6,80,0.5,0.5,0.0,2.0,1.81,5.0
2015-03-27,21.4,25.5,18.2,23.0,27.4,77,0.0,0.0,0.0,0.0,2.98,6.7
2015-03-28,22.5,26.2,18.9,24.3,28.4,73,0.0,0.0,0.0,0.0,2.65,4.9
2015-03-29,22.9,27.1,19.0,24.6,28.4,77,0.0,0.0,0.0,0.0,4.0,7.7
2015-03-30,24.6,28.0,22.1,27.1,30.1,79,0.7,0.7,0.0,3.0,4.68,10.1
2015-03-31,25.3,28.6,22.9,28.1,30.6,80,0.2,0.2,0.0,2.0,5.33,10.8
2015-04-01,26.1,28.9,24.2,28.7,30.8,80,0.9,0.9,0.0,7.0,6.2,12.4
2015-04-02,27.5,31.0,25.4,30.0,32.3,75,0.8,0.8,0.0,5.0,7.24,14.2
2015-04-03,27.7,30.5,25.8,30.6,32.7,76,0.8,0.8,0.0,6.0,6.66,13.4
2015-04-04,28.1,31.4,26.3,30.8,32.8,74,0.4,0.4,0.0,3.0,6.65,13.6
2015-04-05,27.7,31.8,24.1,30.7,35.4,69,0.0,0.0,0.0,0.0,4.11,9.6
2015-04-06,26.0,30.7,21.3,30.0,36.2,75,0.1,0.1,0.0,1.0,2.14,4.2
2015-04-07,24.1,26.9,18.0,25.8,29.9,76,2.8,2.8,0.0,9.0,6.14,13.1
2015-04-08,15.5,17.9,14.1,13.8,16.4,78,4.4,4.4,0.0,17.0,5.11,11.6
2015-04-09,14.2,15.5,13.4,13.5,14.7,89,4.1,4.1,0.0,14.0,3.21,8.8
2015-04-10,14.8,16.3,14.0,14.0,15.1,87,7.9,7.9,0.0,14.0,3.86,8.3
2015-04-11,15.0,16.5,13.5,14.9,17.5,89,10.2,10.2,0.0,15.0,3.16,6.5
2015-04-12,19.9,25.4,16.0,20.3,24.2,73,0.0,0.0,0.0,0.0,4.63,9.6
2015-04-13,21.2,27.3,15.0,20.9,27.8,60,0.0,0.0,0.0,0.0,4.43,10.2
2015-04-14,21.2,27.2,14.9,20.3,28.0,46,0.0,0.0,0.0,0.0,3.85,6.4
2015-04-15,21.4,28.7,13.8,20.9,29.6,58,0.0,0.0,0.0,0.0,4.55,9.4
