time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2005-01-01,-2.2,1.6,-5.1,-6.8,-3.0,56,0.0,0.0,0.0,0.0,4.05,8.7
2005-01-02,0.1,7.2,-5.5,-3.9,3.3,67,0.0,0.0,0.0,0.0,3.18,6.9
2005-01-03,3.2,10.4,-2.2,-0.1,7.5,70,0.0,0.0,0.0,0.0,2.75,5.1
2005-01-04,3.6,7.5,1.0,-0.3,3.2,68,0.0,0.0,0.0,0.0,4.01,8.9
2005-01-05,3.0,5.7,0.2,0.3,3.5,85,2.0,2.0,0.0,8.0,2.2,4.8
2005-01-06,3.3,7.9,0.2,0.7,5.6,87,0.0,0.0,0.0,0.0,2.42,3.9
2005-01-07,3.2,6.9,-1.0,-0.2,3.2,80,0.0,0.0,0.0,0.0,3.99,8.4
2005-01-08,3.4,6.4,1.3,-0.5,2.4,64,0.0,0.0,0.0,0.0,3.04,6.8
2005-01-09,2.0,5.9,-1.4,-2.0,1.4,65,0.0,0.0,0.0,0.0,3.61,8.2
2005-01-10,1.7,6.6,-2.1,-1.7,3.6,70,0.0,0.0,0.0,0.0,2.84,4.5
2005-01-11,2.6,3.8,1.2,-0.1,1.7,82,2.0,2.0,0.0,7.0,2.06,4.0
2005-01-12,2.4,5.9,-0.9,-1.3,1.6,71,0.0,0.0,0.0,0.0,3.1,7.2
2005-01-13,2.6,4.2,0.9,-0.7,0.5,68,1.9,0.0,1.61,7.0,2.28,5.9
2005-01-14,3.4,6.8,-0.9,-0.2,2.6,65,0.0,0.0,0.21,0.0,3.35,7.2
2005-01-15,1.9,7.0,-1.8,-2.3,1.7,67,0.0,0.0,0.0,0.0,5.17,10.6
2005-01-16,1.6,7.0,-2.6,-2.4,2.7,60,0.0,0.0,0.0,0.0,3.3,7.4
2005-01-17,2.5,8.7,-2.0,-0.8,5.4,67,0.0,0.0,0.0,0.0,2.51,5.2
2005-01-18,5.6,11.4,1.9,2.5,8.3,64,0.0,0.0,0.0,0.0,2.77,4.9
2005-01-19,4.1,7.4,1.5,0.5,3.4,65,0.0,0.0,0.0,0.0,2.91,6.7
2005-01-20,4.0,8.2,-0.7,0.3,4.0,60,0.0,0.0,0.0,0.0,3.28,7.6
2005-01-21,3.2,5.2,1.3,-0.2,1.4,77,12.6,7.1,3.85,12.0,3.65,7.3
2005-01-22,2.4,3.2,1.5,-0.3,0.6,95,17.1,16.4,0.49,18.0,3.2,7.4
2005-01-23,3.3,6.0,1.4,0.4,3.0,81,0.0,0.0,0.0,0.0,2.68,5.2
2005-01-24,4.2,5.4,2.9,2.0,3.2,92,2.3,2.3,0.0,7.0,2.3,4.8
2005-01-25,5.3,7.4,4.1,2.1,3.5,88,4.3,4.3,0.0,7.0,4.83,12.3
2005-01-26,3.6,4.6,2.5,0.4,1.4,84,9.2,8.6,0.42,10.0,3.24,6.2
2005-01-27,3.0,3.8,2.4,0.3,1.4,97,11.8,11.2,0.42,19.0,2.57,4.9
2005-01-28,4.9,6.7,3.8,2.9,4.8,92,0.7,0.7,0.0,4.0,2.0,3.6
2005-01-29,5.7,8.0,3.4,2.4,4.5,83,0.0,0.0,0.0,0.0,4.88,8.8
2005-01-30,2.6,4.1,0.9,-1.5,-0.2,70,0.1,0.0,0.28,1.0,4.53,8.6
2005-01-31,2.4,6.6,-0.9,-1.2,2.7,68,0.0,0.0,0.0,0.0,3.32,7.3
2005-02-01,2.0,5.3,-0.3,-2.3,0.3,56,0.0,0.0,0.0,0.0,4.27,9.6
2005-02-02,2.0,4.4,-0.3,-1.5,0.7,56,0.0,0.0,0.0,0.0,2.34,4.8
2005-02-03,3.9,7.6,0.3,0.6,3.7,69,1.5,1.5,0.0,7.0,4.02,9.6
2005-02-04,6.9,9.6,4.5,4.8,7.7,82,0.6,0.6,0.0,3.0,2.7,5.0
2005-02-05,7.3,8.0,6.9,4.7,5.6,92,7.2,7.2,0.0,22.0,4.35,9.1
2005-02-06,7.1,7.8,6.6,4.2,5.1,90,11.6,11.6,0.0,17.0,5.24,10.4
2005-02-07,6.1,7.1,5.2,3.5,5.2,93,6.1,6.1,0.0,16.0,4.0,8.2
2005-02-08,4.6,5.2,4.0,1.8,2.7,89,3.6,3.6,0.0,11.0,3.29,6.2
2005-02-09,5.1,6.2,3.0,2.2,4.0,94,12.8,12.8,0.0,20.0,4.88,9.4
2005-02-10,1.9,2.9,1.1,-2.0,-0.8,89,9.7,2.5,5.04,18.0,4.8,9.6
2005-02-11,3.0,5.1,0.9,-0.8,1.2,74,0.8,0.7,0.07,3.0,3.81,8.0
2005-02-12,2.4,4.1,0.7,-0.5,1.9,94,8.9,2.6,4.41,13.0,2.78,5.9
2005-02-13,5.1,7.3,2.7,1.9,3.4,86,3.0,3.0,0.0,9.0,4.28,8.2
2005-02-14,7.3,10.0,5.0,5.5,8.6,91,8.3,8.3,0.0,13.0,2.5,13.1
2005-02-15,8.7,13.3,6.3,7.0,12.2,91,12.8,12.8,0.0,16.0,4.27,12.4
2005-02-16,4.7,6.2,4.0,1.6,3.3,88,17.6,17.6,0.0,17.0,3.42,6.7
2005-02-17,4.6,5.3,3.8,1.5,2.5,92,3.9,3.9,0.0,13.0,3.83,7.6
2005-02-18,3.9,5.7,2.3,-0.7,1.0,80,2.7,2.6,0.07,8.0,6.28,12.2
2005-02-19,2.4,4.5,0.3,-2.9,-0.9,57,0.9,0.3,0.42,4.0,6.65,13.3
2005-02-20,0.6,3.4,-1.6,-3.7,-0.7,49,0.0,0.0,0.0,0.0,3.67,8.5
2005-02-21,3.1,7.9,-0.8,-0.4,4.3,59,0.0,0.0,0.0,0.0,3.0,7.1
2005-02-22,8.0,16.2,0.3,4.9,13.5,64,0.0,0.0,0.0,0.0,4.17,8.1
2005-02-23,10.1,16.9,4.9,8.1,16.0,80,1.5,1.5,0.0,3.0,5.02,9.8
2005-02-24,9.1,10.2,7.7,7.1,8.9,89,3.3,3.3,0.0,8.0,4.09,8.4
2005-02-25,7.2,8.8,5.3,4.2,7.0,82,0.8,0.8,0.0,5.0,4.28,8.6
2005-02-26,4.6,6.8,2.7,0.4,2.7,61,0.0,0.0,0.0,0.0,4.1,8.5
2005-02-27,3.7,5.2,2.5,0.5,1.7,76,3.3,3.3,0.0,12.0,3.31,6.6
2005-02-28,5.2,9.5,2.6,2.3,6.5,74,0.0,0.0,0.0,0.0,2.67,6.1
2005-03-01,7.1,13.2,1.4,4.2,10.7,71,0.0,0.0,0.0,0.0,3.67,7.6
2005-03-02,8.3,10.4,6.6,6.3,8.8,81,1.2,1.2,0.0,6.0,4.2,7.4
2005-03-03,6.3,9.3,4.4,2.6,5.7,67,0.3,0.3,0.0,2.0,4.9,9.4
2005-03-04,5.1,10.1,1.4,0.4,5.1,53,0.0,0.0,0.0,0.0,7.11,13.8
2005-03-05,4.1,9.6,-1.4,-0.5,3.2,45,0.1,0.1,0.0,1.0,6.93,13.7
2005-03-06,6.6,14.9,-1.6,3.2,13.0,55,0.0,0.0,0.0,0.0,2.7,6.7
2005-03-07,10.6,21.5,1.8,7.7,19.5,59,0.0,0.0,0.0,0.0,3.26,6.8
2005-03-08,14.4,23.9,7.2,12.3,22.6,59,0.0,0.0,0.0,0.0,2.82,5.7
2005-03-09,16.7,21.5,13.5,15.1,20.5,62,0.8,0.8,0.0,3.0,4.05,7.7
2005-03-10,16.6,22.4,11.5,16.2,23.3,76,1.1,1.1,0.0,6.0,3.14,7.2
