time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,-19.1,-13.7,-27.5,-24.9,-19.6,79,0.3,0.0,0.21,2.0,5.56,9.4
2000-01-02,-13.3,-9.6,-20.1,-19.6,-13.4,86,9.6,0.0,6.86,19.0,6.61,11.0
2000-01-03,-23.7,-20.1,-29.0,-29.1,-25.5,79,0.0,0.0,0.0,0.0,4.57,8.5
2000-01-04,-28.0,-23.1,-32.6,-33.1,-28.0,81,0.0,0.0,0.0,0.0,2.45,3.7
2000-01-05,-25.8,-19.4,-32.8,-31.3,-25.6,78,0.0,0.0,0.07,0.0,4.36,6.6
2000-01-06,-19.6,-16.7,-25.9,-26.5,-23.0,80,7.8,0.0,5.6,16.0,7.22,10.9
2000-01-07,-24.0,-18.2,-28.8,-32.2,-27.8,71,0.0,0.0,0.0,0.0,10.96,15.7
2000-01-08,-18.2,-15.5,-20.8,-26.4,-22.9,69,0.0,0.0,0.0,0.0,10.73,15.9
2000-01-09,-20.0,-15.5,-25.5,-26.2,-21.6,71,0.0,0.0,0.0,0.0,6.0,9.5
2000-01-10,-23.5,-18.1,-29.2,-29.0,-23.3,77,0.0,0.0,0.0,0.0,3.3,5.3
2000-01-11,-24.1,-18.3,-31.9,-29.0,-22.7,79,0.0,0.0,0.0,0.0,2.41,3.6
2000-01-12,-20.9,-17.2,-23.7,-25.9,-22.1,81,0.0,0.0,0.0,0.0,2.57,5.0
2000-01-13,-25.4,-20.7,-29.2,-30.8,-25.7,78,0.0,0.0,0.0,0.0,3.24,5.2
2000-01-14,-26.2,-20.9,-31.3,-30.9,-25.7,80,0.0,0.0,0.0,0.0,2.87,3.3
2000-01-15,-25.5,-19.5,-31.0,-30.4,-24.0,82,0.0,0.0,0.0,0.0,2.44,4.1
2000-01-16,-24.0,-18.0,-27.8,-29.0,-22.6,82,0.0,0.0,0.0,0.0,2.44,3.9
2000-01-17,-24.8,-18.7,-30.4,-29.3,-22.9,82,0.0,0.0,0.0,0.0,1.78,3.3
2000-01-18,-23.6,-17.1,-29.5,-28.3,-22.0,84,0.0,0.0,0.0,0.0,2.62,3.6
2000-01-19,-26.0,-21.3,-30.5,-31.0,-25.8,81,0.0,0.0,0.0,0.0,2.69,3.3
2000-01-20,-26.5,-21.2,-32.0,-31.9,-26.5,77,0.0,0.0,0.0,0.0,3.04,5.5
2000-01-21,-23.4,-16.6,-32.4,-29.4,-22.9,77,0.0,0.0,0.0,0.0,5.34,8.7
2000-01-22,-14.9,-10.0,-19.9,-20.5,-14.3,82,3.0,0.0,2.24,16.0,5.97,9.4
2000-01-23,-21.9,-17.5,-28.5,-28.6,-24.5,70,0.0,0.0,0.21,0.0,6.54,10.4
2000-01-24,-26.1,-19.9,-32.7,-31.8,-25.6,71,0.0,0.0,0.0,0.0,3.65,6.1
2000-01-25,-23.4,-17.6,-30.0,-29.1,-23.1,73,0.0,0.0,0.0,0.0,3.69,6.2
2000-01-26,-19.6,-13.5,-23.5,-25.1,-18.6,77,0.0,0.0,0.0,0.0,3.42,5.5
2000-01-27,-18.6,-12.2,-23.2,-24.7,-18.2,79,0.0,0.0,0.0,0.0,5.49,8.7
2000-01-28,-17.1,-10.5,-22.2,-23.5,-16.5,77,0.0,0.0,0.0,0.0,6.35,9.7
2000-01-29,-18.5,-13.2,-24.0,-23.5,-17.9,82,0.0,0.0,0.0,0.0,3.79,5.3
2000-01-30,-18.6,-15.0,-23.7,-24.5,-20.9,75,0.0,0.0,0.0,0.0,4.83,7.8
2000-01-31,-21.3,-15.3,-26.9,-27.2,-21.3,74,0.0,0.0,0.0,0.0,4.84,8.0
2000-02-01,-18.6,-12.7,-23.3,-25.0,-18.7,73,0.0,0.0,0.0,0.0,5.52,8.8
2000-02-02,-17.5,-10.8,-22.7,-23.4,-16.5,76,0.0,0.0,0.0,0.0,4.97,8.3
2000-02-03,-16.2,-10.4,-21.4,-21.1,-15.2,79,0.0,0.0,0.0,0.0,2.79,4.7
2000-02-04,-14.9,-10.5,-19.3,-19.9,-15.4,81,0.0,0.0,0.0,0.0,3.21,5.3
