time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2005-01-01,-3.0,2.0,-7.2,-7.1,-1.8,59,0.0,0.0,0.0,0.0,2.9,5.7
2005-01-02,0.6,6.4,-4.6,-4.1,1.7,63,0.0,0.0,0.0,0.0,4.55,8.6
2005-01-03,3.2,8.8,-2.2,-0.5,5.5,67,0.0,0.0,0.0,0.0,4.03,7.1
2005-01-04,2.2,5.8,-0.7,-2.2,1.4,58,0.0,0.0,0.0,0.0,3.55,8.2
2005-01-05,0.9,2.5,-1.3,-3.0,-0.3,78,0.0,0.0,0.0,0.0,3.49,7.8
2005-01-06,2.2,8.2,-1.9,-1.1,5.4,79,0.0,0.0,0.0,0.0,2.42,5.1
2005-01-07,2.1,6.0,-0.4,-2.0,1.4,75,0.0,0.0,0.0,0.0,4.08,8.6
2005-01-08,2.1,5.7,-0.8,-1.8,1.9,63,0.0,0.0,0.0,0.0,2.6,6.0
2005-01-09,0.3,4.7,-3.0,-3.8,0.6,58,0.0,0.0,0.0,0.0,2.57,7.5
2005-01-10,1.0,6.5,-3.3,-2.8,3.0,62,0.0,0.0,0.0,0.0,2.3,6.4
2005-01-11,2.7,6.7,0.1,-0.9,3.0,63,0.0,0.0,0.0,0.0,2.41,5.3
2005-01-12,1.3,5.8,-2.7,-2.4,2.1,65,0.0,0.0,0.0,0.0,2.44,6.0
2005-01-13,2.1,6.2,-1.1,-1.9,2.7,54,0.0,0.0,0.0,0.0,2.28,6.4
2005-01-14,1.4,7.3,-2.8,-2.3,3.1,59,0.0,0.0,0.0,0.0,2.58,6.3
2005-01-15,0.1,5.8,-3.6,-4.2,1.1,65,0.0,0.0,0.0,0.0,3.61,8.2
2005-01-16,0.2,6.4,-4.6,-3.4,3.6,61,0.0,0.0,0.0,0.0,2.56,4.4
2005-01-17,2.1,9.0,-3.4,-2.2,4.7,58,0.0,0.0,0.0,0.0,3.19,7.3
2005-01-18,4.6,9.6,1.2,1.0,5.7,59,0.0,0.0,0.0,0.0,3.11,6.7
