time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,-19.3,-15.9,-24.0,-25.7,-22.3,79,1.7,0.0,1.33,14.0,6.14,10.2
2000-01-02,-19.8,-17.2,-26.4,-25.6,-22.5,79,1.4,0.0,1.33,11.0,5.85,9.6
2000-01-03,-31.5,-26.7,-37.8,-37.2,-32.7,80,0.0,0.0,0.0,0.0,3.94,6.5
2000-01-04,-36.7,-31.9,-42.1,-42.0,-37.1,80,0.0,0.0,0.0,0.0,3.0,4.2
2000-01-05,-31.1,-27.3,-35.9,-36.2,-32.3,77,0.0,0.0,0.0,0.0,2.31,3.7
2000-01-06,-29.0,-25.5,-31.7,-34.7,-31.9,80,0.1,0.0,0.77,1.0,4.72,8.1
2000-01-07,-20.5,-17.9,-25.3,-27.2,-24.9,80,0.5,0.0,1.47,5.0,6.4,11.2
2000-01-08,-24.5,-20.5,-29.9,-30.8,-27.0,79,0.0,0.0,0.14,0.0,5.4,8.8
2000-01-09,-28.5,-25.2,-32.8,-34.2,-31.0,78,0.0,0.0,0.0,0.0,3.82,6.3
2000-01-10,-29.1,-24.9,-32.2,-34.5,-29.9,79,0.0,0.0,0.0,0.0,2.97,4.9
2000-01-11,-30.7,-25.5,-35.3,-35.4,-29.8,77,0.0,0.0,0.0,0.0,2.22,3.7
2000-01-12,-33.0,-28.6,-37.0,-38.1,-33.3,82,0.0,0.0,0.0,0.0,2.95,3.4
2000-01-13,-32.4,-26.4,-37.9,-37.7,-31.3,77,0.0,0.0,0.0,0.0,2.62,4.3
2000-01-14,-26.6,-21.7,-31.3,-31.4,-26.0,76,0.0,0.0,0.0,0.0,2.15,3.5
2000-01-15,-28.4,-25.5,-32.5,-33.6,-30.9,81,0.0,0.0,0.0,0.0,2.51,4.8
2000-01-16,-30.7,-25.0,-36.4,-35.7,-29.5,81,0.0,0.0,0.0,0.0,2.53,3.5
2000-01-17,-29.8,-24.9,-33.1,-34.8,-29.7,79,0.0,0.0,0.0,0.0,2.5,3.0
2000-01-18,-31.9,-27.3,-36.0,-36.9,-32.2,79,0.0,0.0,0.0,0.0,2.34,4.5
2000-01-19,-30.8,-26.0,-35.5,-35.8,-31.5,78,0.0,0.0,0.0,0.0,2.82,5.1
2000-01-20,-32.5,-27.2,-36.3,-38.0,-32.6,77,0.0,0.0,0.0,0.0,3.14,5.4
2000-01-21,-28.3,-22.0,-32.9,-33.5,-26.1,77,0.0,0.0,0.0,0.0,2.82,4.3
2000-01-22,-26.2,-20.9,-29.9,-32.0,-26.9,75,0.0,0.0,0.0,0.0,4.03,7.0
2000-01-23,-29.3,-24.4,-33.9,-35.1,-30.3,75,0.0,0.0,0.0,0.0,3.89,6.8
2000-01-24,-32.0,-25.2,-37.8,-37.6,-31.1,77,0.0,0.0,0.0,0.0,3.48,5.9
2000-01-25,-25.3,-18.3,-31.0,-30.8,-23.8,76,0.0,0.0,0.0,0.0,4.08,6.7
2000-01-26,-24.3,-18.4,-29.8,-30.0,-24.0,77,0.0,0.0,0.0,0.0,4.28,7.0
2000-01-27,-21.7,-16.1,-25.0,-27.8,-22.3,77,0.0,0.0,0.0,0.0,5.23,8.6
2000-01-28,-24.2,-19.8,-26.8,-29.6,-24.7,78,0.0,0.0,0.0,0.0,3.12,5.4
2000-01-29,-23.5,-19.4,-27.7,-29.3,-25.2,76,0.0,0.0,0.0,0.0,4.34,7.6
2000-01-30,-25.6,-20.2,-29.9,-31.2,-26.0,75,0.0,0.0,0.0,0.0,3.58,6.4
2000-01-31,-25.7,-19.6,-30.4,-31.6,-25.3,78,0.0,0.0,0.0,0.0,4.24,7.6
2000-02-01,-22.5,-16.4,-26.2,-28.4,-22.4,77,0.0,0.0,0.0,0.0,4.34,7.9
2000-02-02,-22.7,-16.5,-27.3,-28.4,-22.2,76,0.0,0.0,0.0,0.0,3.94,7.1
2000-02-03,-23.2,-16.3,-28.3,-28.7,-22.0,77,0.0,0.0,0.0,0.0,3.67,7.1
2000-02-04,-21.1,-16.4,-26.8,-26.0,-21.0,81,0.0,0.0,0.0,0.0,2.56,4.8
2000-02-05,-22.0,-14.9,-27.3,-27.2,-19.8,81,0.0,0.0,0.0,0.0,2.86,5.2
2000-02-06,-25.7,-20.3,-30.9,-30.9,-25.5,81,0.0,0.0,0.0,0.0,2.84,5.9
