time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,8.1,13.2,4.6,3.6,10.2,76,1.3,1.3,0.0,4.0,9.44,14.6
2000-01-02,4.5,5.0,3.6,-1.0,-0.3,68,0.0,0.0,0.0,0.0,6.72,11.1
2000-01-03,3.5,4.4,2.7,-2.2,-1.3,79,6.3,5.2,0.77,21.0,8.52,14.0
2000-01-04,3.2,4.0,2.6,-2.0,-1.1,73,1.9,1.5,0.42,12.0,6.16,10.4
2000-01-05,4.5,5.8,3.6,-0.5,0.4,70,1.2,1.1,0.07,6.0,6.36,10.5
2000-01-06,4.0,5.0,3.4,0.9,2.4,76,2.5,2.5,0.0,9.0,2.98,5.4
2000-01-07,4.9,6.2,3.7,1.2,2.0,80,3.2,3.2,0.0,15.0,8.22,12.3
2000-01-08,6.5,7.1,6.0,0.5,1.4,83,17.7,17.7,0.0,24.0,9.56,14.9
2000-01-09,6.6,7.1,6.1,1.6,2.1,85,9.7,9.7,0.0,23.0,7.67,11.9
2000-01-10,5.8,6.4,5.2,2.2,2.9,80,0.2,0.2,0.0,2.0,5.51,8.9
2000-01-11,4.8,5.5,4.3,-0.1,1.8,77,0.4,0.4,0.0,4.0,6.96,10.8
2000-01-12,4.9,5.7,4.3,0.0,1.2,82,4.6,4.6,0.0,20.0,7.04,11.4
2000-01-13,4.8,6.2,3.6,0.6,1.8,78,0.4,0.4,0.0,2.0,4.98,9.7
2000-01-14,4.5,6.4,2.6,0.2,2.5,76,0.0,0.0,0.0,0.0,6.58,10.2
2000-01-15,5.7,7.5,4.3,1.1,2.8,73,0.0,0.0,0.0,0.0,5.94,9.5
2000-01-16,4.8,6.1,3.6,0.4,1.7,75,0.0,0.0,0.0,0.0,5.19,8.6
2000-01-17,3.8,4.5,3.2,0.1,1.6,79,0.1,0.1,0.0,1.0,7.21,10.2
2000-01-18,5.2,6.6,3.6,-0.3,1.6,73,4.6,4.6,0.0,14.0,9.27,13.7
2000-01-19,4.3,5.2,2.9,0.2,1.3,69,0.3,0.3,0.0,2.0,4.65,8.1
2000-01-20,2.0,3.4,0.3,-3.2,-1.0,74,6.7,1.3,3.85,16.0,7.61,13.2
2000-01-21,3.0,6.0,0.2,-4.2,-2.2,57,0.0,0.0,0.0,0.0,12.18,19.0
2000-01-22,3.2,6.1,0.4,-2.8,-1.1,69,7.4,4.0,2.38,14.0,11.46,20.3
2000-01-23,1.7,3.7,-0.7,-2.8,-1.1,65,0.6,0.6,0.0,3.0,4.9,8.0
2000-01-24,6.5,10.5,1.7,1.2,6.0,76,13.6,11.8,1.26,12.0,8.82,17.9
2000-01-25,0.5,1.6,-0.7,-5.3,-4.0,81,6.9,0.3,4.9,18.0,7.08,11.7
2000-01-26,-0.8,-0.2,-1.3,-5.9,-4.3,74,4.4,0.0,3.22,18.0,6.08,9.4
2000-01-27,0.1,2.2,-1.9,-4.6,-2.4,58,0.0,0.0,0.0,0.0,3.94,6.6
2000-01-28,3.2,4.8,1.6,-1.4,0.7,66,0.0,0.0,0.0,0.0,4.88,7.9
2000-01-29,5.1,6.9,3.6,1.6,3.2,74,0.0,0.0,0.0,0.0,3.37,5.7
2000-01-30,7.4,10.0,4.9,3.0,5.2,73,0.0,0.0,0.0,0.0,7.43,12.1
2000-01-31,8.7,9.4,7.6,4.8,6.5,74,0.0,0.0,0.0,0.0,7.71,12.2
2000-02-01,8.6,10.2,6.6,5.2,7.6,78,0.2,0.2,0.0,1.0,7.0,11.4
2000-02-02,7.7,10.4,5.0,4.9,7.3,85,0.0,0.0,0.0,0.0,4.59,6.9
2000-02-03,9.5,11.3,7.6,6.1,8.3,77,1.7,1.7,0.0,4.0,5.24,9.0
2000-02-04,6.5,9.5,4.4,1.9,7.0,84,15.4,15.4,0.0,22.0,7.89,12.3
2000-02-05,3.8,5.1,1.9,-1.1,1.9,64,0.2,0.2,0.0,1.0,7.57,12.1
2000-02-06,7.3,9.0,5.3,4.0,7.0,75,0.0,0.0,0.0,0.0,6.76,10.2
2000-02-07,8.3,10.1,7.3,6.1,8.2,80,0.0,0.0,0.0,0.0,3.16,4.6
2000-02-08,7.9,9.3,5.6,5.4,6.5,83,0.0,0.0,0.0,0.0,3.86,6.0
2000-02-09,10.4,13.0,8.3,6.4,8.8,71,0.0,0.0,0.0,0.0,6.99,11.7
2000-02-10,10.4,12.1,9.1,7.7,9.9,76,0.2,0.2,0.0,1.0,4.54,8.2
2000-02-11,8.2,9.7,6.8,5.0,6.9,91,0.2,0.2,0.0,2.0,5.32,8.5
2000-02-12,7.3,8.1,6.7,3.4,4.0,89,0.1,0.1,0.0,1.0,6.16,10.1
2000-02-13,6.5,7.5,4.6,2.2,3.4,76,0.0,0.0,0.0,0.0,5.82,9.4
2000-02-14,5.3,7.4,3.4,2.2,4.4,73,0.0,0.0,0.0,0.0,2.97,5.2
2000-02-15,4.8,5.8,3.3,1.6,3.6,81,7.3,7.3,0.0,14.0,4.85,8.0
2000-02-16,5.4,7.2,4.0,1.5,4.1,82,2.6,2.6,0.0,13.0,7.11,11.8
2000-02-17,7.6,10.9,4.7,3.5,7.1,71,0.0,0.0,0.0,0.0,5.71,9.3
2000-02-18,10.8,12.4,8.3,6.7,8.9,69,2.0,2.0,0.0,5.0,7.55,15.2
2000-02-19,5.8,8.0,3.6,1.7,5.3,81,8.4,8.2,0.14,13.0,5.92,12.0
2000-02-20,8.3,10.3,6.9,4.4,6.5,75,4.2,4.2,0.0,12.0,5.63,14.3
2000-02-21,6.9,9.8,4.9,3.1,8.7,87,17.8,17.8,0.0,22.0,7.46,15.5
2000-02-22,3.8,5.3,2.7,-2.1,-0.1,75,0.3,0.3,0.0,3.0,7.7,12.6
2000-02-23,3.5,4.7,2.8,-2.3,-1.4,66,0.0,0.0,0.0,0.0,7.44,12.1
2000-02-24,3.6,5.3,2.4,-2.0,-0.5,68,0.0,0.0,0.0,0.0,7.48,12.0
2000-02-25,4.0,5.7,2.6,-0.1,2.7,63,0.0,0.0,0.0,0.0,5.75,9.6
2000-02-26,5.3,7.3,3.8,1.0,4.9,76,3.0,3.0,0.0,9.0,7.09,11.6
2000-02-27,5.0,7.5,2.0,2.2,5.1,80,0.2,0.2,0.0,2.0,3.2,6.2
2000-02-28,4.7,6.5,3.4,0.3,2.7,78,1.4,1.4,0.0,5.0,6.67,11.5
2000-02-29,5.2,7.5,3.6,0.1,2.8,74,0.0,0.0,0.0,0.0,7.53,11.5
2000-03-01,5.5,7.9,3.4,1.8,5.6,69,0.0,0.0,0.0,0.0,5.17,8.6
2000-03-02,8.2,12.4,4.0,4.1,8.3,68,0.0,0.0,0.0,0.0,6.42,10.2
2000-03-03,9.1,10.7,7.5,6.0,7.5,77,1.1,1.1,0.0,6.0,6.14,10.5
2000-03-04,7.8,9.4,6.1,5.2,6.7,89,0.2,0.2,0.0,1.0,4.8,8.0
2000-03-05,9.7,11.6,5.6,6.2,9.6,78,5.1,5.1,0.0,4.0,7.9,13.0
2000-03-06,3.7,5.1,2.5,-2.0,0.1,81,17.1,12.3,3.36,17.0,8.76,14.2
2000-03-07,4.4,6.3,2.3,0.1,2.5,58,0.0,0.0,0.0,0.0,4.84,8.3
2000-03-08,7.7,10.1,5.5,3.0,6.3,63,0.0,0.0,0.0,0.0,6.53,10.6
2000-03-09,10.3,13.1,8.1,5.5,8.1,68,0.0,0.0,0.0,0.0,9.34,14.3
2000-03-10,11.3,13.5,8.8,6.0,9.0,70,13.6,13.6,0.0,10.0,10.06,15.9
2000-03-11,6.5,8.4,5.3,3.4,5.6,77,3.6,3.6,0.0,6.0,5.12,11.7
2000-03-12,8.8,11.5,6.0,5.0,8.9,75,0.1,0.1,0.0,1.0,7.16,11.5
2000-03-13,7.2,9.4,4.7,2.9,7.6,73,0.0,0.0,0.0,0.0,6.3,10.2
2000-03-14,5.4,8.2,3.2,1.0,5.3,70,0.0,0.0,0.0,0.0,5.25,8.9
2000-03-15,6.6,9.5,3.0,3.7,6.7,79,0.0,0.0,0.0,0.0,4.39,7.7
2000-03-16,7.3,10.3,2.7,3.7,8.6,84,13.6,12.4,0.84,17.0,7.42,15.4
2000-03-17,3.3,5.0,2.0,-1.1,0.1,90,18.6,9.5,6.37,24.0,6.55,10.1
2000-03-18,3.9,4.4,3.4,1.0,2.3,89,6.0,6.0,0.0,19.0,3.73,6.5
2000-03-19,4.4,5.9,2.5,0.5,2.0,83,3.4,3.3,0.07,10.0,6.41,10.6
2000-03-20,4.7,6.2,3.1,1.6,3.0,74,0.8,0.8,0.0,7.0,4.06,7.3
2000-03-21,5.3,6.4,4.5,1.8,3.7,76,1.4,1.4,0.0,9.0,3.81,7.2
2000-03-22,4.9,6.1,3.5,0.3,1.4,71,0.4,0.4,0.0,3.0,7.29,12.0
2000-03-23,5.8,7.8,4.3,1.2,3.7,67,0.0,0.0,0.0,0.0,7.09,11.2
2000-03-24,7.0,10.0,3.5,4.5,8.1,70,0.0,0.0,0.0,0.0,2.82,5.1
2000-03-25,9.4,12.4,6.8,7.4,11.8,80,0.0,0.0,0.0,0.0,3.42,5.3
2000-03-26,9.8,12.4,7.0,8.0,11.4,82,0.0,0.0,0.0,0.0,3.4,5.9
2000-03-27,12.6,14.9,10.9,10.3,13.7,73,0.1,0.1,0.0,1.0,5.25,8.7
2000-03-28,13.3,15.4,11.6,10.7,13.4,68,0.0,0.0,0.0,0.0,6.61,10.4
2000-03-29,12.3,14.8,10.9,10.9,14.2,82,0.0,0.0,0.0,0.0,3.78,6.0
2000-03-30,14.1,20.7,9.6,12.9,20.2,76,0.0,0.0,0.0,0.0,3.2,6.9
2000-03-31,13.4,16.3,11.9,11.9,15.7,79,0.0,0.0,0.0,0.0,4.72,7.2
2000-04-01,15.0,19.8,11.4,14.5,22.0,79,0.0,0.0,0.0,0.0,3.86,5.4
2000-04-02,14.8,16.7,12.8,13.7,16.4,81,0.0,0.0,0.0,0.0,5.1,8.2
2000-04-03,12.6,15.3,9.9,12.1,15.4,89,0.0,0.0,0.0,0.0,2.69,4.4
2000-04-04,15.1,18.4,12.2,13.7,17.5,74,0.0,0.0,0.0,0.0,4.7,7.9
2000-04-05,17.8,21.6,14.7,14.3,20.5,59,0.0,0.0,0.0,0.0,12.81,20.2
2000-04-06,15.4,16.7,13.5,12.0,15.0,70,0.0,0.0,0.0,0.0,9.97,15.5
2000-04-07,11.8,13.4,9.5,9.0,11.0,72,1.6,1.6,0.0,7.0,6.13,8.6
2000-04-08,8.6,9.7,7.2,5.5,7.2,74,1.9,1.9,0.0,10.0,4.2,8.4
2000-04-09,9.2,11.5,6.8,6.8,10.3,64,0.0,0.0,0.0,0.0,2.52,4.7
2000-04-10,10.4,13.3,8.0,8.4,12.5,66,0.0,0.0,0.0,0.0,4.81,7.6
2000-04-11,11.2,13.4,9.3,8.9,12.0,74,6.7,6.7,0.0,13.0,4.88,9.1
2000-04-12,13.1,16.9,10.3,11.9,18.6,80,2.3,2.3,0.0,5.0,5.3,7.6
2000-04-13,11.2,12.6,9.1,8.8,10.5,84,3.8,3.8,0.0,9.0,5.74,9.3
