time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2005-01-01,-5.2,0.6,-10.0,-10.5,-5.1,48,0.0,0.0,0.0,0.0,4.46,8.9
2005-01-02,-1.9,2.0,-6.0,-7.6,-3.6,62,0.0,0.0,0.0,0.0,6.39,12.7
2005-01-03,-0.8,4.0,-5.2,-5.6,-2.3,53,0.0,0.0,0.0,0.0,5.07,12.3
2005-01-04,-4.1,0.5,-7.7,-8.9,-4.2,39,0.0,0.0,0.0,0.0,3.11,5.8
2005-01-05,-3.6,-0.3,-7.6,-8.2,-4.6,57,0.0,0.0,0.07,0.0,3.5,7.4
2005-01-06,-2.0,1.6,-5.2,-6.1,-2.1,76,0.0,0.0,0.0,0.0,3.23,6.7
2005-01-07,-3.9,1.4,-9.0,-8.4,-3.0,44,0.0,0.0,0.0,0.0,2.78,6.3
2005-01-08,-3.9,1.8,-7.7,-8.5,-3.3,41,0.0,0.0,0.0,0.0,3.01,6.7
2005-01-09,-4.6,0.9,-9.7,-8.9,-3.0,47,0.0,0.0,0.0,0.0,2.15,4.8
2005-01-10,-2.1,2.8,-4.9,-6.8,-1.4,53,0.0,0.0,0.0,0.0,3.72,8.3
2005-01-11,-2.7,2.7,-7.9,-7.0,-2.0,50,0.0,0.0,0.0,0.0,2.28,6.0
2005-01-12,-2.3,3.1,-7.5,-6.1,-1.2,40,0.0,0.0,0.0,0.0,1.2,5.2
2005-01-13,-2.3,4.0,-7.6,-6.3,-0.0,47,0.0,0.0,0.0,0.0,1.5,3.9
2005-01-14,-2.9,2.3,-6.8,-7.2,-2.2,54,0.0,0.0,0.0,0.0,2.78,5.9
2005-01-15,-2.6,2.9,-7.6,-6.9,-2.3,45,0.0,0.0,0.0,0.0,3.0,7.2
2005-01-16,-2.1,4.8,-7.7,-6.3,0.6,46,0.0,0.0,0.0,0.0,2.71,5.1
2005-01-17,-0.0,5.2,-3.6,-4.8,0.6,54,0.0,0.0,0.0,0.0,4.24,9.1
2005-01-18,-1.9,3.2,-6.6,-6.3,-1.5,45,0.0,0.0,0.0,0.0,2.77,6.5
2005-01-19,-0.9,5.6,-6.0,-5.5,0.3,46,0.0,0.0,0.0,0.0,4.2,9.4
2005-01-20,-2.1,4.6,-6.9,-6.5,-0.1,49,0.0,0.0,0.0,0.0,2.6,6.7
2005-01-21,-1.5,4.0,-6.8,-5.9,-0.7,50,0.0,0.0,0.0,0.0,2.73,7.5
2005-01-22,0.2,5.0,-2.9,-4.0,0.8,57,0.0,0.0,0.0,0.0,2.92,6.6
2005-01-23,0.4,5.1,-3.3,-3.7,0.4,65,0.0,0.0,0.0,0.0,4.13,9.4
2005-01-24,0.4,4.5,-2.9,-4.0,-0.8,64,0.0,0.0,0.0,0.0,4.52,10.1
2005-01-25,-2.0,1.2,-5.0,-6.8,-3.9,64,0.0,0.0,0.0,0.0,4.78,9.9
2005-01-26,-2.3,1.6,-6.8,-6.2,-2.1,59,0.0,0.0,0.0,0.0,2.02,4.3
2005-01-27,0.8,6.1,-3.3,-3.3,1.9,55,0.0,0.0,0.0,0.0,3.16,6.6
2005-01-28,2.4,7.0,-0.6,-2.4,2.1,67,0.3,0.3,0.0,2.0,6.96,13.5
2005-01-29,-3.0,1.4,-6.4,-8.9,-4.6,27,0.0,0.0,0.0,0.0,5.98,11.7
2005-01-30,-3.3,1.6,-6.8,-7.6,-2.7,40,0.0,0.0,0.0,0.0,2.91,6.9
2005-01-31,-3.4,1.4,-7.5,-8.6,-4.1,32,0.0,0.0,0.0,0.0,5.45,11.0
2005-02-01,-5.3,-0.5,-9.5,-10.3,-5.2,23,0.0,0.0,0.0,0.0,3.05,7.3
2005-02-02,-4.4,1.3,-8.5,-8.8,-2.6,30,0.0,0.0,0.0,0.0,2.52,6.4
2005-02-03,-1.0,5.6,-7.2,-6.2,-0.4,30,0.0,0.0,0.0,0.0,4.43,9.4
2005-02-04,0.1,3.5,-3.2,-4.9,-1.8,52,0.0,0.0,0.0,0.0,5.26,10.5
2005-02-05,-2.8,-0.5,-5.3,-8.7,-6.6,57,0.0,0.0,0.0,0.0,6.43,13.0
2005-02-06,-3.7,-1.3,-5.7,-8.7,-6.2,65,1.6,0.0,1.19,6.0,4.25,9.9
2005-02-07,-4.0,-2.4,-5.7,-8.1,-6.7,80,0.2,0.0,0.21,1.0,3.04,8.0
2005-02-08,-2.4,0.9,-5.2,-6.1,-1.8,73,0.0,0.0,0.0,0.0,2.9,7.5
2005-02-09,-3.1,-0.4,-7.6,-7.8,-5.8,63,0.2,0.0,0.28,2.0,5.44,11.0
2005-02-10,-4.9,-0.3,-8.5,-9.6,-4.9,44,0.0,0.0,0.0,0.0,3.19,8.5
2005-02-11,-2.1,2.0,-6.0,-6.2,-1.5,44,0.0,0.0,0.0,0.0,2.28,4.1
2005-02-12,-0.8,3.5,-4.3,-5.2,-1.4,59,0.0,0.0,0.0,0.0,4.2,9.5
2005-02-13,-0.3,5.3,-4.1,-4.3,1.0,74,0.0,0.0,0.0,0.0,4.03,8.5
2005-02-14,1.8,4.6,-0.1,-1.7,1.2,81,1.7,0.2,1.12,6.0,3.42,6.6
2005-02-15,-0.3,2.1,-2.6,-5.2,-1.6,95,17.3,2.7,10.29,22.0,6.77,12.2
2005-02-16,-2.3,-1.4,-3.5,-6.7,-5.8,86,0.0,0.0,0.0,0.0,4.25,8.2
2005-02-17,-2.8,-0.0,-4.7,-8.1,-5.5,71,0.2,0.0,0.35,2.0,6.85,13.3
2005-02-18,-3.4,-0.4,-6.3,-8.0,-5.5,68,0.0,0.0,0.0,0.0,4.92,11.1
2005-02-19,-6.6,-3.3,-9.8,-11.9,-8.6,34,0.0,0.0,0.0,0.0,5.57,11.8
2005-02-20,-5.3,0.0,-9.4,-9.9,-4.1,42,0.0,0.0,0.0,0.0,2.72,7.5
2005-02-21,0.1,5.4,-6.4,-4.9,0.7,54,0.0,0.0,0.0,0.0,6.77,13.4
2005-02-22,3.3,8.0,-0.3,-1.5,4.9,54,0.0,0.0,0.0,0.0,7.5,15.3
2005-02-23,-0.6,0.5,-1.6,-6.0,-4.7,58,0.0,0.0,0.14,0.0,5.38,11.9
2005-02-24,-1.1,-0.3,-3.3,-5.0,-3.8,77,0.0,0.0,0.35,0.0,3.86,7.2
2005-02-25,-2.5,0.9,-5.1,-7.2,-3.7,56,0.0,0.0,0.0,0.0,5.2,10.6
2005-02-26,-0.6,5.2,-6.0,-4.8,1.9,48,0.0,0.0,0.0,0.0,2.63,6.6
