time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,9.6,17.7,2.9,6.4,13.9,61,0.0,0.0,0.0,0.0,4.36,9.5
2000-01-02,9.8,17.8,3.7,7.1,14.2,63,0.0,0.0,0.0,0.0,4.25,9.1
2000-01-03,11.3,18.3,5.8,7.9,13.8,58,0.0,0.0,0.0,0.0,5.88,12.1
2000-01-04,11.9,18.3,6.1,7.7,12.9,49,0.0,0.0,0.0,0.0,6.86,14.2
2000-01-05,11.3,18.2,5.4,7.0,12.8,44,0.0,0.0,0.0,0.0,6.33,13.2
2000-01-06,10.4,19.0,4.3,6.5,14.1,45,0.0,0.0,0.0,0.0,4.73,10.0
2000-01-07,11.2,16.8,7.2,7.4,12.1,53,0.0,0.0,0.0,0.0,7.61,15.7
2000-01-08,10.6,16.9,5.7,7.5,12.7,66,0.0,0.0,0.0,0.0,5.72,12.2
2000-01-09,10.8,17.5,4.4,7.3,12.8,60,0.0,0.0,0.0,0.0,6.45,13.3
2000-01-10,12.6,18.1,6.2,8.9,13.2,57,0.0,0.0,0.0,0.0,7.85,16.3
2000-01-11,13.6,19.0,9.1,9.9,13.6,54,0.0,0.0,0.0,0.0,8.38,17.2
2000-01-12,12.3,18.4,7.3,8.4,13.7,53,0.0,0.0,0.0,0.0,6.99,14.3
2000-01-13,11.8,17.1,6.2,7.9,12.5,50,0.0,0.0,0.0,0.0,6.14,12.8
2000-01-14,13.1,18.0,9.0,8.1,11.7,42,0.0,0.0,0.0,0.0,9.72,19.3
2000-01-15,12.6,17.8,7.6,8.3,12.7,49,0.0,0.0,0.0,0.0,7.75,15.9
2000-01-16,12.5,18.6,6.9,8.5,13.1,50,0.0,0.0,0.0,0.0,7.34,15.3
2000-01-17,11.9,18.4,6.2,7.9,13.3,53,0.0,0.0,0.0,0.0,7.16,15.1
2000-01-18,8.0,12.0,4.1,4.9,8.8,71,0.0,0.0,0.0,0.0,4.28,9.0
2000-01-19,6.5,12.3,2.7,3.4,8.7,80,0.1,0.1,0.0,1.0,4.08,8.7
2000-01-20,8.7,10.9,7.0,6.1,7.3,90,3.7,3.7,0.0,19.0,5.54,13.7
2000-01-21,11.0,15.0,8.4,8.2,11.2,79,1.5,1.5,0.0,5.0,7.11,16.9
2000-01-22,9.8,13.5,6.3,7.2,10.4,79,2.9,2.9,0.0,8.0,5.73,15.5
2000-01-23,10.2,14.8,6.6,7.2,10.1,74,1.0,1.0,0.0,4.0,6.6,15.1
2000-01-24,10.4,15.6,5.1,7.6,11.5,71,0.4,0.4,0.0,3.0,5.47,11.6
2000-01-25,9.0,11.8,6.4,6.8,9.3,84,1.4,1.4,0.0,9.0,4.58,12.0
2000-01-26,6.8,8.2,4.7,4.0,6.5,90,0.3,0.3,0.0,3.0,4.12,9.1
2000-01-27,5.4,7.8,3.5,2.3,5.0,90,0.3,0.3,0.07,3.0,4.73,8.3
2000-01-28,9.5,13.8,6.5,6.3,9.1,80,0.0,0.0,0.0,0.0,7.17,14.7
2000-01-29,7.9,12.3,3.4,5.2,9.5,89,6.4,3.9,1.75,13.0,5.52,11.6
2000-01-30,0.2,3.3,-1.0,-4.4,-1.3,92,24.9,0.0,17.64,21.0,5.92,12.5
2000-01-31,1.3,4.4,-1.1,-1.8,1.8,87,2.4,0.0,2.03,9.0,2.92,6.9
2000-02-01,5.7,11.1,1.6,2.6,7.1,83,0.0,0.0,0.0,0.0,6.44,13.3
2000-02-02,9.4,15.1,6.3,6.2,10.1,78,0.0,0.0,0.0,0.0,7.13,14.4
2000-02-03,9.6,15.7,4.4,6.3,11.0,77,0.9,0.9,0.0,2.0,8.26,19.0
2000-02-04,11.1,15.9,7.4,7.7,11.0,65,0.0,0.0,0.0,0.0,7.14,14.7
2000-02-05,10.8,16.3,5.5,7.7,11.8,69,0.6,0.6,0.0,4.0,7.56,15.5
2000-02-06,11.4,17.3,6.6,8.8,13.5,74,0.2,0.2,0.0,2.0,6.44,14.7
2000-02-07,9.0,13.3,5.5,6.5,11.6,86,10.9,10.6,0.21,15.0,4.75,12.3
2000-02-08,8.3,14.5,5.0,5.6,10.7,83,6.9,6.9,0.0,14.0,6.09,12.3
2000-02-09,10.8,15.6,6.9,7.5,10.8,73,0.0,0.0,0.0,0.0,7.43,15.7
2000-02-10,10.6,14.7,6.6,7.0,9.9,66,0.0,0.0,0.0,0.0,8.12,16.0
2000-02-11,10.9,17.8,5.0,7.4,13.4,56,0.0,0.0,0.0,0.0,6.09,12.6
2000-02-12,13.2,20.1,6.4,9.5,15.9,53,0.0,0.0,0.0,0.0,7.08,14.8
2000-02-13,15.1,21.8,8.7,11.9,17.7,53,0.0,0.0,0.0,0.0,6.6,13.8
