time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,1.7,9.0,-5.2,-2.5,5.3,46,0.0,0.0,0.0,0.0,2.95,5.9
2000-01-02,1.8,9.8,-4.5,-2.4,6.1,45,0.0,0.0,0.0,0.0,2.69,4.8
2000-01-03,2.9,11.3,-1.4,-1.5,7.3,30,0.0,0.0,0.0,0.0,3.54,5.5
2000-01-04,1.2,7.8,-3.9,-2.8,3.5,47,0.0,0.0,0.0,0.0,3.1,6.1
2000-01-05,-2.0,0.2,-6.7,-6.4,-4.1,63,0.0,0.0,0.07,0.0,4.31,9.3
2000-01-06,-3.3,3.5,-9.6,-7.3,-0.4,57,0.0,0.0,0.0,0.0,2.52,5.0
2000-01-07,-1.8,4.4,-7.8,-5.6,0.7,51,0.0,0.0,0.0,0.0,1.66,4.5
2000-01-08,-0.5,5.9,-6.0,-4.3,2.4,56,0.0,0.0,0.0,0.0,2.66,4.7
2000-01-09,0.3,7.9,-7.2,-3.3,3.8,60,0.0,0.0,0.0,0.0,2.0,5.4
2000-01-10,-0.2,4.6,-4.2,-3.9,0.7,69,0.0,0.0,0.0,0.0,3.44,8.0
2000-01-11,-1.8,1.8,-5.8,-5.8,-2.3,60,0.5,0.0,0.63,3.0,2.48,6.2
2000-01-12,-1.7,3.5,-6.7,-5.3,-0.2,59,0.0,0.0,0.0,0.0,1.35,4.5
2000-01-13,-1.8,2.3,-5.3,-5.7,-1.9,60,0.0,0.0,0.0,0.0,3.2,7.6
2000-01-14,-2.8,2.6,-7.4,-6.8,-2.3,63,0.1,0.0,0.42,1.0,4.22,9.4
2000-01-15,-2.9,0.6,-5.9,-7.0,-3.4,61,0.6,0.0,0.7,4.0,2.72,5.8
2000-01-16,-3.3,-0.6,-6.4,-7.4,-4.9,67,0.6,0.0,0.98,3.0,2.62,6.2
2000-01-17,-3.0,1.6,-7.9,-6.9,-1.7,63,0.0,0.0,0.0,0.0,2.73,4.7
2000-01-18,-3.1,2.1,-8.1,-7.1,-1.4,52,0.0,0.0,0.0,0.0,2.5,6.1
2000-01-19,-3.2,3.2,-9.7,-7.2,-0.6,53,0.0,0.0,0.0,0.0,2.09,4.4
2000-01-20,-1.7,3.8,-7.2,-5.7,-0.6,59,0.1,0.0,0.28,1.0,2.82,7.7
2000-01-21,-1.3,1.7,-4.9,-4.9,-1.5,72,1.8,0.0,1.4,6.0,2.3,5.1
2000-01-22,-2.7,0.2,-7.0,-6.6,-3.4,72,0.0,0.0,0.0,0.0,3.36,7.8
2000-01-23,-2.3,1.9,-5.7,-6.1,-2.1,70,0.2,0.0,0.35,2.0,3.67,8.4
2000-01-24,-2.1,2.4,-6.8,-5.8,-0.9,62,0.0,0.0,0.0,0.0,1.79,4.4
2000-01-25,-4.7,-1.7,-8.5,-8.9,-6.0,68,0.0,0.0,0.0,0.0,2.48,6.4
2000-01-26,-5.6,-0.4,-10.9,-9.4,-4.2,66,0.0,0.0,0.0,0.0,2.38,4.9
2000-01-27,-4.9,-0.4,-10.1,-8.7,-4.0,64,0.0,0.0,0.0,0.0,1.77,4.0
2000-01-28,-4.6,0.3,-8.7,-8.9,-4.5,56,0.0,0.0,0.0,0.0,3.22,7.5
2000-01-29,-5.9,-1.4,-9.8,-10.4,-5.4,47,0.0,0.0,0.0,0.0,2.52,5.2
2000-01-30,-6.7,-2.9,-10.0,-11.0,-7.3,51,0.4,0.0,0.35,4.0,2.62,6.4
2000-01-31,-6.9,-1.9,-12.2,-10.6,-5.5,65,0.0,0.0,0.0,0.0,1.89,4.4
2000-02-01,-6.4,-0.8,-12.7,-10.7,-5.0,62,0.0,0.0,0.0,0.0,2.64,5.6
2000-02-02,-5.2,0.8,-12.3,-9.1,-2.3,59,0.0,0.0,0.0,0.0,1.68,4.1
2000-02-03,-4.0,0.6,-9.5,-8.0,-2.8,58,0.0,0.0,0.0,0.0,2.79,5.6
2000-02-04,-1.3,2.9,-4.9,-5.0,-0.1,57,0.2,0.0,0.28,2.0,2.5,4.7
2000-02-05,-1.1,4.2,-7.5,-5.0,1.5,52,0.0,0.0,0.0,0.0,1.75,4.3
2000-02-06,-1.7,3.2,-7.0,-6.4,-2.1,54,0.0,0.0,0.0,0.0,4.84,11.0
2000-02-07,-2.3,4.2,-9.5,-6.4,1.0,39,0.0,0.0,0.0,0.0,2.6,4.0
2000-02-08,-1.1,4.6,-6.9,-5.0,1.4,41,0.0,0.0,0.0,0.0,1.66,4.2
2000-02-09,0.4,6.7,-5.1,-3.4,3.7,44,0.0,0.0,0.0,0.0,2.2,5.1
2000-02-10,1.4,8.9,-5.3,-2.5,5.3,43,0.0,0.0,0.0,0.0,2.06,5.0
2000-02-11,2.1,10.1,-5.3,-1.7,7.3,53,0.0,0.0,0.0,0.0,3.36,5.7
2000-02-12,0.3,6.4,-2.8,-4.2,1.4,53,0.8,0.0,0.77,3.0,5.66,12.5
2000-02-13,-0.3,3.4,-4.5,-4.6,-1.5,45,0.0,0.0,0.0,0.0,2.83,7.3
2000-02-14,0.6,5.1,-5.2,-3.5,1.0,38,0.0,0.0,0.0,0.0,2.37,5.2
2000-02-15,1.4,7.3,-4.0,-2.6,4.5,38,0.0,0.0,0.0,0.0,2.06,5.2
