time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2005-01-01,8.5,11.8,5.3,2.5,6.2,37,0.0,0.0,0.0,0.0,8.61,15.0
2005-01-02,11.0,13.2,8.7,7.2,10.3,43,0.0,0.0,0.0,0.0,5.0,8.7
2005-01-03,13.8,16.9,10.6,11.0,14.6,58,0.0,0.0,0.0,0.0,4.77,7.9
2005-01-04,14.8,17.0,12.8,11.9,14.7,62,0.3,0.3,0.0,2.0,5.32,9.1
2005-01-05,15.6,17.8,13.3,13.6,16.1,65,0.0,0.0,0.0,0.0,4.1,7.8
2005-01-06,16.8,20.0,14.0,15.2,19.4,61,0.0,0.0,0.0,0.0,4.22,7.7
2005-01-07,17.4,20.6,14.3,16.6,20.3,72,0.0,0.0,0.0,0.0,4.62,9.0
2005-01-08,16.6,19.2,14.8,14.7,17.1,65,0.0,0.0,0.0,0.0,5.73,11.2
2005-01-09,14.6,16.7,12.0,11.5,13.9,60,0.0,0.0,0.0,0.0,5.7,9.8
2005-01-10,13.7,16.7,10.8,10.6,14.0,62,0.0,0.0,0.0,0.0,5.65,9.9
2005-01-11,15.5,18.2,13.5,13.7,16.5,70,0.0,0.0,0.0,0.0,5.7,9.3
2005-01-12,14.2,16.7,11.9,11.3,14.5,61,0.0,0.0,0.0,0.0,5.6,9.7
2005-01-13,10.0,12.3,8.9,5.4,8.4,77,2.1,2.1,0.0,7.0,7.68,12.6
2005-01-14,10.6,14.0,7.1,5.4,8.9,55,0.0,0.0,0.0,0.0,8.08,13.4
2005-01-15,11.6,15.0,8.5,6.8,10.5,43,0.0,0.0,0.0,0.0,6.8,12.0
2005-01-16,13.0,16.0,9.7,9.4,13.2,44,0.0,0.0,0.0,0.0,5.28,9.0
2005-01-17,14.1,16.9,10.5,11.6,14.2,64,0.0,0.0,0.0,0.0,4.72,9.0
2005-01-18,16.4,19.1,14.0,14.9,17.9,75,0.0,0.0,0.0,0.0,4.4,8.2
2005-01-19,17.1,19.2,15.5,16.6,18.5,80,0.0,0.0,0.0,0.0,3.7,7.3
2005-01-20,15.4,16.4,14.3,13.6,14.5,75,0.0,0.0,0.0,0.0,5.3,10.1
2005-01-21,16.3,18.5,14.5,14.5,17.1,76,0.0,0.0,0.0,0.0,6.0,10.9
2005-01-22,17.2,19.4,15.9,17.1,20.4,83,0.0,0.0,0.0,0.0,4.59,7.5
2005-01-23,17.2,20.3,14.8,17.4,21.2,85,0.0,0.0,0.0,0.0,4.11,8.4
2005-01-24,18.4,20.4,17.6,18.3,20.4,85,0.0,0.0,0.0,0.0,5.1,9.2
2005-01-25,18.8,20.9,17.4,20.0,21.9,88,0.0,0.0,0.0,0.0,3.18,6.0
2005-01-26,18.4,20.6,16.7,18.7,20.7,87,0.0,0.0,0.0,0.0,5.61,10.3
2005-01-27,18.5,20.4,17.2,18.3,20.0,86,0.4,0.4,0.0,3.0,5.55,10.2
2005-01-28,17.6,18.4,16.3,19.1,20.2,93,1.7,1.7,0.0,13.0,2.36,4.6
2005-01-29,18.1,20.9,16.0,18.8,21.4,88,1.5,1.5,0.0,9.0,4.75,8.8
2005-01-30,16.5,18.9,13.5,16.1,21.0,90,1.7,1.7,0.0,10.0,6.3,12.2
2005-01-31,12.3,13.1,11.6,8.8,10.0,77,1.0,1.0,0.0,8.0,6.86,11.7
2005-02-01,11.3,11.9,10.0,7.5,8.0,66,0.0,0.0,0.0,0.0,6.07,10.3
2005-02-02,12.2,14.2,10.0,9.4,11.9,81,0.7,0.7,0.0,6.0,5.24,9.6
2005-02-03,14.6,16.9,12.1,13.4,16.6,88,2.9,2.9,0.0,16.0,5.04,11.3
2005-02-04,17.4,19.8,15.1,18.1,20.4,93,0.0,0.0,0.0,0.0,4.03,7.8
2005-02-05,19.0,20.6,17.7,19.9,21.0,93,0.0,0.0,0.0,0.0,4.74,8.7
2005-02-06,19.7,21.5,18.5,21.2,23.2,91,0.0,0.0,0.0,0.0,4.25,8.0
2005-02-07,20.8,24.0,18.6,22.7,26.9,85,0.0,0.0,0.0,0.0,3.82,7.9
2005-02-08,19.8,22.6,17.8,21.3,23.9,88,0.0,0.0,0.0,0.0,3.94,7.3
2005-02-09,20.2,22.1,18.9,20.4,22.4,83,0.0,0.0,0.0,0.0,5.3,9.8
2005-02-10,18.4,19.9,15.4,17.2,21.0,77,0.1,0.1,0.0,1.0,6.45,11.5
2005-02-11,15.4,17.4,13.0,12.9,16.1,68,0.0,0.0,0.0,0.0,6.08,10.5
2005-02-12,17.4,20.2,15.5,16.5,19.5,73,0.0,0.0,0.0,0.0,4.22,8.2
2005-02-13,17.7,19.8,15.9,16.5,19.2,77,0.0,0.0,0.0,0.0,6.71,10.9
2005-02-14,18.5,20.2,16.8,17.1,19.4,83,0.3,0.3,0.0,2.0,7.3,12.4
2005-02-15,21.0,22.6,19.4,22.3,23.8,91,1.3,1.3,0.0,7.0,5.81,11.8
2005-02-16,22.2,23.6,21.3,23.4,24.5,89,1.6,1.6,0.0,8.0,7.2,13.3
2005-02-17,20.7,22.1,16.7,22.9,24.8,92,5.0,5.0,0.0,15.0,5.3,9.6
2005-02-18,13.2,16.6,11.8,9.3,15.1,81,4.5,4.5,0.0,11.0,8.49,14.8
2005-02-19,11.9,13.8,10.5,6.4,8.9,59,0.0,0.0,0.0,0.0,8.96,15.5
2005-02-20,9.9,11.2,8.6,4.7,6.7,58,0.0,0.0,0.0,0.0,8.38,14.3
2005-02-21,9.3,10.1,8.7,5.4,5.8,75,1.4,1.4,0.0,7.0,5.64,9.4
2005-02-22,10.2,11.7,9.1,7.8,10.5,86,1.1,1.1,0.0,10.0,4.68,8.4
2005-02-23,14.8,17.7,11.8,14.5,18.1,89,0.2,0.2,0.0,2.0,4.54,8.6
2005-02-24,18.6,21.1,17.0,20.1,22.4,93,0.0,0.0,0.0,0.0,4.61,8.5
2005-02-25,19.5,21.7,18.2,20.8,23.5,92,1.4,1.4,0.0,5.0,6.85,10.9
2005-02-26,17.3,18.7,16.0,15.9,17.5,87,5.1,5.1,0.0,17.0,7.0,13.1
2005-02-27,15.5,16.5,13.7,13.4,15.1,86,2.1,2.1,0.0,12.0,6.63,13.3
2005-02-28,13.1,14.7,11.5,10.3,12.7,83,7.2,7.2,0.0,15.0,7.64,12.7
2005-03-01,13.9,15.0,12.2,11.4,12.6,82,0.4,0.4,0.0,4.0,5.87,10.7
2005-03-02,13.5,14.4,12.6,11.1,12.5,88,5.2,5.2,0.0,15.0,6.99,11.6
2005-03-03,13.0,15.2,11.3,9.0,10.8,72,1.9,1.9,0.0,7.0,7.81,14.1
2005-03-04,13.1,14.6,11.7,8.7,10.5,57,0.0,0.0,0.0,0.0,7.05,12.0
2005-03-05,13.5,17.3,10.4,10.5,14.5,56,0.0,0.0,0.0,0.0,5.75,11.7
2005-03-06,14.4,18.2,11.4,11.3,16.1,51,0.0,0.0,0.0,0.0,5.26,9.3
2005-03-07,16.3,20.2,12.9,14.9,19.9,70,0.0,0.0,0.0,0.0,4.49,7.9
2005-03-08,17.8,21.1,14.5,17.5,21.5,79,0.0,0.0,0.0,0.0,4.89,9.1
2005-03-09,19.3,21.6,17.5,20.2,22.8,85,0.0,0.0,0.0,0.0,3.89,8.2
