time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,19.5,26.0,14.0,19.9,26.7,76,0.2,0.2,0.0,1.0,4.46,10.2
2000-01-02,19.2,24.7,13.9,19.4,25.4,79,0.0,0.0,0.0,0.0,4.81,10.5
2000-01-03,19.4,25.2,14.3,19.3,25.2,76,0.0,0.0,0.0,0.0,5.35,11.7
2000-01-04,18.8,25.7,13.3,18.2,25.9,72,0.0,0.0,0.0,0.0,5.77,13.5
2000-01-05,19.0,25.7,13.1,18.4,26.1,68,0.0,0.0,0.0,0.0,5.18,12.1
2000-01-06,18.3,25.6,11.6,18.0,26.6,70,0.0,0.0,0.0,0.0,4.64,10.7
2000-01-07,19.0,26.1,13.7,18.8,27.3,70,0.0,0.0,0.0,0.0,4.69,11.0
2000-01-08,18.3,24.9,12.9,18.1,25.4,75,0.0,0.0,0.0,0.0,5.73,13.2
2000-01-09,18.5,25.2,13.4,18.4,25.9,75,0.1,0.1,0.0,1.0,5.12,11.9
2000-01-10,18.7,25.1,13.5,19.1,26.3,74,0.0,0.0,0.0,0.0,4.74,10.8
2000-01-11,19.3,26.0,13.8,19.8,27.2,71,0.7,0.7,0.0,3.0,4.24,10.2
2000-01-12,19.3,26.8,12.5,19.2,27.4,71,0.0,0.0,0.0,0.0,5.0,11.8
2000-01-13,19.1,26.4,12.6,18.7,26.6,74,0.0,0.0,0.0,0.0,6.1,13.1
2000-01-14,19.1,26.0,13.4,18.0,26.2,67,0.0,0.0,0.0,0.0,6.14,13.7
2000-01-15,18.6,26.2,11.5,17.5,26.9,65,0.0,0.0,0.0,0.0,5.68,12.7
2000-01-16,18.6,26.3,10.8,17.7,26.7,65,0.0,0.0,0.0,0.0,4.32,10.0
2000-01-17,19.3,27.4,11.9,19.1,29.7,67,0.0,0.0,0.0,0.0,4.24,9.6
2000-01-18,19.1,25.4,13.7,19.0,27.4,71,0.2,0.2,0.0,1.0,5.09,10.7
2000-01-19,18.7,23.9,12.7,18.3,24.4,73,0.4,0.4,0.0,3.0,5.39,12.3
2000-01-20,18.8,25.8,12.2,18.7,26.3,70,0.0,0.0,0.0,0.0,4.36,10.8
2000-01-21,19.5,25.6,13.7,19.9,27.8,72,0.1,0.1,0.0,1.0,3.52,8.6
2000-01-22,19.5,26.2,15.0,19.3,26.5,73,0.0,0.0,0.0,0.0,5.19,11.9
2000-01-23,19.0,24.5,14.7,18.6,23.1,78,2.2,2.2,0.0,9.0,6.42,14.8
2000-01-24,18.3,22.9,15.0,17.5,21.4,78,1.5,1.5,0.0,6.0,6.86,15.7
