time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,7.6,11.0,5.3,5.4,8.9,88,0.0,0.0,0.0,0.0,3.67,7.6
2000-01-02,6.2,8.7,2.9,3.1,5.6,78,0.0,0.0,0.0,0.0,3.89,7.3
2000-01-03,5.7,9.9,2.3,2.0,6.3,78,0.0,0.0,0.0,0.0,5.35,10.9
2000-01-04,8.9,15.1,5.0,6.7,13.0,83,4.0,4.0,0.0,5.0,3.24,7.3
2000-01-05,7.8,9.8,4.7,5.6,8.8,93,7.5,7.5,0.0,11.0,4.11,7.0
2000-01-06,3.8,5.4,1.3,0.4,2.3,92,6.7,6.7,0.0,11.0,4.4,9.8
2000-01-07,2.4,4.6,0.7,-1.8,0.4,79,2.1,1.8,0.21,5.0,4.61,9.7
2000-01-08,3.1,5.3,1.1,-0.4,2.9,96,12.8,12.6,0.14,11.0,4.5,9.4
2000-01-09,5.6,6.4,4.9,2.9,3.8,93,0.3,0.3,0.0,1.0,4.07,8.9
2000-01-10,6.7,8.3,5.3,3.4,4.8,92,8.4,8.4,0.0,12.0,6.58,12.1
2000-01-11,6.3,6.7,5.1,2.3,3.5,93,28.7,28.7,0.0,20.0,7.0,13.0
2000-01-12,3.5,4.9,2.3,-0.1,1.5,92,0.8,0.8,0.0,4.0,4.66,8.8
2000-01-13,1.9,2.8,1.2,-1.9,-0.7,81,0.0,0.0,0.0,0.0,3.8,7.6
2000-01-14,2.0,4.2,-0.2,-2.3,0.1,72,0.0,0.0,0.0,0.0,5.12,9.1
2000-01-15,2.0,3.1,1.0,-2.1,-0.3,94,15.6,9.1,4.55,23.0,5.07,9.1
2000-01-16,2.9,3.8,1.8,-1.2,-0.0,88,1.5,1.5,0.0,10.0,4.61,9.1
2000-01-17,1.3,4.2,-0.9,-2.6,0.2,73,0.0,0.0,0.0,0.0,3.71,7.1
2000-01-18,1.0,3.2,-1.1,-2.4,-0.4,81,0.0,0.0,0.0,0.0,2.91,6.4
2000-01-19,0.1,3.0,-3.1,-4.4,-2.0,67,0.0,0.0,0.0,0.0,4.43,9.5
2000-01-20,-0.3,4.3,-4.1,-4.5,0.0,59,0.0,0.0,0.0,0.0,3.1,7.2
2000-01-21,1.8,4.6,-2.1,-3.4,-0.5,68,1.0,0.6,0.28,2.0,6.58,12.3
2000-01-22,4.0,5.0,2.6,1.0,2.4,92,6.5,6.5,0.0,16.0,5.06,9.8
2000-01-23,2.3,2.7,1.6,-1.1,0.0,94,10.4,10.1,0.21,17.0,3.94,7.6
2000-01-24,-0.6,1.6,-3.9,-5.7,-2.5,92,13.2,1.9,7.98,21.0,6.68,12.2
2000-01-25,-5.2,-3.7,-7.9,-9.9,-7.8,75,0.0,0.0,0.0,0.0,4.5,8.1
2000-01-26,-4.4,-1.6,-6.3,-9.0,-6.3,63,0.0,0.0,0.0,0.0,4.21,9.2
2000-01-27,-4.2,0.2,-7.7,-8.4,-3.6,71,0.0,0.0,0.0,0.0,2.88,6.9
2000-01-28,-1.7,2.2,-6.1,-5.7,-1.6,71,0.0,0.0,0.0,0.0,2.64,6.7
2000-01-29,1.7,4.8,-0.0,-1.6,1.4,76,0.0,0.0,0.0,0.0,2.7,6.3
2000-01-30,-0.6,1.8,-3.1,-5.5,-3.6,56,0.0,0.0,0.0,0.0,5.0,10.7
2000-01-31,-2.1,-0.3,-3.7,-7.1,-5.2,53,0.0,0.0,0.0,0.0,4.47,9.4
2000-02-01,-1.8,1.2,-4.5,-5.8,-2.6,56,0.0,0.0,0.0,0.0,2.56,7.1
2000-02-02,-1.7,1.6,-4.7,-5.4,-2.3,71,0.1,0.0,0.21,1.0,2.16,6.0
2000-02-03,0.2,4.4,-3.5,-3.5,0.7,73,0.0,0.0,0.0,0.0,2.83,6.8
2000-02-04,1.7,3.6,0.2,-2.4,-0.3,76,3.3,3.1,0.14,8.0,4.23,7.9
2000-02-05,2.0,2.9,1.0,-1.3,-0.9,90,1.1,0.9,0.14,5.0,4.07,8.0
