time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2020-01-01,1.0,4.0,-1.7,-3.5,-0.4,59,0.0,0.0,0.0,0.0,4.4,7.0
2020-01-02,3.3,6.6,0.6,-0.5,2.8,64,0.0,0.0,0.0,0.0,3.6,5.7
2020-01-03,2.6,6.7,-0.8,-1.6,2.3,61,0.0,0.0,0.0,0.0,3.26,5.3
2020-01-04,4.6,9.1,2.1,0.8,5.3,61,0.0,0.0,0.0,0.0,2.97,5.0
2020-01-05,5.5,7.4,2.7,1.6,3.8,80,4.3,4.3,0.0,9.0,5.79,7.5
2020-01-06,6.6,7.0,5.9,2.1,2.6,87,5.4,5.4,0.0,14.0,7.61,11.3
2020-01-07,3.5,5.9,1.2,-2.6,1.6,92,23.0,15.1,5.6,21.0,10.43,16.2
2020-01-08,1.6,3.9,-0.5,-5.0,-2.6,67,0.0,0.0,0.0,0.0,10.87,16.7
2020-01-09,1.3,4.2,-1.5,-2.7,0.8,65,0.0,0.0,0.0,0.0,3.85,6.6
2020-01-10,2.6,5.6,0.1,-1.2,1.6,62,0.0,0.0,0.0,0.0,3.36,5.6
2020-01-11,1.8,4.3,-0.6,-2.7,0.1,69,0.0,0.0,0.0,0.0,5.01,8.6
2020-01-12,0.6,3.7,-1.7,-4.5,-1.7,67,0.0,0.0,0.0,0.0,5.19,9.0
2020-01-13,0.6,3.1,-1.2,-3.3,-0.6,66,0.2,0.1,0.14,1.0,4.61,7.9
2020-01-14,-0.4,2.2,-2.6,-5.7,-3.2,61,0.0,0.0,0.0,0.0,5.28,9.2
2020-01-15,-0.4,2.2,-3.5,-4.5,-1.3,60,0.0,0.0,0.0,0.0,3.57,6.0
2020-01-16,1.4,3.1,-0.1,-2.9,-1.3,60,0.0,0.0,0.0,0.0,3.9,6.8
2020-01-17,1.4,4.2,-0.6,-3.2,-0.6,67,0.0,0.0,0.0,0.0,4.26,7.2
2020-01-18,1.5,4.1,-1.4,-2.9,-0.1,70,0.0,0.0,0.0,0.0,5.01,8.2
2020-01-19,3.0,6.1,1.1,-1.7,0.7,62,0.0,0.0,0.0,0.0,5.25,8.3
2020-01-20,3.0,6.6,0.7,-1.5,1.7,53,0.0,0.0,0.0,0.0,4.52,7.9
2020-01-21,4.8,7.5,0.8,0.4,3.2,68,0.0,0.0,0.0,0.0,6.04,10.6
2020-01-22,6.6,8.3,5.1,3.8,5.6,81,0.0,0.0,0.0,0.0,3.76,6.0
2020-01-23,4.6,8.6,0.7,1.9,6.1,85,0.0,0.0,0.0,0.0,4.96,7.8
2020-01-24,3.3,5.9,0.9,-2.2,-0.1,61,0.0,0.0,0.0,0.0,6.65,11.1
2020-01-25,3.1,6.5,0.4,-1.7,2.0,55,0.0,0.0,0.0,0.0,4.85,7.7
2020-01-26,3.5,6.6,0.8,-1.5,1.4,66,0.0,0.0,0.0,0.0,5.92,9.3
2020-01-27,4.6,6.9,2.8,-0.1,3.0,71,0.6,0.6,0.0,4.0,5.76,8.7
2020-01-28,4.4,6.2,3.0,0.4,2.1,83,0.0,0.0,0.0,0.0,5.61,8.1
2020-01-29,1.8,3.8,-0.1,-4.5,-2.0,73,0.0,0.0,0.0,0.0,8.47,13.6
2020-01-30,0.6,3.6,-1.8,-6.4,-3.4,62,0.0,0.0,0.0,0.0,8.68,14.2
2020-01-31,2.1,6.6,-2.3,-2.6,2.0,63,0.0,0.0,0.0,0.0,5.68,9.1
2020-02-01,4.4,8.6,1.3,0.2,4.5,63,0.0,0.0,0.0,0.0,4.33,6.6
2020-02-02,3.3,7.5,0.6,-1.2,3.8,75,0.9,0.9,0.0,4.0,7.16,11.0
2020-02-03,1.2,3.5,-1.5,-3.4,-0.3,67,0.0,0.0,0.0,0.0,7.01,10.3
2020-02-04,2.7,6.4,-1.8,-2.4,2.7,71,0.2,0.2,0.0,1.0,7.93,12.6
2020-02-05,-2.4,-0.3,-3.5,-8.5,-6.0,54,0.0,0.0,0.0,0.0,6.93,11.6
2020-02-06,-1.8,0.1,-3.8,-6.3,-3.7,63,0.0,0.0,0.0,0.0,4.95,8.2
2020-02-07,2.8,5.5,0.1,-0.8,1.5,71,0.0,0.0,0.0,0.0,3.4,6.8
2020-02-08,2.9,7.0,-0.2,-1.5,2.1,70,0.0,0.0,0.0,0.0,4.66,8.1
2020-02-09,3.9,8.8,-0.3,0.0,4.6,73,0.0,0.0,0.0,0.0,5.77,9.1
2020-02-10,6.5,10.7,2.7,3.0,7.4,78,0.0,0.0,0.0,0.0,5.22,8.2
2020-02-11,8.1,9.9,6.5,4.3,5.8,82,0.5,0.5,0.0,1.0,5.89,9.8
2020-02-12,8.6,11.8,6.5,6.0,10.3,85,0.1,0.1,0.0,1.0,4.41,6.8
