time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,21.0,24.5,17.9,22.3,27.0,83,0.0,0.0,0.0,0.0,3.65,7.5
2000-01-02,21.0,24.5,18.7,21.6,25.6,78,0.0,0.0,0.0,0.0,4.66,7.7
2000-01-03,20.6,23.7,17.7,21.0,24.6,77,0.0,0.0,0.0,0.0,4.52,7.7
2000-01-04,21.6,24.4,19.4,23.2,26.5,84,0.0,0.0,0.0,0.0,3.92,7.2
2000-01-05,22.0,24.2,20.4,24.7,27.3,90,0.0,0.0,0.0,0.0,3.61,5.6
2000-01-06,22.0,24.3,19.9,24.9,27.7,92,0.0,0.0,0.0,0.0,3.31,5.9
2000-01-07,22.1,24.3,20.2,24.0,26.1,88,0.0,0.0,0.0,0.0,5.14,8.9
2000-01-08,21.7,23.8,19.9,22.8,25.7,83,0.0,0.0,0.0,0.0,4.81,8.5
2000-01-09,22.2,24.4,20.3,23.8,27.0,80,0.0,0.0,0.0,0.0,4.4,7.4
2000-01-10,22.4,24.7,20.4,24.5,27.6,86,0.0,0.0,0.0,0.0,4.13,6.8
2000-01-11,22.7,24.5,21.2,25.5,28.0,92,0.0,0.0,0.0,0.0,3.91,6.9
2000-01-12,22.7,24.9,21.3,25.8,28.5,92,0.0,0.0,0.0,0.0,3.18,5.6
2000-01-13,22.6,24.2,21.3,25.4,26.9,93,0.3,0.3,0.0,2.0,4.02,7.0
2000-01-14,22.5,24.2,21.2,24.9,26.4,90,0.0,0.0,0.0,0.0,4.44,7.7
2000-01-15,22.4,24.7,20.8,25.0,27.8,89,0.0,0.0,0.0,0.0,3.83,7.0
2000-01-16,22.2,24.7,20.0,24.4,27.6,87,0.0,0.0,0.0,0.0,4.11,7.1
2000-01-17,22.3,24.0,20.7,23.4,24.8,83,0.1,0.1,0.0,1.0,5.9,9.9
2000-01-18,20.6,22.5,17.4,19.9,22.4,78,0.0,0.0,0.0,0.0,7.16,11.4
2000-01-19,17.1,18.8,15.8,14.7,17.2,75,0.0,0.0,0.0,0.0,7.25,11.7
2000-01-20,18.2,21.4,15.7,15.8,19.5,72,0.0,0.0,0.0,0.0,8.13,13.4
2000-01-21,20.4,22.8,18.3,19.2,21.7,78,0.0,0.0,0.0,0.0,7.66,12.9
2000-01-22,21.5,23.6,19.9,22.1,24.7,84,0.9,0.9,0.0,5.0,6.69,10.7
2000-01-23,22.0,23.9,20.2,24.5,26.9,88,2.5,2.5,0.0,9.0,3.66,6.2
2000-01-24,22.0,22.8,21.0,25.1,26.4,93,5.4,5.4,0.0,13.0,3.36,6.5
2000-01-25,20.0,21.4,17.1,19.3,23.5,83,0.3,0.3,0.0,2.0,7.94,13.6
2000-01-26,16.4,17.4,14.8,13.6,14.6,77,0.0,0.0,0.0,0.0,7.43,13.3
2000-01-27,15.2,17.9,13.5,11.6,15.0,72,0.0,0.0,0.0,0.0,8.56,14.0
2000-01-28,16.9,20.9,13.4,14.2,19.0,71,0.0,0.0,0.0,0.0,7.02,12.5
2000-01-29,17.9,20.8,15.8,15.7,18.5,78,0.0,0.0,0.0,0.0,8.25,14.5
2000-01-30,17.6,19.7,16.1,13.9,16.2,73,0.0,0.0,0.0,0.0,10.48,18.1
2000-01-31,16.9,19.6,14.4,14.2,18.2,74,0.0,0.0,0.0,0.0,7.24,12.0
2000-02-01,15.7,19.2,12.9,13.0,17.6,72,0.0,0.0,0.0,0.0,6.47,10.5
2000-02-02,17.2,21.7,13.0,16.3,23.2,74,0.0,0.0,0.0,0.0,5.46,9.6
2000-02-03,19.2,22.8,16.1,19.9,25.3,80,0.0,0.0,0.0,0.0,3.76,7.4
2000-02-04,20.4,23.6,17.8,21.5,25.2,85,0.0,0.0,0.0,0.0,4.28,7.1
2000-02-05,21.2,23.7,18.9,21.9,24.8,81,0.0,0.0,0.0,0.0,6.11,9.8
