time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2020-01-01,-2.4,2.1,-6.9,-5.9,-1.7,73,0.0,0.0,0.0,0.0,2.52,6.5
2020-01-02,0.2,4.3,-2.9,-3.3,0.3,82,0.0,0.0,0.0,0.0,4.1,8.6
2020-01-03,-0.6,5.1,-4.4,-4.6,0.9,74,0.0,0.0,0.0,0.0,3.1,7.8
2020-01-04,0.1,6.9,-3.8,-3.8,2.6,68,0.0,0.0,0.0,0.0,3.81,8.2
2020-01-05,-0.6,6.2,-6.4,-4.1,2.9,65,0.0,0.0,0.0,0.0,2.16,4.4
2020-01-06,1.6,4.5,-2.8,-1.9,1.3,78,1.6,0.9,0.56,6.0,3.61,7.5
2020-01-07,6.2,7.6,4.3,3.2,4.5,94,55.3,55.3,0.0,24.0,4.98,17.6
2020-01-08,3.8,8.5,0.2,0.1,6.5,90,8.3,6.5,1.26,10.0,7.17,14.4
2020-01-09,-0.6,2.8,-4.0,-4.9,-1.8,74,0.0,0.0,0.0,0.0,4.08,10.4
2020-01-10,-1.1,4.1,-5.1,-4.5,0.3,77,0.0,0.0,0.0,0.0,2.61,6.0
2020-01-11,-0.4,4.2,-3.7,-4.1,-0.4,76,0.0,0.0,0.0,0.0,3.45,8.0
2020-01-12,-0.7,2.9,-3.3,-4.7,-2.0,70,0.0,0.0,0.0,0.0,3.85,8.9
2020-01-13,-2.0,1.3,-3.9,-6.5,-4.1,62,0.0,0.0,0.0,0.0,4.84,11.3
2020-01-14,-2.4,2.9,-5.7,-6.5,-1.7,59,0.0,0.0,0.0,0.0,3.01,6.9
2020-01-15,-3.1,2.5,-7.0,-7.3,-2.4,62,0.0,0.0,0.0,0.0,3.1,8.1
2020-01-16,-2.9,3.4,-6.9,-7.1,-1.2,63,0.0,0.0,0.0,0.0,3.1,6.7
2020-01-17,-2.0,4.5,-5.9,-6.1,0.6,61,0.0,0.0,0.0,0.0,3.13,5.3
2020-01-18,-0.7,6.3,-5.7,-4.8,1.7,61,0.0,0.0,0.0,0.0,3.11,6.6
2020-01-19,1.0,5.9,-2.0,-3.0,1.0,75,0.3,0.3,0.0,2.0,6.41,16.4
2020-01-20,0.9,6.2,-3.1,-3.5,1.0,65,0.0,0.0,0.0,0.0,6.3,14.4
2020-01-21,-1.7,4.2,-6.5,-5.6,0.8,57,0.0,0.0,0.0,0.0,2.56,5.8
2020-01-22,1.8,6.8,-1.9,-1.7,3.2,60,0.2,0.0,0.14,1.0,2.06,4.9
2020-01-23,3.7,10.8,-1.1,0.1,7.0,65,0.0,0.0,0.0,0.0,3.36,7.3
2020-01-24,1.9,9.0,-2.5,-1.4,6.1,81,0.0,0.0,0.0,0.0,2.86,5.0
2020-01-25,2.5,9.4,-1.9,-0.5,7.1,82,0.0,0.0,0.0,0.0,2.82,4.6
2020-01-26,4.8,12.0,-1.5,1.0,7.8,70,0.0,0.0,0.0,0.0,4.74,9.6
2020-01-27,6.6,8.5,4.9,2.0,3.3,60,3.8,3.8,0.0,8.0,5.86,13.5
2020-01-28,7.0,11.0,4.5,3.7,7.4,69,1.9,1.9,0.0,5.0,3.7,9.1
2020-01-29,5.1,9.7,1.4,1.8,6.4,69,0.0,0.0,0.0,0.0,2.64,5.9
2020-01-30,4.6,9.7,0.5,1.4,6.7,70,0.2,0.2,0.0,1.0,2.57,5.5
2020-01-31,3.3,8.1,0.6,0.1,4.3,78,0.0,0.0,0.0,0.0,3.64,8.4
2020-02-01,2.0,7.5,-1.8,-1.4,3.5,80,0.0,0.0,0.0,0.0,3.8,9.2
2020-02-02,1.0,5.3,-2.4,-2.7,1.0,67,0.0,0.0,0.07,0.0,2.69,6.4
2020-02-03,0.4,3.7,-3.7,-4.2,-2.0,56,0.0,0.0,0.0,0.0,4.9,11.1
2020-02-04,-1.2,4.2,-6.4,-5.7,-0.7,63,1.7,0.0,1.26,5.0,5.64,11.8
2020-02-05,-6.6,-3.4,-9.1,-12.6,-9.3,39,0.0,0.0,0.0,0.0,5.47,11.8
2020-02-06,-6.7,-0.7,-11.2,-11.0,-4.2,44,0.0,0.0,0.0,0.0,2.68,7.5
2020-02-07,-2.2,3.1,-6.8,-6.4,-1.7,58,0.0,0.0,0.0,0.0,3.34,8.2
2020-02-08,0.3,4.9,-3.1,-4.3,-0.7,59,0.0,0.0,0.0,0.0,5.5,12.6
2020-02-09,-1.3,4.5,-6.8,-5.5,-0.4,62,0.0,0.0,0.0,0.0,4.4,10.8
2020-02-10,3.6,10.4,-1.0,0.3,6.4,65,0.0,0.0,0.0,0.0,3.0,8.1
2020-02-11,5.0,14.3,-3.4,1.5,10.7,60,0.0,0.0,0.0,0.0,2.66,6.9
2020-02-12,6.4,8.1,4.3,3.9,6.7,78,4.3,4.3,0.0,11.0,2.83,5.8
2020-02-13,6.2,8.6,2.8,4.1,6.5,91,0.0,0.0,0.0,0.0,2.57,6.6
2020-02-14,6.3,12.6,2.7,4.3,10.9,87,0.0,0.0,0.0,0.0,1.91,4.3
2020-02-15,8.0,14.9,2.3,5.5,12.7,80,5.9,5.9,0.0,7.0,4.08,10.1
2020-02-16,0.2,5.7,-3.1,-4.7,3.6,84,9.9,3.9,4.62,11.0,6.58,15.3
2020-02-17,-4.7,-2.9,-6.3,-10.2,-7.9,68,0.0,0.0,0.0,0.0,5.46,13.4
2020-02-18,-3.6,2.0,-8.2,-8.3,-2.9,53,0.0,0.0,0.0,0.0,3.32,8.9
2020-02-19,0.3,7.0,-5.8,-2.9,4.0,73,0.0,0.0,0.0,0.0,2.0,7.3
2020-02-20,2.9,10.5,-2.2,0.1,8.6,81,0.0,0.0,0.0,0.0,2.94,5.8
2020-02-21,5.4,11.9,-0.5,2.4,8.9,78,1.9,1.9,0.0,5.0,4.07,8.9
2020-02-22,5.3,8.1,0.9,0.6,4.1,69,3.6,3.6,0.0,3.0,8.05,19.4
2020-02-23,2.5,7.9,-2.7,-1.6,3.7,61,0.0,0.0,0.0,0.0,4.14,10.3
2020-02-24,5.5,12.2,-0.2,2.5,9.3,68,0.0,0.0,0.0,0.0,2.62,8.1
2020-02-25,6.6,8.9,5.2,3.3,5.4,85,22.4,22.4,0.0,14.0,5.0,9.8
2020-02-26,6.5,11.0,1.7,3.6,8.1,75,0.0,0.0,0.0,0.0,3.98,9.4
2020-02-27,6.2,10.9,2.3,3.3,8.2,69,0.0,0.0,0.0,0.0,2.43,7.0
2020-02-28,4.4,5.5,1.8,1.8,3.9,88,6.4,6.4,0.0,12.0,2.98,6.5
2020-02-29,7.3,12.0,3.2,5.2,9.9,83,0.0,0.0,0.0,0.0,2.62,5.8
