time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,10.7,14.4,8.0,9.2,13.1,88,0.0,0.0,0.0,0.0,3.61,7.7
2000-01-02,6.8,8.4,3.5,3.3,5.8,85,0.0,0.0,0.0,0.0,5.88,11.5
2000-01-03,6.6,10.8,2.4,3.5,7.0,81,0.0,0.0,0.0,0.0,4.66,9.4
2000-01-04,11.2,15.5,8.0,8.3,12.4,84,0.0,0.0,0.0,0.0,6.02,11.7
2000-01-05,12.4,16.0,9.2,10.9,14.2,88,1.9,1.9,0.0,6.0,5.64,10.1
2000-01-06,7.2,9.2,5.1,3.7,7.0,89,3.2,3.2,0.0,8.0,6.53,12.2
2000-01-07,4.8,5.8,3.7,0.3,1.2,67,1.6,1.3,0.21,4.0,5.77,11.1
2000-01-08,6.8,9.7,3.6,3.5,6.9,91,16.4,16.4,0.0,20.0,5.23,8.8
2000-01-09,9.2,10.2,7.6,6.2,8.9,91,6.9,6.9,0.0,8.0,6.45,12.5
2000-01-10,8.8,10.0,7.5,5.4,6.0,86,0.2,0.2,0.0,2.0,6.28,11.3
2000-01-11,9.2,10.7,8.3,6.0,9.6,88,18.8,18.8,0.0,18.0,6.02,11.0
2000-01-12,8.1,10.6,5.6,4.5,9.6,92,0.4,0.4,0.0,1.0,6.88,12.4
2000-01-13,4.3,5.5,3.4,-0.3,0.9,78,0.0,0.0,0.0,0.0,6.0,10.8
2000-01-14,3.8,6.1,2.3,-0.4,2.0,71,0.0,0.0,0.0,0.0,4.7,8.9
2000-01-15,6.4,7.2,4.9,2.9,3.9,85,12.7,12.7,0.0,20.0,4.94,9.0
2000-01-16,5.7,7.0,4.2,1.2,3.3,84,2.4,2.4,0.0,12.0,6.71,11.9
2000-01-17,3.9,5.1,2.6,-1.0,-0.1,70,0.0,0.0,0.0,0.0,6.09,10.8
2000-01-18,2.9,4.1,1.8,-1.5,-0.7,72,0.0,0.0,0.0,0.0,4.52,9.1
2000-01-19,1.9,4.3,-1.3,-3.2,-1.9,61,0.0,0.0,0.0,0.0,7.24,13.9
2000-01-20,0.8,4.2,-2.1,-3.3,0.3,65,0.0,0.0,0.0,0.0,3.72,7.5
2000-01-21,3.8,6.4,0.6,-0.5,1.8,68,0.5,0.5,0.0,1.0,5.41,9.3
2000-01-22,7.6,9.2,5.9,4.5,6.9,86,7.5,7.5,0.0,13.0,5.59,9.6
2000-01-23,4.9,5.9,4.4,1.6,3.1,91,18.6,18.6,0.0,21.0,3.92,7.5
2000-01-24,3.6,5.4,1.0,-1.5,1.6,91,9.4,7.0,1.68,24.0,7.96,13.9
2000-01-25,-0.0,1.3,-2.2,-6.1,-4.3,70,0.0,0.0,0.0,0.0,6.9,13.0
2000-01-26,-2.0,0.3,-4.5,-8.2,-5.8,57,0.0,0.0,0.0,0.0,6.4,12.2
2000-01-27,-0.9,1.6,-3.4,-6.5,-4.3,63,0.0,0.0,0.0,0.0,5.83,11.4
2000-01-28,0.9,4.6,-2.4,-3.1,1.1,72,0.0,0.0,0.0,0.0,3.66,7.1
2000-01-29,4.2,7.0,1.8,1.1,3.9,80,0.1,0.1,0.0,1.0,3.09,5.3
2000-01-30,1.7,3.5,-0.5,-3.5,0.4,68,0.0,0.0,0.0,0.0,6.81,12.7
2000-01-31,-0.2,1.5,-1.9,-5.8,-4.4,60,0.0,0.0,0.0,0.0,6.04,12.2
2000-02-01,-0.5,1.6,-2.4,-5.1,-2.5,67,0.7,0.0,0.56,4.0,4.58,8.6
2000-02-02,0.9,3.5,-1.8,-2.7,-0.1,76,0.0,0.0,0.0,0.0,2.39,4.9
2000-02-03,2.2,3.8,0.6,-1.8,-0.7,78,0.0,0.0,0.0,0.0,3.86,7.6
2000-02-04,4.0,6.4,1.2,0.3,2.1,74,3.4,2.7,0.49,7.0,4.03,7.7
2000-02-05,4.9,6.0,3.6,1.8,4.0,90,5.1,5.1,0.0,12.0,4.82,7.9
2000-02-06,3.0,4.7,1.6,-1.0,0.6,79,0.0,0.0,0.0,0.0,5.24,9.8
2000-02-07,3.3,8.4,-0.2,-1.1,2.7,74,0.0,0.0,0.0,0.0,8.0,14.6
2000-02-08,0.9,5.0,-1.4,-4.2,-0.8,65,0.0,0.0,0.0,0.0,6.96,13.6
2000-02-09,1.0,4.1,-2.0,-2.8,1.3,70,0.0,0.0,0.0,0.0,3.11,5.7
2000-02-10,5.2,8.5,2.3,1.9,6.0,76,0.0,0.0,0.0,0.0,3.49,8.3
2000-02-11,5.5,10.9,1.9,2.6,8.5,80,0.0,0.0,0.0,0.0,3.58,7.5
2000-02-12,6.2,10.9,2.8,3.3,8.5,84,0.0,0.0,0.0,0.0,3.79,7.8
2000-02-13,6.8,9.1,5.4,3.4,4.9,86,4.5,4.5,0.0,9.0,5.35,9.1
2000-02-14,5.8,8.1,2.7,2.0,3.9,81,0.0,0.0,0.0,0.0,6.17,11.7
2000-02-15,3.5,6.9,0.9,-0.2,2.5,71,0.0,0.0,0.0,0.0,4.02,9.3
2000-02-16,3.0,5.5,1.1,-0.5,2.1,66,0.0,0.0,0.0,0.0,2.84,5.7
2000-02-17,4.5,8.5,0.7,0.7,4.8,67,0.0,0.0,0.0,0.0,4.34,9.5
2000-02-18,6.8,7.9,5.1,2.3,4.1,85,21.7,21.7,0.0,16.0,7.89,14.4
2000-02-19,7.3,8.0,5.8,3.9,5.8,91,3.6,3.6,0.0,11.0,5.38,11.5
2000-02-20,4.4,6.3,1.6,0.1,2.0,80,0.0,0.0,0.0,0.0,5.42,10.5
2000-02-21,3.7,6.3,1.4,-0.2,2.9,72,0.0,0.0,0.0,0.0,4.12,9.0
2000-02-22,4.9,7.0,3.6,1.2,2.7,78,0.8,0.8,0.0,3.0,5.03,9.4
2000-02-23,6.2,9.0,4.9,2.4,4.8,77,0.2,0.2,0.0,2.0,5.38,10.8
2000-02-24,5.7,7.5,4.1,1.0,2.3,70,0.0,0.0,0.0,0.0,7.5,14.3
2000-02-25,4.6,6.3,3.1,0.9,3.0,64,0.0,0.0,0.0,0.0,3.89,8.0
2000-02-26,6.2,10.3,3.4,1.8,5.5,57,0.0,0.0,0.0,0.0,5.83,11.4
2000-02-27,6.7,10.7,3.4,3.3,8.5,65,0.0,0.0,0.0,0.0,3.83,7.1
2000-02-28,6.7,10.3,3.3,3.0,6.9,74,0.0,0.0,0.0,0.0,7.72,14.3
2000-02-29,4.0,6.9,2.0,0.2,3.9,67,0.0,0.0,0.0,0.0,4.12,8.3
2000-03-01,5.4,8.7,2.3,2.2,5.9,75,0.0,0.0,0.0,0.0,4.28,8.9
2000-03-02,8.4,12.3,5.4,5.6,9.0,80,0.0,0.0,0.0,0.0,4.61,9.1
2000-03-03,11.2,14.3,8.1,9.7,13.7,85,0.3,0.3,0.0,2.0,3.75,6.7
2000-03-04,9.9,10.9,7.9,8.1,10.6,93,19.5,19.5,0.0,17.0,3.41,6.5
2000-03-05,8.0,9.7,6.5,5.7,7.6,90,0.6,0.6,0.0,4.0,3.94,7.4
2000-03-06,8.9,14.5,4.8,7.4,14.7,86,0.1,0.1,0.0,1.0,5.79,9.2
2000-03-07,6.8,8.4,4.7,2.6,5.3,68,0.0,0.0,0.0,0.0,6.09,11.0
2000-03-08,7.1,11.7,3.6,4.5,10.3,69,0.0,0.0,0.0,0.0,3.2,6.5
2000-03-09,8.1,10.6,6.1,4.5,6.0,66,0.0,0.0,0.0,0.0,5.08,9.8
2000-03-10,6.9,8.2,5.8,3.1,4.2,82,20.2,20.2,0.0,14.0,6.45,11.4
2000-03-11,8.0,8.9,7.3,5.2,6.2,91,14.4,14.4,0.0,21.0,5.49,9.3
2000-03-12,8.1,10.9,5.6,5.4,8.6,82,0.0,0.0,0.0,0.0,3.76,7.7
2000-03-13,9.2,12.0,6.0,6.5,8.6,82,0.0,0.0,0.0,0.0,5.09,9.9
2000-03-14,10.2,11.4,8.8,7.4,8.4,82,0.3,0.3,0.0,1.0,5.11,9.5
2000-03-15,11.0,12.4,9.8,8.9,12.0,93,10.6,10.6,0.0,19.0,5.59,10.1
2000-03-16,10.5,14.0,7.0,7.2,10.7,71,0.0,0.0,0.0,0.0,6.19,11.2
2000-03-17,10.0,15.4,6.0,6.5,11.9,58,0.0,0.0,0.0,0.0,5.19,10.3
2000-03-18,11.0,12.7,8.8,8.4,10.9,83,7.6,7.6,0.0,10.0,6.3,10.2
2000-03-19,9.4,12.5,5.4,6.0,10.1,75,0.0,0.0,0.0,0.0,7.69,14.3
2000-03-20,8.5,11.9,5.5,5.4,9.6,72,0.0,0.0,0.0,0.0,5.52,10.6
2000-03-21,11.7,14.8,9.6,9.5,13.7,82,0.0,0.0,0.0,0.0,5.46,10.0
2000-03-22,11.6,14.3,10.2,9.4,12.5,89,2.0,2.0,0.0,5.0,5.25,9.1
2000-03-23,11.1,12.7,9.4,9.0,10.5,85,4.8,4.8,0.0,9.0,6.04,11.0
2000-03-24,10.1,15.0,6.8,7.0,13.0,58,0.0,0.0,0.0,0.0,4.07,9.0
2000-03-25,11.0,15.1,6.9,7.9,13.0,62,0.0,0.0,0.0,0.0,5.02,10.7
2000-03-26,14.3,20.7,9.6,12.0,18.5,58,0.0,0.0,0.0,0.0,4.12,8.7
2000-03-27,17.2,22.6,11.9,14.1,19.4,52,0.6,0.6,0.0,2.0,7.16,13.8
2000-03-28,15.2,17.5,10.5,10.8,15.4,43,0.0,0.0,0.0,0.0,9.27,17.2
2000-03-29,12.0,16.7,7.5,9.6,15.1,54,0.0,0.0,0.0,0.0,3.3,6.8
2000-03-30,14.4,18.2,9.8,11.0,15.1,61,0.0,0.0,0.0,0.0,6.93,14.2
2000-03-31,18.0,25.3,13.2,15.9,24.7,64,0.0,0.0,0.0,0.0,6.24,11.4
2000-04-01,13.3,15.2,12.3,9.7,11.4,67,0.1,0.1,0.0,1.0,6.62,13.8
2000-04-02,12.5,13.1,11.7,11.2,12.3,92,3.1,3.1,0.0,12.0,4.04,7.2
