time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2015-01-01,15.5,19.7,12.2,12.6,16.6,53,0.0,0.0,0.0,0.0,5.56,10.9
2015-01-02,14.5,18.4,11.8,12.2,16.5,60,0.0,0.0,0.0,0.0,3.89,8.6
2015-01-03,15.1,19.1,12.2,13.3,17.7,69,0.0,0.0,0.0,0.0,4.32,10.5
2015-01-04,16.9,20.8,13.4,16.5,21.2,82,0.0,0.0,0.0,0.0,3.65,7.9
2015-01-05,19.4,21.8,18.1,20.0,22.5,84,0.0,0.0,0.0,0.0,4.11,9.1
2015-01-06,20.8,24.3,18.6,22.7,26.3,82,0.0,0.0,0.0,0.0,2.44,5.5
2015-01-07,17.3,19.1,14.3,15.5,21.8,70,0.0,0.0,0.0,0.0,5.66,11.2
2015-01-08,14.8,18.6,12.1,11.8,16.0,57,0.0,0.0,0.0,0.0,5.59,11.1
2015-01-09,14.6,17.4,12.0,12.5,15.1,61,0.0,0.0,0.0,0.0,4.04,9.7
2015-01-10,15.7,20.1,12.7,13.8,17.6,63,0.0,0.0,0.0,0.0,4.7,9.7
2015-01-11,15.3,17.5,13.5,13.4,15.4,64,0.0,0.0,0.0,0.0,4.39,9.2
2015-01-12,13.3,15.7,12.0,10.5,14.5,80,16.4,16.4,0.0,18.0,6.28,12.0
2015-01-13,12.4,13.9,11.2,10.1,11.4,86,20.6,20.6,0.0,13.0,5.38,10.7
2015-01-14,13.3,17.4,10.2,10.4,15.5,68,0.0,0.0,0.0,0.0,6.32,13.2
2015-01-15,13.3,18.2,9.0,11.2,17.0,66,0.0,0.0,0.0,0.0,4.88,9.7
2015-01-16,16.3,20.5,13.3,14.8,19.0,65,0.0,0.0,0.0,0.0,3.61,8.3
2015-01-17,15.6,19.4,12.6,13.3,17.5,60,0.0,0.0,0.0,0.0,4.75,9.9
2015-01-18,15.8,19.7,12.8,13.7,17.2,64,0.0,0.0,0.0,0.0,4.65,9.0
2015-01-19,15.2,20.0,11.6,12.4,17.4,51,0.0,0.0,0.0,0.0,4.47,9.1
2015-01-20,15.7,19.8,13.4,14.2,18.7,65,0.0,0.0,0.0,0.0,3.31,8.1
2015-01-21,16.4,21.9,12.2,15.7,21.4,72,0.0,0.0,0.0,0.0,2.73,6.2
2015-01-22,16.8,21.9,13.8,14.5,19.9,52,0.0,0.0,0.0,0.0,4.17,8.8
2015-01-23,15.9,20.4,12.4,14.1,18.6,69,0.0,0.0,0.0,0.0,4.92,11.0
2015-01-24,17.2,20.3,15.1,15.7,18.9,78,0.0,0.0,0.0,0.0,6.07,13.2
2015-01-25,18.6,21.6,16.4,19.0,22.8,83,0.8,0.8,0.0,5.0,4.11,8.7
2015-01-26,19.1,22.8,16.5,20.1,25.7,83,0.0,0.0,0.0,0.0,2.91,6.0
2015-01-27,18.9,22.2,16.4,19.2,22.5,82,0.0,0.0,0.0,0.0,4.1,9.0
2015-01-28,17.4,19.8,16.2,15.8,18.3,77,0.0,0.0,0.0,0.0,6.49,13.8
2015-01-29,17.5,21.0,14.8,17.1,21.7,76,0.0,0.0,0.0,0.0,4.87,10.4
2015-01-30,16.3,20.1,13.8,14.7,18.7,67,0.0,0.0,0.0,0.0,4.79,10.0
2015-01-31,14.4,17.2,11.9,11.9,15.3,65,0.0,0.0,0.0,0.0,4.77,9.9
2015-02-01,15.0,17.7,12.9,13.0,16.2,69,0.0,0.0,0.0,0.0,4.64,10.4
2015-02-02,16.3,19.7,13.9,15.3,19.1,74,0.0,0.0,0.0,0.0,3.89,8.8
2015-02-03,18.0,21.7,15.9,18.3,22.5,75,0.0,0.0,0.0,0.0,2.89,6.9
2015-02-04,15.9,17.7,13.1,14.0,17.9,67,0.0,0.0,0.0,0.0,5.32,10.3
2015-02-05,12.3,14.0,11.3,8.2,9.8,58,0.0,0.0,0.0,0.0,5.6,11.3
2015-02-06,13.2,15.2,10.8,10.7,14.0,58,0.0,0.0,0.0,0.0,4.16,8.1
2015-02-07,15.6,17.2,13.9,14.3,16.7,71,0.6,0.6,0.0,3.0,3.73,7.2
2015-02-08,15.6,18.9,13.6,11.9,15.4,43,0.0,0.0,0.0,0.0,6.26,12.2
2015-02-09,15.0,18.3,12.0,13.0,17.0,59,0.0,0.0,0.0,0.0,4.21,9.7
2015-02-10,15.0,18.4,12.3,13.5,18.1,66,0.0,0.0,0.0,0.0,4.04,8.5
2015-02-11,16.0,19.4,12.9,14.8,18.1,65,0.0,0.0,0.0,0.0,3.62,7.7
2015-02-12,16.6,21.8,12.5,15.1,21.2,60,0.0,0.0,0.0,0.0,3.39,7.5
2015-02-13,17.0,21.6,13.0,15.4,19.9,61,0.0,0.0,0.0,0.0,3.81,9.1
2015-02-14,19.0,22.3,16.6,17.5,21.7,65,0.1,0.1,0.0,1.0,6.02,12.9
2015-02-15,18.4,19.6,17.3,19.5,21.9,91,6.8,6.8,0.0,13.0,3.98,8.4
2015-02-16,19.6,22.9,17.4,21.7,24.8,88,0.0,0.0,0.0,0.0,1.8,4.4
2015-02-17,19.2,23.3,16.5,20.7,25.6,87,0.0,0.0,0.0,0.0,3.58,7.4
2015-02-18,19.1,21.4,17.2,18.8,21.4,77,0.0,0.0,0.0,0.0,5.04,11.2
2015-02-19,18.9,20.8,17.8,17.5,19.6,75,1.0,1.0,0.0,4.0,6.23,13.4
2015-02-20,19.5,22.4,17.5,19.0,21.8,82,0.0,0.0,0.0,0.0,6.48,13.2
2015-02-21,20.9,23.7,19.0,22.6,25.5,86,1.2,1.2,0.0,6.0,4.25,7.9
2015-02-22,21.0,24.1,19.0,23.5,26.5,91,10.2,10.2,0.0,13.0,3.5,7.3
2015-02-23,20.5,21.6,19.5,22.1,23.1,93,5.6,5.6,0.0,15.0,4.02,9.0
2015-02-24,21.2,23.4,19.5,22.7,24.8,89,1.0,1.0,0.0,5.0,4.46,9.1
2015-02-25,21.9,23.9,20.5,24.1,25.7,89,2.0,2.0,0.0,9.0,4.97,10.1
2015-02-26,22.6,25.7,20.5,25.0,28.2,87,0.2,0.2,0.0,2.0,4.18,8.4
2015-02-27,21.1,22.1,20.1,21.9,25.0,88,0.0,0.0,0.0,0.0,7.58,14.9
2015-02-28,20.6,22.5,19.6,21.2,23.3,85,0.0,0.0,0.0,0.0,6.58,13.0
2015-03-01,18.3,20.7,15.1,16.6,23.2,66,0.5,0.5,0.0,3.0,6.71,12.9
2015-03-02,17.9,19.5,16.1,16.8,18.4,74,0.0,0.0,0.0,0.0,5.44,11.7
2015-03-03,19.8,22.5,16.7,20.3,24.4,86,4.5,4.5,0.0,13.0,5.52,11.1
2015-03-04,16.8,18.4,15.1,16.0,17.4,85,1.6,1.6,0.0,11.0,5.72,11.8
2015-03-05,18.3,19.7,17.1,17.3,19.4,88,0.0,0.0,0.0,0.0,7.87,14.9
2015-03-06,18.0,19.2,16.8,18.0,19.4,87,0.1,0.1,0.0,1.0,4.39,10.2
2015-03-07,17.9,20.4,15.2,17.5,21.1,82,0.0,0.0,0.0,0.0,4.34,10.4
2015-03-08,19.8,22.9,17.9,20.2,24.1,84,0.0,0.0,0.0,0.0,5.59,11.0
2015-03-09,21.1,25.3,17.8,23.5,28.4,83,0.8,0.8,0.0,4.0,2.14,6.4
2015-03-10,18.4,20.2,16.7,17.1,21.6,74,1.1,1.1,0.0,5.0,5.81,13.1
2015-03-11,16.8,18.7,15.6,15.6,17.6,79,2.4,2.4,0.0,7.0,5.2,12.5
2015-03-12,15.7,16.9,14.3,15.0,16.8,84,3.3,3.3,0.0,16.0,3.94,7.3
2015-03-13,18.4,20.3,16.8,18.0,19.9,80,0.4,0.4,0.0,1.0,5.5,11.1
2015-03-14,20.4,23.0,18.2,21.1,23.8,86,0.2,0.2,0.0,2.0,4.91,10.8
2015-03-15,22.0,24.1,20.3,24.0,26.1,90,1.4,1.4,0.0,6.0,5.17,10.7
2015-03-16,23.0,25.5,21.1,25.6,28.0,89,0.7,0.7,0.0,5.0,4.57,9.0
2015-03-17,23.5,25.6,22.0,25.7,27.6,86,0.0,0.0,0.0,0.0,6.55,13.0
2015-03-18,23.9,25.8,22.5,26.3,27.4,86,0.2,0.2,0.0,2.0,6.04,11.8
2015-03-19,24.3,27.3,22.2,27.6,30.5,86,0.2,0.2,0.0,1.0,4.42,8.8
2015-03-20,24.0,27.5,21.7,27.5,31.2,83,0.0,0.0,0.0,0.0,3.35,7.0
2015-03-21,23.4,26.6,21.0,26.9,31.0,85,0.0,0.0,0.0,0.0,3.22,6.6
2015-03-22,22.4,24.9,20.7,24.1,26.6,82,0.0,0.0,0.0,0.0,4.92,9.9
2015-03-23,20.9,22.9,19.3,21.2,23.6,74,1.0,1.0,0.0,3.0,5.36,11.0
2015-03-24,20.1,22.9,18.7,20.3,23.3,76,1.5,1.5,0.0,5.0,4.65,10.1
2015-03-25,18.9,20.5,18.1,18.3,19.5,72,0.3,0.3,0.0,1.0,4.52,9.5
2015-03-26,19.1,20.9,17.3,19.4,21.6,79,1.1,1.1,0.0,5.0,3.68,8.9
2015-03-27,21.4,25.5,18.7,22.9,27.3,78,0.3,0.3,0.0,2.0,2.94,6.3
2015-03-28,22.2,25.8,19.7,23.6,28.5,74,0.0,0.0,0.0,0.0,3.19,7.7
2015-03-29,22.4,26.3,19.6,24.6,29.2,80,0.0,0.0,0.0,0.0,3.71,8.1
2015-03-30,23.8,27.1,21.4,26.5,30.0,82,0.5,0.5,0.0,3.0,4.33,9.1
2015-03-31,24.3,27.6,22.2,27.4,30.5,84,0.1,0.1,0.0,1.0,4.51,10.0
2015-04-01,24.9,27.6,22.7,27.8,30.3,83,0.0,0.0,0.0,0.0,5.6,12.0
