time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2005-01-01,-5.4,0.8,-10.4,-10.7,-4.7,42,0.0,0.0,0.0,0.0,3.6,7.9
2005-01-02,-4.4,0.5,-9.6,-9.3,-4.6,55,0.0,0.0,0.0,0.0,3.61,7.7
2005-01-03,-0.9,2.8,-5.3,-7.0,-4.7,31,0.0,0.0,0.0,0.0,7.56,14.0
2005-01-04,-4.9,0.3,-8.3,-9.6,-4.2,33,0.0,0.0,0.0,0.0,3.71,6.1
2005-01-05,-6.0,-2.3,-8.8,-10.6,-7.5,61,1.5,0.0,1.12,5.0,3.22,7.1
2005-01-06,-4.2,0.8,-9.1,-9.2,-5.0,66,0.0,0.0,0.0,0.0,5.42,10.5
2005-01-07,-3.1,1.8,-6.4,-8.6,-4.6,39,0.0,0.0,0.0,0.0,5.19,10.7
2005-01-08,-3.7,0.8,-7.9,-9.1,-5.6,38,0.0,0.0,0.0,0.0,4.85,10.9
2005-01-09,-6.6,-1.6,-10.9,-11.6,-5.8,36,0.0,0.0,0.0,0.0,3.11,5.5
2005-01-10,-4.9,1.9,-10.7,-9.8,-3.3,44,0.0,0.0,0.0,0.0,3.45,7.9
2005-01-11,-3.2,1.3,-6.8,-8.8,-5.1,29,0.0,0.0,0.0,0.0,5.45,10.6
2005-01-12,-2.3,3.3,-6.0,-7.4,-2.4,35,0.0,0.0,0.0,0.0,3.83,8.2
2005-01-13,-2.3,3.6,-6.9,-6.7,-0.6,48,0.0,0.0,0.0,0.0,2.56,4.6
2005-01-14,-2.5,1.3,-6.2,-7.7,-4.4,37,0.0,0.0,0.0,0.0,3.96,8.9
2005-01-15,-2.2,2.3,-5.3,-7.1,-3.1,40,0.0,0.0,0.0,0.0,3.58,8.1
2005-01-16,-1.9,4.2,-6.3,-6.3,-0.1,47,0.0,0.0,0.0,0.0,2.73,5.4
2005-01-17,-1.4,3.8,-5.4,-6.7,-2.7,41,0.0,0.0,0.0,0.0,5.87,11.2
2005-01-18,-1.4,3.4,-5.2,-6.7,-2.2,37,0.0,0.0,0.0,0.0,5.38,10.7
2005-01-19,-1.8,3.9,-5.4,-6.7,-1.6,40,0.0,0.0,0.0,0.0,5.46,10.7
2005-01-20,-2.2,1.6,-6.5,-7.2,-3.7,34,0.0,0.0,0.0,0.0,4.2,9.2
2005-01-21,-3.4,2.3,-7.8,-8.1,-2.7,47,0.0,0.0,0.0,0.0,3.0,7.9
2005-01-22,-1.9,3.4,-5.8,-6.2,-1.0,62,0.0,0.0,0.0,0.0,2.86,6.9
2005-01-23,-1.5,3.4,-5.2,-5.6,-0.4,68,0.0,0.0,0.0,0.0,2.83,6.6
2005-01-24,-1.5,2.6,-4.0,-6.4,-2.3,55,0.0,0.0,0.0,0.0,4.71,9.3
2005-01-25,-2.8,0.6,-5.6,-6.9,-3.0,61,0.0,0.0,0.0,0.0,2.52,5.4
2005-01-26,-3.0,1.2,-6.4,-7.5,-3.7,62,0.0,0.0,0.0,0.0,3.47,7.9
2005-01-27,-1.6,3.0,-5.1,-5.9,-1.6,63,0.0,0.0,0.0,0.0,3.35,7.0
2005-01-28,-1.0,1.9,-3.4,-5.8,-2.7,63,0.0,0.0,0.0,0.0,8.23,14.1
2005-01-29,-4.1,-1.1,-7.1,-10.4,-7.0,23,0.0,0.0,0.0,0.0,6.58,12.1
2005-01-30,-2.8,1.1,-4.9,-8.2,-5.1,26,0.0,0.0,0.0,0.0,5.0,10.0
2005-01-31,-4.2,-2.1,-7.1,-11.1,-9.0,18,0.0,0.0,0.0,0.0,8.75,16.9
2005-02-01,-5.0,-1.0,-8.5,-11.4,-7.3,17,0.0,0.0,0.0,0.0,6.58,12.7
2005-02-02,-4.3,-0.2,-7.7,-10.0,-5.9,23,0.0,0.0,0.0,0.0,5.41,11.4
2005-02-03,-2.2,2.3,-6.9,-7.5,-3.9,40,0.0,0.0,0.0,0.0,5.01,10.3
2005-02-04,-2.5,0.6,-5.2,-7.8,-5.0,43,0.0,0.0,0.0,0.0,5.06,11.0
2005-02-05,-4.5,-2.1,-6.9,-9.3,-6.7,50,0.0,0.0,0.0,0.0,4.62,8.8
2005-02-06,-3.6,-0.4,-6.5,-7.9,-4.9,58,0.3,0.0,0.28,2.0,2.6,5.8
2005-02-07,-3.8,-1.6,-6.8,-7.6,-5.2,77,0.0,0.0,0.0,0.0,2.48,5.7
2005-02-08,-4.6,-1.0,-8.3,-8.6,-5.6,75,0.0,0.0,0.0,0.0,2.78,6.5
