time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2005-01-01,3.4,7.9,-0.8,-1.3,2.6,65,0.0,0.0,0.0,0.0,6.53,11.1
2005-01-02,2.9,8.4,-2.9,-0.9,4.6,60,0.0,0.0,0.0,0.0,3.26,6.4
2005-01-03,5.9,12.4,-0.3,1.7,6.9,66,0.0,0.0,0.0,0.0,6.84,11.2
2005-01-04,9.9,15.7,5.7,5.5,13.3,64,1.1,1.1,0.0,4.0,9.44,12.5
2005-01-05,4.0,7.1,1.0,-2.1,1.0,50,0.0,0.0,0.0,0.0,9.23,14.6
2005-01-06,2.2,5.3,-0.9,-1.3,2.3,75,1.2,1.2,0.0,4.0,2.81,4.5
2005-01-07,5.8,12.6,-0.3,2.8,10.1,74,0.1,0.1,0.0,1.0,6.13,10.2
2005-01-08,4.8,8.0,2.8,-0.9,1.2,46,0.0,0.0,0.0,0.0,8.0,12.4
2005-01-09,3.0,8.1,-0.9,-1.4,4.6,57,0.0,0.0,0.0,0.0,7.47,12.2
2005-01-10,3.1,8.0,-1.1,-0.9,3.5,56,0.0,0.0,0.0,0.0,4.3,7.3
2005-01-11,4.1,8.7,-0.8,-0.0,5.0,57,0.1,0.1,0.0,1.0,4.25,8.0
2005-01-12,2.5,7.7,-1.7,-3.0,1.7,58,0.4,0.4,0.0,1.0,9.3,14.7
2005-01-13,4.4,10.7,-1.6,-0.0,6.1,47,0.0,0.0,0.0,0.0,4.13,7.8
2005-01-14,5.1,9.6,0.4,1.6,5.9,62,0.0,0.0,0.0,0.0,3.58,5.5
2005-01-15,4.2,5.2,2.5,-0.8,1.3,86,26.8,26.2,0.42,20.0,8.86,17.1
2005-01-16,5.0,6.5,3.0,-0.4,2.2,86,67.5,67.5,0.0,20.0,10.47,17.8
2005-01-17,5.6,10.0,0.5,1.3,4.6,65,0.0,0.0,0.0,0.0,7.21,13.6
2005-01-18,6.8,10.6,3.2,2.6,6.8,52,0.0,0.0,0.0,0.0,5.29,9.6
2005-01-19,5.9,8.9,3.4,2.5,6.5,74,0.0,0.0,0.0,0.0,4.13,6.4
2005-01-20,4.9,10.0,0.8,1.6,7.0,72,0.4,0.4,0.0,1.0,4.03,6.9
2005-01-21,4.5,8.6,1.1,-1.6,1.3,50,0.0,0.0,0.0,0.0,8.82,16.4
2005-01-22,3.7,8.8,-0.8,-1.7,2.7,51,0.0,0.0,0.0,0.0,7.1,13.0
2005-01-23,2.1,4.2,-0.3,-1.8,0.5,69,1.7,1.7,0.0,8.0,3.37,5.2
2005-01-24,4.4,9.1,-0.3,0.9,5.6,77,0.0,0.0,0.0,0.0,4.94,8.4
2005-01-25,6.0,10.5,1.4,1.6,5.2,62,0.0,0.0,0.0,0.0,6.26,10.3
2005-01-26,3.4,6.7,1.7,-0.1,3.3,77,4.1,2.0,1.47,11.0,3.71,7.1
2005-01-27,4.1,7.9,0.6,0.2,4.3,60,0.0,0.0,0.0,0.0,5.41,8.7
2005-01-28,4.8,9.5,0.3,1.4,6.0,73,0.0,0.0,0.0,0.0,4.36,6.9
2005-01-29,6.0,10.1,1.3,3.2,7.3,80,0.8,0.8,0.0,3.0,3.54,7.9
2005-01-30,5.6,7.6,2.6,-0.3,4.8,52,0.0,0.0,0.0,0.0,9.4,15.5
2005-01-31,4.4,9.1,1.6,0.2,4.3,51,0.4,0.4,0.0,2.0,4.23,9.1
2005-02-01,3.1,6.8,-1.0,-2.7,0.7,44,0.1,0.1,0.0,1.0,7.03,10.8
2005-02-02,2.5,7.0,-1.5,-2.9,2.1,45,0.0,0.0,0.0,0.0,6.86,12.0
2005-02-03,3.2,8.7,-2.0,-2.2,1.5,51,0.0,0.0,0.0,0.0,8.6,13.1
2005-02-04,4.7,10.1,-0.2,0.6,6.9,50,0.0,0.0,0.0,0.0,4.55,6.7
2005-02-05,4.7,9.8,0.7,-0.4,4.9,51,0.0,0.0,0.0,0.0,8.67,14.1
2005-02-06,4.9,9.3,1.3,-1.0,3.1,43,0.0,0.0,0.0,0.0,8.55,14.0
2005-02-07,4.6,7.6,1.2,0.8,3.5,58,0.1,0.1,0.0,1.0,4.05,6.5
2005-02-08,4.4,5.4,3.7,0.9,2.1,85,2.9,2.9,0.0,15.0,5.15,7.2
