time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2010-01-01,5.9,8.1,3.1,2.9,5.3,72,0.0,0.0,0.0,0.0,2.77,7.0
2010-01-02,6.6,12.2,2.4,4.0,10.0,80,0.0,0.0,0.0,0.0,2.91,4.7
2010-01-03,6.3,12.5,2.0,3.5,10.2,84,0.0,0.0,0.0,0.0,3.6,7.5
2010-01-04,4.7,7.6,2.5,-0.3,1.3,70,0.0,0.0,0.0,0.0,7.43,13.7
2010-01-05,0.0,2.3,-1.7,-5.4,-4.0,56,5.5,0.0,4.06,10.0,6.36,10.7
2010-01-06,0.7,2.9,-1.5,-2.9,-0.2,70,0.1,0.0,0.21,1.0,3.5,6.4
2010-01-07,2.5,4.1,0.3,-0.8,0.7,70,0.0,0.0,0.0,0.0,3.1,6.3
2010-01-08,3.2,4.9,1.3,-0.0,2.0,73,0.0,0.0,0.0,0.0,2.89,5.9
2010-01-09,3.6,5.4,1.7,0.5,2.7,83,0.0,0.0,0.0,0.0,4.23,6.3
2010-01-10,2.1,4.1,0.8,-2.6,-0.4,86,0.5,0.5,0.0,3.0,5.8,9.3
2010-01-11,2.3,4.9,0.4,-2.9,-0.8,68,0.0,0.0,0.0,0.0,6.13,11.3
2010-01-12,2.2,8.2,-2.2,-1.6,4.6,72,0.0,0.0,0.0,0.0,4.25,8.1
2010-01-13,2.7,6.4,-0.8,-1.9,2.3,47,0.0,0.0,0.0,0.0,5.97,11.0
2010-01-14,5.0,12.3,-0.3,1.5,8.8,69,0.0,0.0,0.0,0.0,3.64,7.1
2010-01-15,5.5,7.2,3.6,2.0,3.6,73,1.0,1.0,0.0,6.0,3.81,6.1
2010-01-16,5.1,8.1,1.7,2.6,5.9,79,0.0,0.0,0.0,0.0,2.22,4.1
2010-01-17,5.5,10.3,1.8,2.8,8.0,84,0.0,0.0,0.0,0.0,2.56,5.1
2010-01-18,8.0,14.1,3.0,5.5,12.4,82,0.0,0.0,0.0,0.0,3.62,6.1
2010-01-19,10.9,14.8,7.9,8.7,13.6,80,0.0,0.0,0.0,0.0,3.76,7.1
2010-01-20,10.3,11.9,6.5,7.2,10.9,77,0.6,0.6,0.0,3.0,8.45,13.7
2010-01-21,4.1,6.1,2.5,-1.2,1.2,73,2.4,2.4,0.0,9.0,8.18,13.6
2010-01-22,3.8,5.7,2.3,-0.9,1.6,54,0.0,0.0,0.0,0.0,5.1,8.7
2010-01-23,4.8,7.2,2.2,1.4,4.1,62,0.0,0.0,0.0,0.0,2.69,4.7
