time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2010-01-01,13.2,16.2,10.5,10.7,14.1,61,0.0,0.0,0.0,0.0,4.9,9.9
2010-01-02,14.1,15.2,12.8,13.9,16.0,86,22.4,22.4,0.0,16.0,2.64,5.9
2010-01-03,15.0,18.8,12.5,13.7,17.1,82,2.3,2.3,0.0,4.0,5.02,9.4
2010-01-04,14.3,20.5,10.1,13.7,20.9,80,0.0,0.0,0.0,0.0,2.92,4.4
2010-01-05,13.3,15.2,11.2,10.5,12.3,79,0.0,0.0,0.0,0.0,6.22,12.6
2010-01-06,11.6,12.8,10.8,9.0,10.4,83,9.7,9.7,0.0,17.0,5.02,10.0
2010-01-07,11.9,13.8,11.0,9.1,10.7,77,1.6,1.6,0.0,10.0,5.59,10.2
2010-01-08,11.7,13.6,10.5,9.3,10.7,79,1.8,1.8,0.0,6.0,4.9,9.0
2010-01-09,13.1,17.6,9.3,11.5,16.6,79,0.0,0.0,0.0,0.0,4.05,6.9
2010-01-10,14.4,19.2,10.4,13.6,18.9,81,0.0,0.0,0.0,0.0,3.23,5.5
2010-01-11,14.9,17.2,13.6,14.2,16.9,87,7.1,7.1,0.0,14.0,4.24,7.5
2010-01-12,12.2,14.9,9.6,9.6,12.0,71,0.6,0.6,0.0,4.0,4.3,8.7
2010-01-13,9.8,15.8,5.3,6.1,11.7,64,0.0,0.0,0.0,0.0,4.61,9.3
2010-01-14,10.6,16.3,6.4,7.4,13.8,68,0.0,0.0,0.0,0.0,4.6,8.5
2010-01-15,12.6,20.1,6.0,10.6,18.4,71,0.0,0.0,0.0,0.0,3.1,5.4
2010-01-16,14.3,19.2,10.9,12.0,16.4,74,0.0,0.0,0.0,0.0,5.74,12.5
2010-01-17,14.1,19.9,10.2,11.7,17.9,73,0.0,0.0,0.0,0.0,5.02,10.5
2010-01-18,14.6,21.0,9.7,12.9,20.1,75,0.0,0.0,0.0,0.0,4.39,8.0
2010-01-19,16.7,22.0,11.9,16.8,22.3,78,0.0,0.0,0.0,0.0,2.45,4.2
2010-01-20,20.3,23.1,17.4,22.0,24.8,79,0.0,0.0,0.0,0.0,2.1,4.7
2010-01-21,19.8,25.8,14.1,20.5,26.9,81,2.4,2.4,0.0,5.0,6.83,13.6
2010-01-22,13.1,14.2,12.1,10.7,12.1,81,7.8,7.8,0.0,20.0,5.38,10.3
2010-01-23,12.3,13.2,11.4,9.4,10.2,75,0.4,0.4,0.0,3.0,5.12,10.5
2010-01-24,13.8,16.4,11.8,12.7,15.8,79,0.8,0.8,0.0,5.0,3.42,5.9
2010-01-25,15.7,18.7,12.9,14.9,19.4,84,1.8,1.8,0.0,10.0,7.0,13.4
2010-01-26,12.8,14.7,11.3,9.3,11.4,66,0.0,0.0,0.0,0.0,7.17,13.6
2010-01-27,15.7,19.7,11.8,15.5,19.8,78,0.3,0.3,0.0,1.0,3.18,5.8
2010-01-28,19.0,25.0,16.3,19.7,26.7,80,0.7,0.7,0.0,3.0,4.77,9.5
2010-01-29,17.1,20.8,14.9,16.0,19.8,75,0.0,0.0,0.0,0.0,4.13,8.6
2010-01-30,17.5,22.6,14.4,17.8,24.0,77,0.0,0.0,0.0,0.0,2.8,4.8
2010-01-31,18.9,25.6,14.3,19.6,25.9,80,0.0,0.0,0.0,0.0,3.96,7.8
2010-02-01,19.5,25.9,16.5,20.3,27.9,80,0.3,0.3,0.0,2.0,5.37,10.8
2010-02-02,15.6,18.0,14.0,13.9,17.1,75,0.0,0.0,0.0,0.0,5.52,11.2
2010-02-03,14.7,17.3,13.4,12.9,15.2,76,0.1,0.1,0.0,1.0,4.72,9.6
2010-02-04,14.6,17.2,13.0,12.9,15.7,77,0.0,0.0,0.0,0.0,4.21,8.6
2010-02-05,15.1,18.9,13.0,13.8,18.2,76,0.0,0.0,0.0,0.0,3.7,7.6
2010-02-06,15.4,17.5,13.9,14.8,17.0,84,8.4,8.4,0.0,14.0,3.64,7.5
2010-02-07,16.4,19.9,14.4,17.1,20.9,88,4.6,4.6,0.0,17.0,2.69,5.6
2010-02-08,17.1,21.1,15.0,17.7,21.6,88,0.5,0.5,0.0,3.0,3.0,5.9
2010-02-09,19.1,23.1,15.8,20.7,24.9,85,0.0,0.0,0.0,0.0,3.21,7.3
2010-02-10,21.3,24.9,18.4,23.3,25.5,87,0.0,0.0,0.0,0.0,4.93,10.2
2010-02-11,23.1,26.7,21.0,25.5,28.0,86,8.3,8.3,0.0,10.0,5.3,12.1
2010-02-12,13.9,21.1,11.4,11.5,23.7,83,12.1,12.1,0.0,15.0,7.84,14.9
2010-02-13,9.8,11.3,8.5,6.6,8.0,83,5.7,5.7,0.0,10.0,5.53,10.4
2010-02-14,12.7,15.0,10.1,11.5,14.3,87,6.3,6.3,0.0,15.0,3.91,10.3
2010-02-15,12.9,14.1,11.2,11.1,13.1,88,10.1,10.1,0.0,18.0,5.16,9.2
2010-02-16,9.9,11.1,8.5,6.6,8.3,83,12.1,12.1,0.0,18.0,6.16,12.7
2010-02-17,9.6,10.5,8.7,7.1,8.8,86,10.8,10.8,0.0,23.0,4.48,8.8
2010-02-18,10.0,11.9,8.2,6.9,8.7,76,3.2,3.2,0.0,5.0,4.66,9.8
2010-02-19,9.9,12.5,8.2,7.3,9.7,79,6.8,6.8,0.0,9.0,4.38,8.2
2010-02-20,11.2,16.4,6.5,9.1,15.4,74,0.0,0.0,0.0,0.0,3.36,7.2
2010-02-21,13.7,19.4,8.8,12.8,19.6,76,0.1,0.1,0.0,1.0,2.6,5.2
2010-02-22,15.1,19.4,12.0,15.4,20.4,86,5.9,5.9,0.0,9.0,2.26,7.2
2010-02-23,15.8,21.9,12.4,16.4,23.8,88,0.0,0.0,0.0,0.0,3.08,6.5
2010-02-24,17.4,21.0,13.4,18.6,23.0,88,2.6,2.6,0.0,8.0,2.6,6.8
2010-02-25,21.4,23.6,19.0,23.8,25.8,91,3.9,3.9,0.0,16.0,5.17,10.6
2010-02-26,23.1,27.0,20.6,26.0,30.5,88,0.6,0.6,0.0,3.0,4.02,9.2
2010-02-27,22.1,24.9,20.2,25.3,28.6,89,0.6,0.6,0.0,3.0,2.62,8.4
2010-02-28,20.1,21.8,18.0,21.5,22.9,84,0.1,0.1,0.0,1.0,3.86,7.0
2010-03-01,22.0,25.9,19.6,24.1,27.5,83,0.5,0.5,0.0,4.0,4.67,8.8
2010-03-02,21.4,25.0,19.2,23.6,27.4,86,0.9,0.9,0.0,6.0,3.61,7.9
2010-03-03,18.2,20.4,16.8,18.8,21.6,84,0.3,0.3,0.0,1.0,3.53,6.4
2010-03-04,21.0,25.0,18.3,23.1,26.4,84,0.0,0.0,0.0,0.0,3.42,7.4
2010-03-05,20.7,23.8,17.8,22.8,25.9,90,0.7,0.7,0.0,4.0,3.54,7.4
2010-03-06,21.5,24.4,17.8,23.5,26.2,88,3.8,3.8,0.0,19.0,4.3,10.1
2010-03-07,14.4,17.2,11.5,12.6,16.4,87,8.4,8.4,0.0,18.0,5.41,10.8
2010-03-08,13.0,14.8,11.2,11.1,13.7,84,5.7,5.7,0.0,13.0,5.2,8.7
2010-03-09,12.5,15.0,8.9,9.6,13.7,71,14.1,14.1,0.0,12.0,5.72,11.1
2010-03-10,9.4,14.1,5.4,5.7,12.0,55,0.0,0.0,0.0,0.0,4.71,9.8
2010-03-11,11.3,17.4,6.4,9.0,16.4,65,0.0,0.0,0.0,0.0,3.23,7.0
2010-03-12,14.3,18.9,9.0,13.7,18.7,78,1.5,1.5,0.0,5.0,2.24,6.4
2010-03-13,17.1,18.7,15.7,18.4,20.7,92,22.5,22.5,0.0,24.0,1.94,7.5
2010-03-14,20.1,24.5,17.4,22.4,27.1,89,0.0,0.0,0.0,0.0,2.45,5.8
2010-03-15,22.0,26.4,19.2,24.8,28.8,86,0.6,0.6,0.0,1.0,3.44,7.7
2010-03-16,15.0,18.7,13.5,12.4,18.6,77,4.0,4.0,0.0,8.0,6.32,12.9
2010-03-17,15.6,18.5,12.7,14.3,18.2,67,0.0,0.0,0.0,0.0,4.19,8.3
2010-03-18,17.7,23.6,13.9,18.6,26.2,80,0.0,0.0,0.0,0.0,2.16,4.4
2010-03-19,18.9,25.1,13.0,19.8,27.0,76,0.0,0.0,0.0,0.0,2.63,5.7
2010-03-20,22.6,26.2,20.5,24.8,27.8,80,0.6,0.6,0.0,4.0,4.46,8.1
2010-03-21,20.3,22.7,17.0,19.3,24.7,64,0.0,0.0,0.0,0.0,7.08,14.2
2010-03-22,20.7,25.1,17.4,21.0,26.1,64,0.0,0.0,0.0,0.0,3.61,7.2
2010-03-23,22.9,28.4,19.9,25.7,30.9,81,0.0,0.0,0.0,0.0,3.85,7.5
2010-03-24,20.5,22.4,19.2,22.7,24.5,90,0.5,0.5,0.0,3.0,2.96,6.4
2010-03-25,16.4,19.1,14.1,14.6,19.9,75,6.7,6.7,0.0,10.0,5.78,10.5
2010-03-26,15.1,19.0,11.1,11.8,16.9,61,0.0,0.0,0.0,0.0,6.86,13.7
2010-03-27,14.7,19.6,10.0,12.8,19.4,66,0.0,0.0,0.0,0.0,4.83,9.5
2010-03-28,17.0,23.2,12.0,14.9,21.7,61,0.0,0.0,0.0,0.0,6.65,12.9
2010-03-29,17.1,21.9,12.3,14.0,20.1,54,0.0,0.0,0.0,0.0,6.52,13.5
2010-03-30,18.5,23.3,14.7,18.1,24.1,70,0.0,0.0,0.0,0.0,4.03,8.0
2010-03-31,20.7,25.0,16.6,21.8,26.1,76,0.0,0.0,0.0,0.0,4.31,8.7
2010-04-01,22.3,26.2,18.1,24.0,27.1,79,0.0,0.0,0.0,0.0,5.04,9.8
2010-04-02,17.1,21.3,13.6,16.2,24.5,84,12.9,12.9,0.0,12.0,7.03,13.8
2010-04-03,15.4,18.2,13.6,13.4,16.0,75,0.5,0.5,0.0,1.0,5.36,9.9
2010-04-04,17.4,20.8,15.1,17.7,22.3,79,2.9,2.9,0.0,4.0,2.97,7.3
2010-04-05,19.2,22.0,16.7,20.7,24.1,86,0.7,0.7,0.0,5.0,3.32,7.8
2010-04-06,20.3,23.5,18.2,22.6,26.4,88,8.5,8.5,0.0,9.0,4.12,9.6
2010-04-07,17.4,19.7,15.0,15.2,19.4,73,15.1,15.1,0.0,6.0,6.8,12.7
2010-04-08,14.2,15.0,12.9,13.0,15.2,82,25.5,25.5,0.0,19.0,4.9,9.7
2010-04-09,16.7,21.3,13.2,17.5,24.3,84,0.4,0.4,0.0,1.0,2.97,5.8
2010-04-10,18.3,22.4,14.9,19.7,25.1,84,2.5,2.5,0.0,4.0,2.37,6.1
2010-04-11,20.5,23.0,19.0,23.2,26.5,92,6.0,6.0,0.0,13.0,2.73,5.4
2010-04-12,23.0,25.9,20.7,26.5,29.9,91,1.4,1.4,0.0,6.0,4.04,8.5
2010-04-13,19.5,22.8,15.5,19.5,27.3,85,3.6,3.6,0.0,9.0,7.21,14.0
2010-04-14,16.6,19.1,14.5,14.9,18.5,74,0.9,0.9,0.0,3.0,6.29,12.0
2010-04-15,15.3,17.2,13.4,14.2,16.7,87,13.9,13.9,0.0,18.0,5.1,9.5
2010-04-16,14.8,18.2,12.8,13.4,18.3,79,1.1,1.1,0.0,2.0,4.56,10.0
2010-04-17,17.3,21.2,13.8,16.4,20.8,73,0.0,0.0,0.0,0.0,4.02,9.0
2010-04-18,18.4,19.8,17.0,20.0,22.0,92,28.6,28.6,0.0,21.0,2.85,10.8
2010-04-19,21.8,24.9,19.4,25.2,29.0,89,0.2,0.2,0.0,1.0,1.64,3.2
2010-04-20,23.5,27.5,21.6,27.2,31.6,87,0.3,0.3,0.0,2.0,4.0,8.8
2010-04-21,24.7,28.2,21.3,28.1,31.2,82,0.0,0.0,0.0,0.0,4.56,9.1
2010-04-22,24.9,28.1,20.2,28.3,31.7,84,14.2,14.2,0.0,14.0,6.96,11.9
2010-04-23,18.2,19.8,17.1,17.2,19.7,79,8.3,8.3,0.0,7.0,5.75,11.2
2010-04-24,18.7,22.6,15.6,16.2,21.3,58,0.0,0.0,0.0,0.0,6.72,13.2
2010-04-25,19.0,23.4,14.9,18.3,24.7,65,0.0,0.0,0.0,0.0,4.75,8.4
2010-04-26,21.0,24.5,17.0,23.0,26.6,78,0.5,0.5,0.0,3.0,1.68,5.5
2010-04-27,21.5,24.8,19.4,23.1,26.9,77,1.2,1.2,0.0,3.0,3.81,7.9
2010-04-28,21.7,26.5,17.8,23.1,28.2,70,0.0,0.0,0.0,0.0,3.23,6.4
2010-04-29,20.5,23.8,17.9,20.9,24.1,74,1.8,1.8,0.0,5.0,5.99,12.0
2010-04-30,21.7,27.1,17.3,23.5,29.7,72,1.0,1.0,0.0,3.0,2.66,5.6
2010-05-01,22.4,28.2,16.9,24.8,31.2,75,0.0,0.0,0.0,0.0,2.78,5.6
2010-05-02,22.9,28.0,18.3,25.6,31.6,77,0.0,0.0,0.0,0.0,3.0,6.2
2010-05-03,23.8,28.7,19.8,26.2,32.2,76,0.0,0.0,0.0,0.0,4.49,9.2
2010-05-04,24.5,28.7,21.2,27.3,32.1,74,0.0,0.0,0.0,0.0,3.26,7.4
2010-05-05,24.9,27.0,23.2,28.4,30.1,82,1.7,1.7,0.0,6.0,4.52,9.0
2010-05-06,24.4,24.9,23.9,28.8,29.8,92,28.6,28.6,0.0,17.0,3.49,9.2
2010-05-07,24.2,26.2,21.2,28.3,31.4,92,46.7,46.7,0.0,19.0,5.72,11.8
2010-05-08,22.7,24.5,21.6,25.5,27.3,84,1.4,1.4,0.0,5.0,2.55,5.0
2010-05-09,24.6,27.4,22.1,28.6,31.6,87,0.0,0.0,0.0,0.0,3.58,7.4
2010-05-10,22.8,25.6,20.1,25.6,29.7,89,5.1,5.1,0.0,15.0,5.01,10.1
2010-05-11,21.7,24.5,19.8,23.3,26.2,80,0.1,0.1,0.0,1.0,4.18,8.2
2010-05-12,22.2,24.8,20.1,23.6,26.2,78,0.0,0.0,0.0,0.0,4.2,8.4
2010-05-13,22.7,25.3,20.8,24.6,28.2,77,0.0,0.0,0.0,0.0,3.26,6.7
2010-05-14,21.9,23.8,20.6,23.6,25.6,83,0.0,0.0,0.0,0.0,4.65,9.0
2010-05-15,22.0,23.9,20.4,24.7,27.9,85,3.2,3.2,0.0,7.0,3.14,5.9
2010-05-16,23.7,26.7,21.4,27.1,29.8,85,0.0,0.0,0.0,0.0,3.36,7.4
2010-05-17,24.8,27.7,22.6,29.0,31.9,84,0.0,0.0,0.0,0.0,3.0,6.2
