time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,3.2,9.8,-2.9,-0.2,5.8,66,0.0,0.0,0.0,0.0,4.49,10.9
2000-01-02,3.5,9.9,-2.2,0.4,6.6,66,0.0,0.0,0.0,0.0,2.73,6.7
2000-01-03,4.4,11.5,-1.9,1.6,8.6,72,0.0,0.0,0.0,0.0,2.66,6.1
2000-01-04,4.4,8.7,0.5,1.7,6.4,77,0.0,0.0,0.0,0.0,2.28,6.0
2000-01-05,4.0,4.9,2.8,1.5,2.8,85,3.2,3.2,0.0,12.0,1.75,4.4
2000-01-06,4.3,7.8,-0.1,1.1,4.9,65,0.0,0.0,0.0,0.0,2.34,5.9
2000-01-07,0.2,3.1,-2.1,-3.9,-0.5,45,0.0,0.0,0.0,0.0,2.52,5.9
2000-01-08,0.9,4.8,-2.6,-2.3,1.8,64,0.0,0.0,0.0,0.0,1.72,4.8
2000-01-09,2.0,9.1,-4.1,-0.9,6.4,72,0.0,0.0,0.0,0.0,1.98,4.3
2000-01-10,2.1,4.8,-1.0,-1.3,0.8,79,0.4,0.4,0.28,4.0,3.74,8.7
2000-01-11,1.4,2.1,-0.3,-1.3,-0.5,87,3.1,0.0,2.31,16.0,1.8,3.9
2000-01-12,1.7,5.6,-1.9,-1.0,2.8,79,0.0,0.0,0.0,0.0,1.53,5.2
2000-01-13,0.4,2.4,-1.9,-2.8,-0.8,80,0.0,0.0,0.21,0.0,2.5,5.9
2000-01-14,0.6,3.0,-0.9,-2.9,-0.5,83,1.1,0.0,1.33,8.0,2.9,6.5
2000-01-15,0.9,2.5,-0.5,-2.0,-0.4,83,2.3,0.0,1.75,10.0,1.6,4.7
2000-01-16,1.1,2.6,-0.6,-1.6,0.1,83,0.7,0.0,0.63,5.0,1.71,3.9
2000-01-17,2.6,6.0,0.3,-0.4,3.1,74,0.0,0.0,0.0,0.0,1.8,5.8
2000-01-18,1.9,7.1,-1.8,-1.9,2.5,56,0.0,0.0,0.0,0.0,3.51,8.6
2000-01-19,0.5,4.7,-3.3,-3.7,0.1,48,0.0,0.0,0.0,0.0,3.14,7.6
2000-01-20,1.6,6.4,-2.4,-2.4,2.3,53,0.0,0.0,0.0,0.0,3.41,8.3
2000-01-21,0.7,2.2,-0.6,-3.5,-1.9,70,1.5,0.0,1.4,7.0,3.41,8.7
2000-01-22,0.5,4.4,-2.6,-2.7,1.0,72,0.0,0.0,0.0,0.0,1.84,6.1
2000-01-23,1.0,2.7,-2.2,-1.9,0.1,78,0.1,0.0,0.42,1.0,1.53,4.9
2000-01-24,1.7,3.3,-0.7,-1.6,-0.3,76,3.1,0.0,2.31,11.0,2.2,6.1
2000-01-25,0.9,2.3,-1.6,-2.4,-1.2,72,0.0,0.0,0.0,0.0,2.25,6.0
2000-01-26,-0.8,1.3,-3.4,-5.0,-2.9,44,0.0,0.0,0.0,0.0,2.15,6.1
