time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,-2.0,6.8,-9.7,-7.2,1.0,33,0.0,0.0,0.0,0.0,4.9,12.7
2000-01-02,-3.1,6.8,-11.5,-7.7,2.8,33,0.0,0.0,0.0,0.0,2.38,9.1
2000-01-03,-1.3,8.8,-10.3,-5.9,4.4,32,0.0,0.0,0.0,0.0,2.33,9.2
2000-01-04,-0.0,9.6,-8.0,-5.1,3.8,30,0.0,0.0,0.0,0.0,4.73,13.5
2000-01-05,2.4,7.1,-3.9,-2.9,2.5,32,0.0,0.0,0.0,0.0,6.7,18.0
2000-01-06,-1.5,5.9,-9.5,-6.0,1.3,38,0.0,0.0,0.0,0.0,3.1,9.5
2000-01-07,-1.6,6.4,-8.6,-5.8,2.4,34,0.0,0.0,0.0,0.0,1.8,5.8
2000-01-08,-1.3,6.3,-9.4,-5.8,1.5,30,0.0,0.0,0.0,0.0,3.72,10.5
2000-01-09,-1.8,3.6,-10.6,-5.8,-0.2,38,0.0,0.0,0.0,0.0,1.7,5.8
2000-01-10,-1.9,5.3,-8.2,-6.1,1.5,46,0.2,0.0,0.28,2.0,3.1,6.6
2000-01-11,-2.9,2.7,-7.9,-6.7,-0.8,69,0.3,0.0,0.35,3.0,2.97,5.9
2000-01-12,-3.4,3.9,-10.2,-7.2,0.0,54,0.0,0.0,0.0,0.0,1.98,5.5
2000-01-13,-2.1,3.6,-7.4,-6.4,-1.0,48,0.0,0.0,0.0,0.0,3.53,9.3
2000-01-14,-4.4,1.6,-9.3,-8.4,-3.1,62,0.0,0.0,0.28,0.0,2.97,7.8
2000-01-15,-5.2,-0.9,-9.4,-9.5,-5.6,67,0.2,0.0,0.91,1.0,3.2,8.1
2000-01-16,-6.2,-2.7,-9.2,-10.4,-7.3,71,0.7,0.0,1.05,5.0,2.64,6.5
2000-01-17,-5.7,-0.3,-11.7,-9.7,-3.8,65,0.0,0.0,0.07,0.0,2.56,6.3
2000-01-18,-5.5,1.2,-14.6,-9.8,-4.1,51,0.0,0.0,0.0,0.0,3.77,9.4
2000-01-19,-5.6,1.1,-15.6,-9.9,-2.6,39,0.0,0.0,0.0,0.0,2.1,6.1
2000-01-20,-4.9,-1.5,-9.5,-9.0,-6.0,45,0.1,0.0,0.21,1.0,2.79,7.7
2000-01-21,-4.0,2.3,-10.5,-8.2,-2.3,56,0.0,0.0,0.14,0.0,4.03,10.6
2000-01-22,-5.7,2.4,-12.5,-10.0,-1.5,53,0.0,0.0,0.0,0.0,3.05,7.2
2000-01-23,-5.8,0.0,-10.4,-9.9,-4.1,69,0.0,0.0,0.0,0.0,3.68,8.8
2000-01-24,-5.1,1.7,-15.1,-9.1,-2.5,52,0.0,0.0,0.0,0.0,1.75,6.3
2000-01-25,-5.9,0.9,-12.0,-10.0,-3.4,50,0.0,0.0,0.0,0.0,2.97,8.0
2000-01-26,-7.2,1.8,-16.7,-11.3,-2.2,64,0.0,0.0,0.0,0.0,3.0,7.0
2000-01-27,-6.2,0.8,-13.1,-10.3,-3.5,57,0.0,0.0,0.0,0.0,2.64,7.1
2000-01-28,-6.0,1.9,-11.9,-10.2,-2.2,61,0.0,0.0,0.07,0.0,4.05,10.6
2000-01-29,-8.5,-1.8,-13.5,-13.0,-6.3,64,0.0,0.0,0.0,0.0,3.77,9.9
2000-01-30,-9.1,-4.0,-13.9,-13.6,-9.1,64,0.0,0.0,0.21,0.0,3.55,8.8
2000-01-31,-8.3,-1.7,-15.4,-12.7,-6.2,51,0.0,0.0,0.0,0.0,3.88,9.3
2000-02-01,-7.8,-0.1,-16.3,-12.2,-4.6,40,0.0,0.0,0.0,0.0,3.2,7.2
2000-02-02,-6.7,1.0,-16.3,-10.9,-2.8,51,0.0,0.0,0.0,0.0,2.6,6.5
2000-02-03,-4.0,4.5,-12.7,-8.1,0.4,48,0.0,0.0,0.0,0.0,3.23,8.1
2000-02-04,-1.9,4.6,-8.6,-6.1,-0.2,47,0.0,0.0,0.0,0.0,3.26,8.9
2000-02-05,-3.1,3.5,-10.6,-7.2,-0.5,39,0.0,0.0,0.0,0.0,2.06,5.2
2000-02-06,-2.0,6.9,-9.7,-7.1,1.1,25,0.0,0.0,0.0,0.0,5.58,14.5
2000-02-07,-4.0,3.2,-12.5,-8.0,0.0,51,0.0,0.0,0.0,0.0,1.82,5.8
2000-02-08,-1.2,5.8,-9.3,-5.1,2.6,34,0.0,0.0,0.0,0.0,1.84,5.2
2000-02-09,0.2,7.7,-7.8,-4.1,3.7,33,0.0,0.0,0.0,0.0,3.19,8.9
2000-02-10,-0.5,6.6,-8.3,-4.7,3.0,35,0.0,0.0,0.0,0.0,3.02,6.6
2000-02-11,0.7,9.1,-8.1,-3.3,5.9,34,0.0,0.0,0.0,0.0,3.13,7.1
2000-02-12,-1.7,2.7,-5.2,-6.2,-2.4,53,0.7,0.0,0.91,3.0,3.76,10.5
2000-02-13,-2.6,2.2,-7.5,-7.0,-2.3,60,1.1,0.0,1.05,5.0,3.26,8.2
2000-02-14,-1.7,4.8,-8.7,-6.0,0.4,44,0.0,0.0,0.0,0.0,3.04,7.8
2000-02-15,-1.6,6.8,-10.7,-5.6,2.9,32,0.0,0.0,0.0,0.0,2.19,7.6
2000-02-16,0.5,9.3,-8.9,-4.0,6.6,19,0.0,0.0,0.0,0.0,2.56,7.2
2000-02-17,0.4,5.1,-3.9,-3.9,0.4,38,0.0,0.0,0.07,0.0,3.85,10.2
2000-02-18,-0.9,3.0,-4.7,-4.9,-1.4,68,1.2,0.0,1.75,11.0,3.65,9.7
2000-02-19,-3.8,0.9,-7.2,-8.0,-3.4,67,0.0,0.0,0.49,0.0,3.14,7.9
2000-02-20,-2.2,3.1,-7.4,-6.0,0.6,62,0.0,0.0,0.0,0.0,2.77,6.4
2000-02-21,0.8,5.9,-4.7,-2.8,3.7,50,0.0,0.0,0.14,0.0,3.35,7.3
2000-02-22,0.3,3.1,-3.8,-3.7,-1.3,62,0.3,0.0,0.84,3.0,3.77,9.4
2000-02-23,-2.9,-1.6,-5.7,-7.0,-5.8,77,6.3,0.0,4.55,21.0,3.47,8.1
2000-02-24,-5.6,-3.5,-9.3,-9.9,-7.4,69,2.9,0.0,2.1,18.0,2.8,9.0
2000-02-25,-10.6,-3.9,-21.2,-14.9,-6.7,46,0.0,0.0,0.0,0.0,2.28,7.7
2000-02-26,-9.6,-1.2,-20.0,-13.7,-3.5,36,0.0,0.0,0.0,0.0,1.39,5.0
2000-02-27,-7.5,-0.7,-17.3,-11.5,-3.3,39,0.0,0.0,0.0,0.0,1.52,4.5
2000-02-28,-6.1,1.4,-16.0,-9.9,-0.9,45,0.0,0.0,0.0,0.0,1.51,4.7
2000-02-29,-5.8,3.2,-16.8,-9.5,1.2,50,0.0,0.0,0.0,0.0,1.84,5.4
2000-03-01,-2.7,5.1,-13.6,-6.6,2.7,39,0.0,0.0,0.0,0.0,2.6,5.6
2000-03-02,-0.8,1.5,-4.7,-4.5,-2.0,65,1.3,0.0,1.26,8.0,2.69,7.0
2000-03-03,-3.9,2.2,-13.7,-7.5,-1.1,68,0.0,0.0,0.07,0.0,2.73,6.5
2000-03-04,-1.2,2.8,-6.6,-4.4,0.4,68,0.3,0.0,0.63,2.0,1.66,5.9
2000-03-05,-1.9,1.3,-6.2,-5.5,-1.7,70,0.0,0.0,0.28,0.0,2.56,6.3
2000-03-06,-2.1,2.5,-8.8,-5.5,0.4,62,0.0,0.0,0.0,0.0,2.02,5.0
2000-03-07,-1.1,4.2,-8.0,-4.7,1.1,56,0.0,0.0,0.0,0.0,2.86,7.5
2000-03-08,0.4,5.0,-6.8,-3.1,3.4,47,0.0,0.0,0.0,0.0,2.8,4.9
2000-03-09,-0.0,3.8,-6.1,-3.5,1.0,51,0.0,0.0,0.28,0.0,2.0,5.1
2000-03-10,0.5,5.0,-6.3,-2.7,3.0,63,0.9,0.0,1.05,4.0,2.69,5.4
2000-03-11,0.3,6.1,-9.5,-2.7,5.1,60,0.0,0.0,0.0,0.0,1.02,4.4
2000-03-12,0.3,7.4,-10.5,-3.3,5.5,54,0.0,0.0,0.0,0.0,3.04,6.1
2000-03-13,1.8,5.9,-4.6,-1.4,3.9,56,0.0,0.0,0.0,0.0,2.51,5.7
2000-03-14,1.2,4.8,-4.7,-2.0,2.3,69,3.5,0.2,2.73,9.0,2.93,7.0
2000-03-15,1.7,6.5,-5.0,-1.4,5.3,60,0.6,0.0,0.56,4.0,2.44,5.9
2000-03-16,1.5,7.2,-7.5,-1.7,5.7,49,0.0,0.0,0.21,0.0,2.02,4.6
2000-03-17,2.4,8.7,-7.2,-1.0,7.0,43,0.0,0.0,0.0,0.0,2.4,5.4
2000-03-18,3.2,8.9,-4.2,0.2,7.7,49,0.0,0.0,0.07,0.0,1.94,4.3
2000-03-19,3.8,9.2,-3.0,1.1,7.0,65,0.8,0.5,0.21,4.0,1.97,6.0
2000-03-20,3.3,8.4,-6.5,0.5,6.4,69,2.0,0.0,1.47,5.0,2.7,5.9
2000-03-21,4.9,11.2,-3.7,2.1,10.6,60,1.7,0.0,1.19,5.0,2.92,6.1
2000-03-22,1.2,4.0,-2.1,-2.8,0.8,62,0.8,0.0,1.19,6.0,3.05,8.2
2000-03-23,0.4,6.8,-9.2,-2.9,5.2,50,0.3,0.0,0.21,3.0,2.15,5.7
2000-03-24,0.7,5.1,-4.5,-2.9,2.0,50,1.2,0.0,1.05,7.0,2.26,6.6
2000-03-25,2.0,5.9,-2.9,-1.0,4.1,62,0.4,0.1,0.21,3.0,1.61,5.4
2000-03-26,1.6,11.4,-9.1,-3.0,7.5,34,0.0,0.0,0.0,0.0,4.55,12.2
2000-03-27,5.9,15.0,-5.1,1.7,11.9,26,0.0,0.0,0.0,0.0,3.03,12.2
2000-03-28,7.5,18.0,-4.2,4.2,16.1,33,0.0,0.0,0.0,0.0,1.81,5.9
2000-03-29,9.5,20.2,-3.0,6.3,18.2,31,0.0,0.0,0.0,0.0,1.75,5.6
2000-03-30,11.8,20.8,0.7,8.4,19.3,25,0.0,0.0,0.0,0.0,3.48,8.0
2000-03-31,11.5,18.1,2.1,8.4,15.8,35,0.0,0.0,0.0,0.0,2.56,6.9
2000-04-01,9.0,14.2,2.7,6.4,12.3,61,2.7,2.4,0.21,8.0,3.35,9.5
2000-04-02,5.6,8.3,2.7,3.0,6.3,73,7.7,0.5,5.18,18.0,2.46,7.7
2000-04-03,4.7,10.2,-2.2,2.2,8.7,71,2.7,1.6,0.77,8.0,1.73,5.6
2000-04-04,4.1,7.4,0.5,1.4,6.2,75,5.3,0.3,3.57,12.0,2.69,8.3
2000-04-05,4.3,8.8,-1.7,1.2,7.2,58,0.1,0.1,0.07,1.0,3.72,9.6
2000-04-06,5.8,10.4,-0.5,2.7,8.3,51,0.5,0.3,0.28,1.0,2.48,8.1
2000-04-07,6.2,13.3,-4.7,3.1,11.5,48,0.0,0.0,0.0,0.0,2.82,8.2
2000-04-08,8.5,15.0,0.3,4.6,11.4,31,0.0,0.0,0.0,0.0,4.36,11.3
2000-04-09,6.3,11.5,-1.3,2.7,9.6,35,0.4,0.4,0.0,4.0,3.21,9.7
2000-04-10,6.3,13.2,-2.4,2.9,10.3,38,0.0,0.0,0.0,0.0,2.82,9.0
2000-04-11,8.8,15.8,-0.8,4.6,11.9,28,0.1,0.1,0.0,1.0,5.19,14.1
2000-04-12,11.2,20.6,0.8,7.4,17.1,25,0.0,0.0,0.0,0.0,3.62,11.8
2000-04-13,5.9,10.3,0.7,1.2,6.8,37,0.2,0.1,0.14,1.0,6.61,17.4
2000-04-14,3.4,8.6,-1.9,-0.3,4.7,52,0.2,0.0,0.28,1.0,4.41,12.1
2000-04-15,8.4,17.3,-2.5,4.8,14.0,34,0.0,0.0,0.0,0.0,3.11,8.8
2000-04-16,12.5,22.1,1.1,8.9,19.9,21,0.0,0.0,0.0,0.0,4.43,10.6
2000-04-17,12.1,16.1,5.5,8.4,12.6,33,0.9,0.9,0.0,3.0,3.82,11.4
2000-04-18,12.2,20.2,1.4,9.3,18.1,38,0.3,0.3,0.0,2.0,3.0,10.2
2000-04-19,9.8,13.7,2.4,5.9,9.9,36,0.1,0.0,0.07,1.0,4.81,13.1
2000-04-20,7.5,15.8,-1.4,3.8,11.7,46,1.7,0.4,0.91,6.0,5.55,14.1
2000-04-21,9.3,15.5,1.5,5.6,13.5,25,0.0,0.0,0.0,0.0,4.04,10.2
2000-04-22,10.8,17.3,3.5,7.6,16.3,29,0.0,0.0,0.0,0.0,3.01,8.4
2000-04-23,13.1,21.3,2.2,9.1,17.1,29,0.0,0.0,0.0,0.0,6.36,17.8
2000-04-24,11.0,16.3,5.8,7.6,14.5,39,0.9,0.9,0.0,4.0,5.11,14.4
2000-04-25,8.2,11.6,3.5,5.4,8.4,60,0.1,0.0,0.14,1.0,2.7,6.9
2000-04-26,10.5,17.4,2.4,8.0,16.6,43,0.2,0.2,0.0,2.0,3.45,8.5
2000-04-27,11.4,17.2,3.4,8.5,15.2,42,3.2,3.2,0.0,6.0,2.45,8.0
2000-04-28,9.5,19.1,2.1,7.1,16.8,65,5.3,2.2,2.17,7.0,5.42,15.5
2000-04-29,8.1,14.0,1.3,5.3,11.9,52,0.2,0.1,0.07,1.0,3.62,9.6
2000-04-30,10.7,17.8,1.3,7.4,15.3,30,0.0,0.0,0.0,0.0,3.32,7.6
2000-05-01,13.2,19.9,5.5,10.0,18.0,26,0.0,0.0,0.0,0.0,2.64,7.2
2000-05-02,12.7,18.1,4.1,10.0,17.1,45,0.2,0.2,0.0,2.0,2.46,8.3
2000-05-03,14.0,22.0,3.2,11.0,19.8,35,0.0,0.0,0.0,0.0,3.0,8.5
2000-05-04,16.1,24.7,4.6,12.8,23.4,22,0.0,0.0,0.0,0.0,3.5,11.8
2000-05-05,16.4,21.8,9.1,13.6,21.3,30,0.2,0.2,0.0,2.0,3.96,11.6
2000-05-06,15.4,21.0,6.6,13.4,21.1,43,0.4,0.4,0.0,2.0,2.55,6.8
2000-05-07,15.2,20.8,8.4,13.6,20.1,56,2.9,2.9,0.0,5.0,2.48,7.9
2000-05-08,12.5,16.4,8.2,11.4,16.7,78,15.0,15.0,0.0,21.0,3.3,11.1
2000-05-09,12.4,17.9,6.3,11.1,17.8,66,3.8,3.8,0.0,9.0,2.56,8.8
2000-05-10,14.1,21.9,5.3,12.8,20.4,59,7.0,7.0,0.0,9.0,1.84,9.2
2000-05-11,14.5,20.9,5.1,11.4,17.2,45,0.0,0.0,0.0,0.0,5.48,15.4
2000-05-12,16.7,24.8,5.4,14.3,23.3,35,0.1,0.1,0.0,1.0,3.32,10.7
2000-05-13,17.4,26.6,7.1,15.7,25.8,47,0.7,0.7,0.0,2.0,5.16,13.2
2000-05-14,16.4,21.6,10.5,15.3,22.0,56,2.4,2.4,0.0,8.0,3.3,9.9
2000-05-15,11.3,14.0,8.1,9.0,11.9,67,0.3,0.3,0.0,2.0,3.71,9.8
2000-05-16,13.1,19.5,4.6,11.4,19.7,60,0.6,0.6,0.0,3.0,2.91,9.1
2000-05-17,14.1,18.1,7.6,12.0,16.6,51,0.4,0.4,0.0,2.0,3.07,8.7
2000-05-18,13.5,20.8,3.9,11.6,21.2,46,2.2,2.2,0.0,6.0,2.2,7.9
2000-05-19,14.9,22.0,6.2,12.6,21.4,38,0.0,0.0,0.0,0.0,2.16,7.7
2000-05-20,16.6,23.6,5.9,14.5,24.0,38,0.0,0.0,0.0,0.0,1.97,6.5
2000-05-21,18.1,24.9,7.6,15.7,24.4,34,0.0,0.0,0.0,0.0,3.5,9.9
2000-05-22,19.2,24.6,11.1,16.2,22.9,26,0.0,0.0,0.0,0.0,3.34,9.4
2000-05-23,18.7,25.2,10.3,16.5,24.7,32,0.0,0.0,0.0,0.0,2.76,6.7
2000-05-24,18.1,22.1,12.9,16.0,20.5,41,0.1,0.1,0.0,1.0,2.78,7.5
2000-05-25,14.0,19.4,8.8,12.1,16.4,62,15.0,15.0,0.0,10.0,5.14,13.3
2000-05-26,13.2,17.7,8.9,11.3,16.0,59,0.9,0.9,0.0,4.0,3.48,9.2
2000-05-27,13.6,17.1,9.2,11.1,14.5,45,0.0,0.0,0.0,0.0,3.09,9.3
2000-05-28,15.5,21.0,6.2,14.0,20.9,47,0.0,0.0,0.0,0.0,2.52,6.4
2000-05-29,16.1,21.6,8.2,14.3,20.0,49,1.1,1.1,0.0,4.0,4.24,11.7
2000-05-30,17.7,24.4,7.1,16.2,23.4,44,0.0,0.0,0.0,0.0,2.21,7.7
2000-05-31,17.7,25.1,8.6,15.4,23.6,39,0.0,0.0,0.0,0.0,4.07,10.9
2000-06-01,16.8,22.2,12.0,15.2,21.6,54,1.2,1.2,0.0,3.0,4.0,10.8
2000-06-02,18.2,24.1,12.6,17.7,23.3,66,2.8,2.8,0.0,8.0,3.36,11.0
2000-06-03,19.4,26.7,10.6,18.5,26.8,55,0.0,0.0,0.0,0.0,4.14,11.9
2000-06-04,19.6,26.3,11.6,19.0,26.8,58,0.2,0.2,0.0,1.0,4.08,12.0
2000-06-05,21.1,26.1,14.3,20.3,26.0,49,0.9,0.9,0.0,5.0,4.34,12.4
2000-06-06,15.6,17.9,12.4,15.3,17.6,85,6.5,6.5,0.0,17.0,3.45,8.9
