time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,1.9,5.3,-1.0,-1.7,0.9,76,0.3,0.1,0.14,2.0,4.64,8.1
2000-01-02,4.5,8.7,0.3,0.6,4.8,62,0.0,0.0,0.0,0.0,4.13,7.9
2000-01-03,1.8,6.8,-2.0,-1.7,4.2,81,0.0,0.0,0.0,0.0,3.23,6.2
2000-01-04,0.7,1.6,-0.6,-3.7,-2.6,63,0.0,0.0,0.0,0.0,3.8,7.3
2000-01-05,0.7,2.4,-0.8,-3.4,-1.1,72,0.0,0.0,0.0,0.0,3.89,7.4
2000-01-06,3.2,7.7,-2.4,-1.3,3.1,51,0.0,0.0,0.0,0.0,3.61,7.1
2000-01-07,-4.5,-2.3,-6.7,-8.9,-6.2,51,0.0,0.0,0.0,0.0,3.61,6.6
2000-01-08,-2.5,0.5,-5.4,-6.2,-3.4,71,0.0,0.0,0.0,0.0,2.35,5.4
2000-01-09,0.1,5.4,-3.7,-3.3,2.8,80,0.0,0.0,0.28,0.0,2.78,5.4
2000-01-10,-0.5,0.7,-2.2,-5.0,-3.7,90,9.1,0.0,6.37,12.0,5.47,10.2
2000-01-11,-1.9,-0.7,-3.7,-7.0,-5.9,95,9.2,0.0,6.44,23.0,6.16,11.1
2000-01-12,-5.2,-3.3,-7.2,-8.8,-6.6,95,0.0,0.0,0.0,0.0,2.69,4.9
2000-01-13,-5.9,-3.7,-8.2,-9.7,-7.1,96,0.0,0.0,0.0,0.0,2.95,5.4
2000-01-14,-5.3,-3.1,-7.7,-8.7,-6.4,95,1.3,0.0,0.98,4.0,2.06,3.8
2000-01-15,-3.8,-3.2,-4.5,-7.5,-6.7,99,5.1,0.0,3.64,17.0,2.37,5.8
2000-01-16,-2.4,-0.8,-3.7,-6.2,-4.9,89,0.3,0.0,0.35,3.0,3.44,7.9
2000-01-17,-3.0,1.4,-5.9,-6.5,-1.3,90,0.0,0.0,0.07,0.0,2.41,3.9
2000-01-18,-0.1,5.3,-5.7,-5.3,-0.2,58,0.0,0.0,0.0,0.0,5.02,10.9
2000-01-19,-2.3,2.4,-7.2,-6.7,-1.8,49,0.0,0.0,0.0,0.0,3.56,10.6
2000-01-20,-3.2,0.0,-5.6,-7.9,-4.8,59,0.0,0.0,0.0,0.0,4.12,9.8
2000-01-21,-4.0,-2.5,-5.7,-8.6,-7.3,75,2.8,0.0,2.17,13.0,3.69,7.7
2000-01-22,-2.2,1.2,-4.5,-5.9,-1.9,80,0.0,0.0,0.14,0.0,2.73,6.2
2000-01-23,-2.7,-0.2,-5.5,-6.7,-4.6,86,0.3,0.0,0.35,3.0,3.98,7.8
2000-01-24,-4.2,-2.7,-7.8,-9.7,-8.1,71,0.0,0.0,0.28,0.0,6.72,12.7
2000-01-25,-6.1,-2.8,-9.7,-10.3,-6.5,58,0.0,0.0,0.0,0.0,1.82,5.3
2000-01-26,-4.8,0.3,-8.6,-8.7,-3.1,61,0.0,0.0,0.0,0.0,2.63,4.5
2000-01-27,-3.8,1.5,-8.1,-7.9,-1.7,56,0.0,0.0,0.0,0.0,2.76,4.0
2000-01-28,-1.2,3.0,-5.3,-5.5,-1.3,55,0.0,0.0,0.0,0.0,2.79,7.3
2000-01-29,0.4,4.7,-2.6,-4.5,-0.0,48,0.0,0.0,0.0,0.0,5.08,8.7
2000-01-30,-2.6,0.5,-6.6,-6.9,-3.3,43,0.0,0.0,0.0,0.0,3.82,8.0
2000-01-31,-3.8,-2.1,-7.7,-8.5,-7.0,47,0.0,0.0,0.0,0.0,4.02,8.6
2000-02-01,-4.2,0.7,-8.4,-8.5,-3.3,52,0.0,0.0,0.0,0.0,2.56,6.7
2000-02-02,-1.6,3.7,-5.8,-5.5,0.1,66,0.0,0.0,0.0,0.0,2.66,5.6
2000-02-03,-1.7,4.1,-6.5,-5.4,0.6,76,0.0,0.0,0.0,0.0,2.59,5.8
2000-02-04,0.0,4.1,-3.1,-3.3,0.5,75,0.0,0.0,0.0,0.0,1.9,5.1
2000-02-05,2.2,7.6,-3.2,-1.7,3.5,73,0.0,0.0,0.0,0.0,4.18,9.0
2000-02-06,4.5,10.8,-0.5,0.7,8.0,57,0.0,0.0,0.0,0.0,3.49,6.1
2000-02-07,3.3,6.5,0.2,-2.5,1.4,34,0.0,0.0,0.0,0.0,6.77,13.2
2000-02-08,-0.6,2.2,-5.2,-6.0,-3.1,40,0.0,0.0,0.0,0.0,7.14,13.8
2000-02-09,0.8,6.2,-3.3,-3.2,2.2,55,0.0,0.0,0.0,0.0,2.82,7.7
2000-02-10,3.9,11.8,-3.1,0.6,9.8,70,0.0,0.0,0.0,0.0,2.52,6.5
2000-02-11,4.5,11.4,-2.3,1.5,8.8,72,0.0,0.0,0.0,0.0,2.2,5.6
2000-02-12,6.6,14.3,0.0,4.1,12.3,72,0.0,0.0,0.0,0.0,2.69,5.6
2000-02-13,4.8,7.1,2.0,2.2,5.0,86,0.9,0.9,0.0,4.0,2.67,6.1
2000-02-14,5.7,11.6,0.5,1.8,6.4,55,0.0,0.0,0.0,0.0,4.72,9.5
2000-02-15,3.1,9.0,-3.0,-0.5,5.4,56,0.0,0.0,0.0,0.0,2.98,7.2
2000-02-16,3.9,11.1,-2.7,0.2,7.7,63,0.0,0.0,0.0,0.0,2.85,6.8
2000-02-17,5.1,11.4,-0.9,2.2,8.3,70,0.0,0.0,0.0,0.0,2.56,6.2
