city,period_month,year_start,year_end,sample_years,temperature_mean_c,daily_max_temperature_mean_c,apparent_temperature_mean_c,relative_humidity_mean_pct,precipitation_days_mean,heavy_rain_days_mean,extreme_rain_days_mean,hot_days_mean,cold_days_mean,windy_days_mean,snow_days_mean,missing_rate,source_product,source_model,spatial_resolution,spatial_method
Beijing,0,2000,2025,26,11.6886,18.7612,8.5079,53.4603,69.1923,5.9615,0.5769,21.8077,139.0769,9.3077,3.0385,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Shanghai,0,2000,2025,26,17.1029,21.2463,15.5157,78.4109,139.3462,16.0,1.7692,7.9615,27.3462,20.1538,0.1923,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Guangzhou,0,2000,2025,26,22.7262,27.7974,23.9622,77.8851,156.3077,25.5385,3.1154,4.0,0.3846,2.6923,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Shenzhen,0,2000,2025,26,23.5758,25.9752,24.5373,80.1655,145.3462,22.1538,2.8846,0.0,0.0,8.6923,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Hangzhou,0,2000,2025,26,16.7594,22.0958,16.1949,78.9139,148.4615,17.4231,1.7308,15.6154,46.2692,2.5769,1.8462,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Nanjing,0,2000,2025,26,16.2226,21.676,14.9888,75.8628,115.6538,15.3462,2.4615,15.2308,61.1154,5.4231,1.7692,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Suzhou,0,2000,2025,26,16.5718,21.624,15.3798,78.1772,133.3077,13.8077,1.5385,12.2692,47.1538,7.1154,0.7308,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Qingdao,0,2000,2025,26,13.7768,16.0432,11.0502,75.5061,81.9231,10.1538,1.7692,0.0,39.3462,25.6538,0.4615,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Dalian,0,2000,2025,26,11.6266,13.632,7.9575,74.1109,73.8462,9.7692,1.8846,0.0,79.2692,49.0769,2.9231,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Tianjin,0,2000,2025,26,12.1001,18.9606,9.2888,59.9807,65.8077,8.2308,1.1538,21.9615,136.4615,6.1154,3.0769,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Chengdu,0,2000,2025,26,17.6038,23.3522,17.0534,71.868,156.4231,7.6923,0.4231,18.0,20.8462,4.9615,0.1154,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Chongqing,0,2000,2025,26,17.4086,22.3555,17.2551,77.3311,159.8846,13.0769,0.8846,9.6923,14.8846,0.3846,0.0769,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Wuhan,0,2000,2025,26,17.828,22.3846,17.1705,74.2815,129.6923,17.7692,2.5769,13.8077,30.7308,6.8462,1.2308,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Changsha,0,2000,2025,26,18.0824,23.1885,18.0033,79.2935,163.8462,19.8077,1.7692,7.6538,26.5385,2.5769,1.5,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Xian,0,2000,2025,26,14.5883,21.0206,12.8003,60.546,99.3462,6.9231,0.1538,30.5,90.9231,0.4231,3.8846,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Zhengzhou,0,2000,2025,26,15.1621,21.6524,12.9467,62.871,80.7692,9.6923,1.0385,35.7308,93.4231,7.5385,4.4615,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
