city,period_month,year_start,year_end,sample_years,temperature_mean_c,daily_max_temperature_mean_c,apparent_temperature_mean_c,relative_humidity_mean_pct,precipitation_days_mean,heavy_rain_days_mean,extreme_rain_days_mean,hot_days_mean,cold_days_mean,windy_days_mean,snow_days_mean,missing_rate,source_product,source_model,spatial_resolution,spatial_method
Beijing,1,2000,2025,26,-5.2291,1.4524,-11.0733,52.4767,0.5385,0.0,0.0,0.0,31.0,0.8077,0.5385,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Beijing,2,2000,2025,26,-1.7509,5.2645,-7.3226,49.5893,1.1923,0.0,0.0,0.0,28.0,0.6538,0.8846,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Beijing,3,2000,2025,26,5.3109,13.6463,-0.1075,43.5465,2.2308,0.0,0.0,0.0,22.1154,1.7692,0.3077,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Beijing,4,2000,2025,26,13.2934,21.7857,8.4208,39.6566,4.0385,0.1538,0.0,0.1923,2.7308,2.0385,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Beijing,5,2000,2025,26,20.4773,28.6856,16.8855,39.7833,6.5,0.3846,0.0385,2.4615,0.0,1.4231,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Beijing,6,2000,2025,26,25.1327,32.3601,24.2302,50.4517,10.5385,0.5385,0.0,8.8077,0.0,0.0769,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Beijing,7,2000,2025,26,26.6998,32.5605,28.2844,65.0594,15.5769,2.3846,0.3077,7.8077,0.0,0.0,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Beijing,8,2000,2025,26,24.9389,30.5716,26.3968,69.0902,13.6154,1.5385,0.1923,2.3846,0.0,0.0,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Beijing,9,2000,2025,26,19.8565,26.5785,18.7391,62.4056,8.1538,0.5769,0.0385,0.1538,0.0,0.0385,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Beijing,10,2000,2025,26,11.7553,19.2133,8.2877,58.5723,4.0385,0.2308,0.0,0.0,2.3462,0.3846,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Beijing,11,2000,2025,26,2.9848,9.9628,-1.871,56.6204,2.0,0.1538,0.0,0.0,22.0,1.0769,0.5769,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Beijing,12,2000,2025,26,-3.9228,2.3683,-9.67,53.7787,0.7692,0.0,0.0,0.0,30.8846,1.0385,0.7308,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Shanghai,1,2000,2025,26,4.6418,8.7218,-0.366,78.3246,8.8077,0.4615,0.0,0.0,11.8846,1.5,0.1154,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Shanghai,2,2000,2025,26,6.1251,10.4254,1.2888,79.8776,10.6154,0.5769,0.0,0.0,6.9615,1.0769,0.0385,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Shanghai,3,2000,2025,26,10.276,15.0698,6.1019,78.3248,11.0,0.5769,0.0769,0.0,1.1538,2.1154,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Shanghai,4,2000,2025,26,15.6028,20.6266,12.6731,76.8025,10.7308,0.9615,0.0385,0.0,0.0,2.0,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Shanghai,5,2000,2025,26,20.7714,25.5205,19.5211,76.3778,11.2692,1.6154,0.1154,0.0,0.0,1.8846,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Shanghai,6,2000,2025,26,24.6783,28.5795,25.8788,80.9987,16.4231,3.4615,0.3077,0.2308,0.0,0.8077,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Shanghai,7,2000,2025,26,28.6464,32.0788,31.8029,81.6808,16.7692,2.1923,0.2308,3.6538,0.0,1.8462,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Shanghai,8,2000,2025,26,28.7521,32.1619,31.7633,79.8624,16.7692,2.1923,0.3462,3.8077,0.0,1.9615,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Shanghai,9,2000,2025,26,24.9716,28.5714,25.913,79.0006,12.5769,2.1154,0.4231,0.2308,0.0,1.5769,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
